id,name,date,popularity
1mc8M9eR9ZIBxqWA2CA4Wo,Live At Wembley Arena,2014,54
1Nt1kg37PxFgDcYFHHqHDG,The Visitors,1999,6
6DWO7NTsLztZFfe4ZqvJKm,Super Trouper,1999,12
7xexw4XKbA6uAHwZfRM9ih,Abba,1999,10
2RuSKnKyQD4opdiX5xOd7F,Abba Live,1986,32
5nPd21zawIBLrCaMEJrq3P,The Visitors,1981,41
3JHZ83ohEBDLFQfbVfDHFh,The Visitors,1981,42
5GByGaws7Cw0t28kjvAOzV,The Visitors (Deluxe Edition),1981,58
5PVuX09frPq7AMYkkdcDfR,Super Trouper,1980,57
3ZdkT5buYFi1WQaB0XNNtf,Super Trouper,1980,67
0zdZSyxWaYmaRMPeUHcG1K,Voulez-Vous,1979,58
7iLuHJkrb9KHPkMgddYigh,Voulez-Vous,1979,67
5fLOHW1UXr1cJrnXiU3FBt,The Album,1977,61
5GwbPSgiTECzQiE6u7s0ZN,The Album,1977,56
1V6a99EbTTIegOhWoPxYI9,Arrival,1976,69
1M4anG49aEs4YimBdj96Oy,Arrival,1976,64
0C36RlW2Fa0C7n1JnWBBMP,Abba,1975,56
1kM6xcSYO5ASJaWgygznL7,Abba,1975,63
4hHXvnHGn6pmHhdnnmNdmn,Waterloo (Deluxe Edition),1974,40
1WAlaVMaCstzAQ1Y5i0VeX,Waterloo,1974,50
