id,name,album_id,popularity,url,track_number,valence
1mKnzPuoEhyGP1dgMvOzfT,Gammal fäbodpsalm - Live,1mc8M9eR9ZIBxqWA2CA4Wo,50,,1,0.128
6YPvn6me5k5OiXVPtgmeak,Voulez-Vous - Live,1mc8M9eR9ZIBxqWA2CA4Wo,45,,2,0.53
3GcRxtoMaxXe4zjvRLzZlr,If It Wasn't For The Nights - Live,1mc8M9eR9ZIBxqWA2CA4Wo,43,,3,0.372
4juV8pzyyD53BeWJzCanQb,As Good As New - Live,1mc8M9eR9ZIBxqWA2CA4Wo,41,,4,0.662
5wTlYf7V2ser4UslPKxIKU,"Knowing Me, Knowing You - Live",1mc8M9eR9ZIBxqWA2CA4Wo,43,,5,0.49
43iNYzBbyAQF29CjsalAik,Rock Me - Live,1mc8M9eR9ZIBxqWA2CA4Wo,40,,6,0.548
5VFWFYzo4stfWnux8rWdPO,Chiquitita - Live,1mc8M9eR9ZIBxqWA2CA4Wo,43,,7,0.262
0M4KWb0efz5XjIfmPix6sQ,"Money, Money, Money - Live",1mc8M9eR9ZIBxqWA2CA4Wo,42,,8,0.288
7K5sFSOkP1Yz7xJipXDaBV,I Have A Dream - Live,1mc8M9eR9ZIBxqWA2CA4Wo,42,,9,0.365
3hEy5GbQv7yC1X6yhoPz2y,Gimme! Gimme! Gimme! (A Man After Midnight) - Live,1mc8M9eR9ZIBxqWA2CA4Wo,41,,10,0.459
3t07NlsvTzarYlPyogvZ8O,S.O.S. - Live,1mc8M9eR9ZIBxqWA2CA4Wo,41,,11,0.15
1N2NXpj3uukS8QsHURfnQv,Fernando - Live,1mc8M9eR9ZIBxqWA2CA4Wo,41,,12,0.228
6o2yOoSIpSJT919HlUETqW,The Name Of The Game - Live,1mc8M9eR9ZIBxqWA2CA4Wo,38,,1,0.657
6T1kgceAMBVmjyKzDXNlh2,Eagle - Live,1mc8M9eR9ZIBxqWA2CA4Wo,37,,2,0.357
1PnrWsfhSFLcNhaKD7bANM,Thank You For The Music - Live,1mc8M9eR9ZIBxqWA2CA4Wo,39,,3,0.398
1FwzC6Wsw5a6YJQsSxGL8n,Why Did It Have To Be Me? - Live,1mc8M9eR9ZIBxqWA2CA4Wo,37,,4,0.567
2orRq69FVVrlVedoi4882F,Intermezzo No.1 - Live,1mc8M9eR9ZIBxqWA2CA4Wo,35,,5,0.346
4kZlykyOQ1w31YA3RirCvQ,I'm Still Alive - Live,1mc8M9eR9ZIBxqWA2CA4Wo,35,,6,0.172
07bNRNkdQeUGMidjbZyCyB,Summer Night City - Live,1mc8M9eR9ZIBxqWA2CA4Wo,35,,7,0.107
7mHjo6TCCMmYk5zQ9jlMBX,Take A Chance On Me - Live,1mc8M9eR9ZIBxqWA2CA4Wo,38,,8,0.388
2k2rZwlotD4XzDtgjEF9IN,Does Your Mother Know - Live,1mc8M9eR9ZIBxqWA2CA4Wo,37,,9,0.734
7tQArNO9133ADo6e6Barkx,Hole In Your Soul - Live,1mc8M9eR9ZIBxqWA2CA4Wo,34,,10,0.145
0snim2CMV62M4JocWIpjGH,The Way Old Friends Do - Live,1mc8M9eR9ZIBxqWA2CA4Wo,47,,11,0.256
7uCt8IA0PnfsEoTMk7By1Q,Dancing Queen - Live,1mc8M9eR9ZIBxqWA2CA4Wo,39,,12,0.265
3eNYZ1f1sLkylk0kc60Vir,Waterloo - Live,1mc8M9eR9ZIBxqWA2CA4Wo,38,,13,0.343
5v35PWmB4SwHhH0JJFXrmR,The Visitors,1Nt1kg37PxFgDcYFHHqHDG,3,,1,0.719
5ELL2yV4fueS8162HxqMDm,Head Over Heels,1Nt1kg37PxFgDcYFHHqHDG,4,,2,0.762
4GrtyePdrVuivkxFc0Rea2,When All Is Said And Done,1Nt1kg37PxFgDcYFHHqHDG,2,,3,0.727
7pKnn2o62bIGGVtQvPrzBz,Soldiers,1Nt1kg37PxFgDcYFHHqHDG,3,,4,0.896
0dQuwr2omfTh3yYfTtCGfK,I Let The Music Speak,1Nt1kg37PxFgDcYFHHqHDG,1,,5,0.163
7LWjXTffobHr4LRmUf9TSS,One Of Us,1Nt1kg37PxFgDcYFHHqHDG,3,,6,0.886
09tAGTZOqYr7M4bbkDtuKo,Two For The Price Of One,1Nt1kg37PxFgDcYFHHqHDG,3,,7,0.75
698K08pmYfEXkDkN8vjGaO,Slipping Through My Fingers,1Nt1kg37PxFgDcYFHHqHDG,5,,8,0.311
6RsyKvX5j0tLevy0ge7Lt5,Like An Angel Passing Through My Room,1Nt1kg37PxFgDcYFHHqHDG,3,,9,0.275
3mSZkRKRVmu4salEkqW69R,Super Trouper,6DWO7NTsLztZFfe4ZqvJKm,11,,1,0.956
3XATRf8HVpoSBvGcmqMek9,The Winner Takes It All,6DWO7NTsLztZFfe4ZqvJKm,9,,2,0.523
3pjEpjEkEdrjvYiiZOI6S5,On And On And On,6DWO7NTsLztZFfe4ZqvJKm,6,,3,0.934
1YnBV85uTTvZLRXED7oM2Y,"Andante, Andante",6DWO7NTsLztZFfe4ZqvJKm,7,,4,0.439
0yQsyVzdHXMwTYjUKHr77g,Me And I,6DWO7NTsLztZFfe4ZqvJKm,5,,5,0.611
