id,name,album_id,popularity,url,track_number,valence
4sPmO7WMQUAf45kwMOtONw,Hello,0K4pIOOsfJ9lK8OjrZfXzd,72,https://p.scdn.co/mp3-preview/0b90429fd554bad6785faa2b8931d613db4a0ee4?cid=f2aa2c18088747f585c6ff121849072c,1,0.289
4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),0K4pIOOsfJ9lK8OjrZfXzd,72,https://p.scdn.co/mp3-preview/2f7c4f6de9f5a25ed2d59d353c62a06c2ac57c96?cid=f2aa2c18088747f585c6ff121849072c,2,0.562
0QLXkoV7vX86QEibgLe6zQ,I Miss You,0K4pIOOsfJ9lK8OjrZfXzd,61,https://p.scdn.co/mp3-preview/078f747618e5be9283aa59ee94ba013206400abe?cid=f2aa2c18088747f585c6ff121849072c,3,0.154
7IWkJwX9C0J7tHurTD7ViL,When We Were Young,0K4pIOOsfJ9lK8OjrZfXzd,73,https://p.scdn.co/mp3-preview/659a35907dfd65e8da36b1f9129415b749eda99f?cid=f2aa2c18088747f585c6ff121849072c,4,0.273
7GgQi7JTG4b6J4iEF4RTjF,Remedy,0K4pIOOsfJ9lK8OjrZfXzd,64,https://p.scdn.co/mp3-preview/955d1d2aa1654fc6d385441a6dc2e3ede4456fff?cid=f2aa2c18088747f585c6ff121849072c,5,0.251
4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,0K4pIOOsfJ9lK8OjrZfXzd,69,https://p.scdn.co/mp3-preview/e8dcd070b5696c2ebe823644c543ed48e68ec6dd?cid=f2aa2c18088747f585c6ff121849072c,6,0.472
60jkAyuEyOnQKlrppOTYYx,River Lea,0K4pIOOsfJ9lK8OjrZfXzd,60,https://p.scdn.co/mp3-preview/4fac91f9db67c1d7289ab98d42596caa5000196a?cid=f2aa2c18088747f585c6ff121849072c,7,0.226
6oQRvWaoFDJpTTnaWdzhXt,Love in the Dark,0K4pIOOsfJ9lK8OjrZfXzd,58,https://p.scdn.co/mp3-preview/50ab715b08a4ed5e9c5e6cbc941f7c17b5888712?cid=f2aa2c18088747f585c6ff121849072c,8,0.142
5VwSwu1zeiMGAjwe9nUmzZ,Million Years Ago,0K4pIOOsfJ9lK8OjrZfXzd,62,https://p.scdn.co/mp3-preview/fe7aaa6467ecb77d624e39c7c0219ff4e30c07fe?cid=f2aa2c18088747f585c6ff121849072c,9,0.181
1wMALZpuqAy7amQsFBWQ8m,All I Ask,0K4pIOOsfJ9lK8OjrZfXzd,70,https://p.scdn.co/mp3-preview/ea4a13058c5cd0d75af633b6ed8107412b07c94d?cid=f2aa2c18088747f585c6ff121849072c,10,0.343
7nY8TY0Wk7kBIJi2Zv8JoR,Sweetest Devotion,0K4pIOOsfJ9lK8OjrZfXzd,56,https://p.scdn.co/mp3-preview/7cc5cbd73063172aea6a04d0a8196cce9b1d3e8f?cid=f2aa2c18088747f585c6ff121849072c,11,0.259
4aebBr4JAihzJQR0CiIZJv,Hello,7uwTHXmFa1Ebi5flqBosig,72,https://p.scdn.co/mp3-preview/4ab65f9b193ccc37f2059344322462ae5e9dac90?cid=f2aa2c18088747f585c6ff121849072c,1,0.289
3KZcrZ36LW9RnChK1iIkth,Send My Love (To Your New Lover),7uwTHXmFa1Ebi5flqBosig,72,https://p.scdn.co/mp3-preview/bd2259812eb53138a906ab6d746d8f36ca5b942f?cid=f2aa2c18088747f585c6ff121849072c,2,0.565
1YjnEtzEg7D1wwQFhO30Gp,I Miss You,7uwTHXmFa1Ebi5flqBosig,61,https://p.scdn.co/mp3-preview/b1ce472f0ad7061a6c6e293d4058a81fe889d6fe?cid=f2aa2c18088747f585c6ff121849072c,3,0.156
0cj2joJcY6b4XSRfj2eZOl,When We Were Young,7uwTHXmFa1Ebi5flqBosig,75,https://p.scdn.co/mp3-preview/9e8d8e863296a285dac732a697f30491adc4f759?cid=f2aa2c18088747f585c6ff121849072c,4,0.264
6CGf2aPvKj7497cZ6JMmGT,Remedy,7uwTHXmFa1Ebi5flqBosig,67,https://p.scdn.co/mp3-preview/4bee32bacdfa6cf34b27c2f3f6c7d0837a38e15a?cid=f2aa2c18088747f585c6ff121849072c,5,0.234
7xfzwPasShmaPL7gB7va3J,Water Under The Bridge,7uwTHXmFa1Ebi5flqBosig,70,https://p.scdn.co/mp3-preview/a56f58462f4b6976c0a8ea18996d0ac53f3c3c9a?cid=f2aa2c18088747f585c6ff121849072c,6,0.537
0NJNQdvwxZTylydofoF76s,River Lea,7uwTHXmFa1Ebi5flqBosig,60,https://p.scdn.co/mp3-preview/aaefd9a9aaddd2a7d004fd385efec826b0c24e1f?cid=f2aa2c18088747f585c6ff121849072c,7,0.243
0TwATqrZsK5b77bjaPAq23,Love In The Dark,7uwTHXmFa1Ebi5flqBosig,58,https://p.scdn.co/mp3-preview/607305892f1faa1c4580a6f1397ef9937bc160ae?cid=f2aa2c18088747f585c6ff121849072c,8,0.154
7HRKXaKzzApunJUIOjMAup,Million Years Ago,7uwTHXmFa1Ebi5flqBosig,64,https://p.scdn.co/mp3-preview/dc523edd3aea1709597c9bdf174afc8a3de50589?cid=f2aa2c18088747f585c6ff121849072c,9,0.179
6HbI4e2Y2f6HYVV6r04M4W,All I Ask,7uwTHXmFa1Ebi5flqBosig,72,https://p.scdn.co/mp3-preview/329c29f10155a7636aca94607acb92010ab386cc?cid=f2aa2c18088747f585c6ff121849072c,10,0.348
5awP7jSLbdR8wOBJa5SUgE,Sweetest Devotion,7uwTHXmFa1Ebi5flqBosig,55,https://p.scdn.co/mp3-preview/9d5ae0c56b744a8ab5e4baa7430270c2f06e59cc?cid=f2aa2c18088747f585c6ff121849072c,11,0.266
7IYZyOmBmY3u8Pk5bmB4xL,Rolling in the Deep,1cCEfOTFdaZo0POsxE5SkM,40,https://p.scdn.co/mp3-preview/a9a77a2cf8de3dfa30a077d39dbfb66a20976b54?cid=f2aa2c18088747f585c6ff121849072c,1,0.534
6enJ1LU01SpjeQnfODQEZP,Rumour Has It,1cCEfOTFdaZo0POsxE5SkM,36,https://p.scdn.co/mp3-preview/36d2a051b22ee16a5e36beb0d491b5562f276837?cid=f2aa2c18088747f585c6ff121849072c,2,0.552
3uAf4h0UQk3qU3UypExMs3,Turning Tables,1cCEfOTFdaZo0POsxE5SkM,35,https://p.scdn.co/mp3-preview/52f121aba7d004d5c452bca3877118c76f3fef04?cid=f2aa2c18088747f585c6ff121849072c,3,0.215
0PqL6cL0qM4bb0YBoaRHwO,Don't You Remember,1cCEfOTFdaZo0POsxE5SkM,39,https://p.scdn.co/mp3-preview/847ff13e66f08228c42c5261f79be12b67467c41?cid=f2aa2c18088747f585c6ff121849072c,4,0.237
6lOvZTZcacgkvmyOZkWpNk,Set Fire to the Rain,1cCEfOTFdaZo0POsxE5SkM,41,https://p.scdn.co/mp3-preview/7a724f8a9c5496ac3261f4080e7cd552de251362?cid=f2aa2c18088747f585c6ff121849072c,5,0.502
25M9RHQHmN8NpudguOfALX,He Won't Go,1cCEfOTFdaZo0POsxE5SkM,33,https://p.scdn.co/mp3-preview/dfaa8cf81e2216fe1cd677b2fe9ea3906d3b74ac?cid=f2aa2c18088747f585c6ff121849072c,6,0.721
3VZu5lnZoiBW27Rfhe1eqG,Take It All,1cCEfOTFdaZo0POsxE5SkM,33,https://p.scdn.co/mp3-preview/d8a073600401ffbe04b13cdf43a5cb907e9b892f?cid=f2aa2c18088747f585c6ff121849072c,7,0.279
7yLQkQ3o0UNHX8I3bsLJhE,I'll Be Waiting,1cCEfOTFdaZo0POsxE5SkM,31,https://p.scdn.co/mp3-preview/375c23af7777fa1e52ed30ac56669ca2a49ff0e8?cid=f2aa2c18088747f585c6ff121849072c,8,0.754
5deAPB1sLTUOxWbbO18Wnl,One And Only,1cCEfOTFdaZo0POsxE5SkM,45,https://p.scdn.co/mp3-preview/648c93025c13fec6da389fedf7c762a286585277?cid=f2aa2c18088747f585c6ff121849072c,9,0.18
1czNj1dUjGiuqS4fd05wtk,Lovesong,1cCEfOTFdaZo0POsxE5SkM,34,https://p.scdn.co/mp3-preview/8219f1adf368439750557830d42fcac2e6390a16?cid=f2aa2c18088747f585c6ff121849072c,10,0.357
4etypRtRn8IgsxZu6BhRS6,Someone Like You,1cCEfOTFdaZo0POsxE5SkM,39,https://p.scdn.co/mp3-preview/f8d4f9fbfadd74dd8da78c83aa2a1ad41bdc0d71?cid=f2aa2c18088747f585c6ff121849072c,11,0.28
1CkvWZme3pRgbzaxZnTl5X,Rolling in the Deep,1azUkThwd2HfUDdeNeT147,74,https://p.scdn.co/mp3-preview/8c174ce25d94b502dfe31f0da8a070a32fb263db?cid=f2aa2c18088747f585c6ff121849072c,1,0.522
76N7FdzCI9OsiUnzJVLY2m,Rumour Has It,1azUkThwd2HfUDdeNeT147,65,https://p.scdn.co/mp3-preview/25971251f3ce83423c2d526e811bd4e4dada2d49?cid=f2aa2c18088747f585c6ff121849072c,2,0.557
5O6yk6U8L3rTbFsIwuqe8H,Turning Tables,1azUkThwd2HfUDdeNeT147,67,https://p.scdn.co/mp3-preview/4f52f4b2641d3df73202dbcac9dab75c3f932aa9?cid=f2aa2c18088747f585c6ff121849072c,3,0.21
24cKN8P2uGWypxTw5WaNlq,Don't You Remember,1azUkThwd2HfUDdeNeT147,64,https://p.scdn.co/mp3-preview/087339b8fc037b9ee5e84e143a4c19a533ac62d0?cid=f2aa2c18088747f585c6ff121849072c,4,0.235
3CKCZ9pfwAfoMZlMncA1Nc,Set Fire to the Rain,1azUkThwd2HfUDdeNeT147,74,https://p.scdn.co/mp3-preview/70e56ff5287602e2720bec6838e51cb89fa2ce2d?cid=f2aa2c18088747f585c6ff121849072c,5,0.466
4ThTvhGNae80mrLsMzs4Hb,He Won't Go,1azUkThwd2HfUDdeNeT147,57,https://p.scdn.co/mp3-preview/94bc80a8fb1529adcb362c6adc04adfa781c6e26?cid=f2aa2c18088747f585c6ff121849072c,6,0.71
