id,name,date,popularity
1nrDZQLT9EfFArdk9oSCxQ,Music From Another Dimension!,2012,49
2BAMyErzVjBJ7kvQWBJmbT,Honkin' On Bobo,2004,42
6yRJAw8rbqn8dJVw1nxYWb,Just Push Play,2001,56
4rpYGrI49yD1yKE4Sm6UTd,A Little South Of Sanity,1998,21
0xUqFH2GDi0oZ7fwIBAkLQ,Nine Lives,1997,58
1tuM8yBePaekEruGsH2J79,Get A Grip,1993,68
2WXQrFpRtf1FVSS70D5TVT,Pump,1989,46
3XYqOJI1YlX40kJTdzFEzp,Permanent Vacation,1987,63
4sIViEgySoHMaqsDLXN45p,Classics Live II,1987,25
5NHCg9rnAwBPDKOu2LSSUq,Classics Live,1986,27
4V95fty2dd1ig3a1JzmjYf,Done With Mirrors,1985,30
3R08nheJrat1bBUK8ev6Sg,Rock In A Hard Place,1982,29
19MVMst4XtFfzLy0z2aKUF,Night In The Ruts,1979,31
3bDHZxGb4pbO2HCQNlKmum,Live! Bootleg,1978,30
792SNee67NvAFZbsip969c,Draw The Line,1977,39
5Uv5LmSKTT9okGkr3l9MjR,Rocks,1976,50
