id,name,album_id,popularity,url,track_number,valence
0byidR360eLCjAigNF5SB3,LUV XXX,1nrDZQLT9EfFArdk9oSCxQ,39,https://p.scdn.co/mp3-preview/101308d78d6790f97206ab0698189ab6200f4546?cid=f2aa2c18088747f585c6ff121849072c,1,0.313
2PXHEvCVucMZcm8N8lZd72,Oh Yeah,1nrDZQLT9EfFArdk9oSCxQ,38,https://p.scdn.co/mp3-preview/8b85d5e9393cd0428a6a4d7b21626c2efd16bf97?cid=f2aa2c18088747f585c6ff121849072c,2,0.777
22zzEs67LrT6RL25pwpOPW,Beautiful,1nrDZQLT9EfFArdk9oSCxQ,38,https://p.scdn.co/mp3-preview/518b69166f8f5edacb2554cca03f86819951fae2?cid=f2aa2c18088747f585c6ff121849072c,3,0.46
4M4uVyLDoO2RtNT9t9dRjy,Tell Me,1nrDZQLT9EfFArdk9oSCxQ,37,https://p.scdn.co/mp3-preview/0a0ed7d63b885c46711e927429c21e3c99137c35?cid=f2aa2c18088747f585c6ff121849072c,4,0.399
65aWTu6gMezjQg9tdEF07y,Out Go The Lights,1nrDZQLT9EfFArdk9oSCxQ,36,https://p.scdn.co/mp3-preview/827151a856adc13b843dbeab29972212c5df3e8e?cid=f2aa2c18088747f585c6ff121849072c,5,0.554
5NtrT4KG7ejyBBY1y9hzuy,Legendary Child,1nrDZQLT9EfFArdk9oSCxQ,37,https://p.scdn.co/mp3-preview/22162d1d92022c9682be98abcd64e0fd08f0ead5?cid=f2aa2c18088747f585c6ff121849072c,6,0.345
0RWSLyiyfBktTFIs458CWV,What Could Have Been Love,1nrDZQLT9EfFArdk9oSCxQ,50,https://p.scdn.co/mp3-preview/3bf113be13d6b25306d3abdcb33483b63d3dfca7?cid=f2aa2c18088747f585c6ff121849072c,7,0.385
2gCgPMrnx43nJlff4ZuKnq,Street Jesus,1nrDZQLT9EfFArdk9oSCxQ,35,https://p.scdn.co/mp3-preview/1d565e05b5423b2e90521d037d224b9e0d1075f6?cid=f2aa2c18088747f585c6ff121849072c,8,0.157
4QiiT9eRGGSDZAxKN5BM46,Can't Stop Lovin' You,1nrDZQLT9EfFArdk9oSCxQ,45,https://p.scdn.co/mp3-preview/19b38ee3006f087481588a92c852333fe98b0aa9?cid=f2aa2c18088747f585c6ff121849072c,9,0.609
04pll0w6XDOORN5lfoy66Q,Lover Alot,1nrDZQLT9EfFArdk9oSCxQ,33,https://p.scdn.co/mp3-preview/c4439f9fb37fb10a5a7dd8ebdc07cbaa543fb49e?cid=f2aa2c18088747f585c6ff121849072c,10,0.533
0kkemEl15a2ihHMqUAgLxn,We All Fall Down,1nrDZQLT9EfFArdk9oSCxQ,36,https://p.scdn.co/mp3-preview/ae3970164d2cdaa707dad4c095e2e02788b8c838?cid=f2aa2c18088747f585c6ff121849072c,11,0.18
0CurQ57S1VKeQWGvKGVHWD,Freedom Fighter,1nrDZQLT9EfFArdk9oSCxQ,32,https://p.scdn.co/mp3-preview/acdb9c22e40370a4eb06860672dfbf296a56768a?cid=f2aa2c18088747f585c6ff121849072c,12,0.342
3GFGXagEwr2dOw8W6poCW3,Closer,1nrDZQLT9EfFArdk9oSCxQ,33,https://p.scdn.co/mp3-preview/78c362da5c120a1aad7e3188ac11fca5613dc485?cid=f2aa2c18088747f585c6ff121849072c,13,0.28
1BnEMnFdKyUbtiogG0y474,Something,1nrDZQLT9EfFArdk9oSCxQ,32,https://p.scdn.co/mp3-preview/581f12736aba99414b8cc30ad92859e8e274b29b?cid=f2aa2c18088747f585c6ff121849072c,14,0.166
5pAj9f6NE1WNmXHm61JaX8,Another Last Goodbye,1nrDZQLT9EfFArdk9oSCxQ,35,https://p.scdn.co/mp3-preview/4f74c08cf50ce24820afcbb614949615fba21e0b?cid=f2aa2c18088747f585c6ff121849072c,15,0.155
37j5xJhk2gJpy7QkNK1k1n,Up On The Mountain,1nrDZQLT9EfFArdk9oSCxQ,31,https://p.scdn.co/mp3-preview/66afa9e3d7b6b2f22c303cfa425824de610a548b?cid=f2aa2c18088747f585c6ff121849072c,16,0.517
5EGFwgaE96z73W4dHBLrF0,Oasis In The Night,1nrDZQLT9EfFArdk9oSCxQ,30,https://p.scdn.co/mp3-preview/784a61867254af6a1ea2061b2ead91b1ded76f05?cid=f2aa2c18088747f585c6ff121849072c,17,0.6
33Ch0pgFMswDRIzu3BXu3l,Sunny Side Of Love,1nrDZQLT9EfFArdk9oSCxQ,32,https://p.scdn.co/mp3-preview/831a6939ae875b836314d81726782a6d38f194f8?cid=f2aa2c18088747f585c6ff121849072c,18,0.435
25hIhax7UlzBCssVEWFPQn,Road Runner,2BAMyErzVjBJ7kvQWBJmbT,35,https://p.scdn.co/mp3-preview/2110d323f878b142a0fc22393dac7157b3b46267?cid=f2aa2c18088747f585c6ff121849072c,1,0.395
3z57pZTmJLZf8hCSsFzfZK,"Shame, Shame, Shame",2BAMyErzVjBJ7kvQWBJmbT,33,https://p.scdn.co/mp3-preview/d91db9c197cf49632973e68b4dd4bec3baadaf7c?cid=f2aa2c18088747f585c6ff121849072c,2,0.5
5TXwMZ77f36nIWTFVbSQgW,Eyesight To The Blind,2BAMyErzVjBJ7kvQWBJmbT,33,https://p.scdn.co/mp3-preview/bb7391e2afb0f5272a4cb1444b14a20030e23628?cid=f2aa2c18088747f585c6ff121849072c,3,0.718
0bEhSzN9gh2YAtE83RyD2F,"Baby, Please Don't Go",2BAMyErzVjBJ7kvQWBJmbT,38,https://p.scdn.co/mp3-preview/0ac222c3393fd4b073ceddfdf754fb52e974dbe3?cid=f2aa2c18088747f585c6ff121849072c,4,0.431
26ebZiJPxEinFk1V86BbzW,Never Loved a Girl,2BAMyErzVjBJ7kvQWBJmbT,33,https://p.scdn.co/mp3-preview/a9a8821ae5bbc75efd557df5568fdf2beca8251b?cid=f2aa2c18088747f585c6ff121849072c,5,0.753
1jkohnKYWis6VC37HQArZ1,Back Back Train,2BAMyErzVjBJ7kvQWBJmbT,32,https://p.scdn.co/mp3-preview/8e6a8cdedb261722b2f82ddadfb3d03e374cdf17?cid=f2aa2c18088747f585c6ff121849072c,6,0.134
0p9c2BTNIM86owukLH0tue,You Gotta Move,2BAMyErzVjBJ7kvQWBJmbT,34,https://p.scdn.co/mp3-preview/f5aa00194ae9556aa0bb4104299fdd9180e92805?cid=f2aa2c18088747f585c6ff121849072c,7,0.45
19pdxlify2y9N0BPEnVFv0,The Grind,2BAMyErzVjBJ7kvQWBJmbT,34,https://p.scdn.co/mp3-preview/0938938e68b63461364dc01c518c8b541a6a5019?cid=f2aa2c18088747f585c6ff121849072c,8,0.495
6WN98WquP94P5tSvLY8IfC,I'm Ready,2BAMyErzVjBJ7kvQWBJmbT,30,https://p.scdn.co/mp3-preview/1f314b9316397bfc58cb1a90c576e41d44675828?cid=f2aa2c18088747f585c6ff121849072c,9,0.506
0MW4OvOGZOTfElLMMjPSCu,Temperature,2BAMyErzVjBJ7kvQWBJmbT,30,https://p.scdn.co/mp3-preview/47e281a8949a53d346c45fa76e460cfd73020ad4?cid=f2aa2c18088747f585c6ff121849072c,10,0.807
