id,name,date,popularity
1jeMiSeSnNS0Oys375qegp,Tranquility Base Hotel & Casino,2018,67
7v6FNgLDS8KmaWA1amUtqe,Tranquility Base Hotel & Casino,2018,64
0BkjGslMnD0dvJH9u1mjLF,Tranquility Base Hotel & Casino,2018,49
78bpIziExqiI9qztvNFlQu,AM,2013,81
6645HGh7ZOZSUTpqW9iYLR,AM,2013,59
2KhJyDQAtauN6plT5PkfnV,Suck It and See,2011,54
2ym2jcqckXqWeTDoxz3Kst,Suck It and See,2011,65
5ZnOKznPxZTWuMusR4tmGG,Humbug,2009,54
5IEoiwkThhRmSMBANhpxl2,Humbug,2009,65
6rsQnwaoJHxXJRCDBPkBRw,Favourite Worst Nightmare (Standard Version),2007,63
1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007,73
0ndGMh4twJNzPpr5XtHTR2,"Whatever People Say I Am, That's What I'm Not",2006,61
50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006,74
