id,name,album_id,popularity,url,track_number,valence
0FgNSsaSZTvbLXUumSO8LQ,Star Treatment,1jeMiSeSnNS0Oys375qegp,63,https://p.scdn.co/mp3-preview/96cf115e9813becf7d7d39f80fcc6a929666858f?cid=f2aa2c18088747f585c6ff121849072c,1,0.673
2AKwcNHeGAqCpD6etK425X,One Point Perspective,1jeMiSeSnNS0Oys375qegp,63,https://p.scdn.co/mp3-preview/9ff7880279f7b054f15c089cbb5f445994c9c926?cid=f2aa2c18088747f585c6ff121849072c,2,0.842
0mQiDbYxHElUp1eNpLZXaY,American Sports,1jeMiSeSnNS0Oys375qegp,57,https://p.scdn.co/mp3-preview/aa923f7fc63e04db25d28dbe6737614591bc9e1d?cid=f2aa2c18088747f585c6ff121849072c,3,0.594
7co8zvT6HJuyT81IDukyID,Tranquility Base Hotel & Casino,1jeMiSeSnNS0Oys375qegp,64,https://p.scdn.co/mp3-preview/154fb32a10dabdad3512556e0fa48279604b5a3b?cid=f2aa2c18088747f585c6ff121849072c,4,0.781
3NmndGYOIYocA5OTHMVoaw,Golden Trunks,1jeMiSeSnNS0Oys375qegp,58,https://p.scdn.co/mp3-preview/cada88e14b7a14571232ca35874c5398ebc3725b?cid=f2aa2c18088747f585c6ff121849072c,5,0.0896
3nhzPKCm2yqGmgEhdAg19u,Four Out Of Five,1jeMiSeSnNS0Oys375qegp,67,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=f2aa2c18088747f585c6ff121849072c,6,0.676
1JdArJ9NKCF9TQASGQgszg,The World's First Ever Monster Truck Front Flip,1jeMiSeSnNS0Oys375qegp,55,https://p.scdn.co/mp3-preview/3787254c68cd2619d96894012d7619c1569c428d?cid=f2aa2c18088747f585c6ff121849072c,7,0.553
57oJKJys4oC7NTR7hwZkPU,Science Fiction,1jeMiSeSnNS0Oys375qegp,55,https://p.scdn.co/mp3-preview/2ec09221ef6979e034c22ac7198056117850e744?cid=f2aa2c18088747f585c6ff121849072c,8,0.643
4z6mZWFgBZd07926K61Mi8,She Looks Like Fun,1jeMiSeSnNS0Oys375qegp,55,https://p.scdn.co/mp3-preview/dce5071b9d6e1dd3a61478db9dc66b64ce1b0efa?cid=f2aa2c18088747f585c6ff121849072c,9,0.445
7seSDB6TiLZarbicyDIjiQ,Batphone,1jeMiSeSnNS0Oys375qegp,56,https://p.scdn.co/mp3-preview/c05dc9b22471682a1ca545947c8c0c47911a4832?cid=f2aa2c18088747f585c6ff121849072c,10,0.675
4VysGAsuHWHDxasPnTgwbo,The Ultracheese,1jeMiSeSnNS0Oys375qegp,61,https://p.scdn.co/mp3-preview/a39ed52d9b4ea57be3c972c5195ad33f772a1492?cid=f2aa2c18088747f585c6ff121849072c,11,0.426
0b93tWwuoAC0nXe1CfR30I,Star Treatment,7v6FNgLDS8KmaWA1amUtqe,60,https://p.scdn.co/mp3-preview/96cf115e9813becf7d7d39f80fcc6a929666858f?cid=f2aa2c18088747f585c6ff121849072c,1,0.673
1t67WYNfUxfOiwaz7SJ66b,One Point Perspective,7v6FNgLDS8KmaWA1amUtqe,59,https://p.scdn.co/mp3-preview/9ff7880279f7b054f15c089cbb5f445994c9c926?cid=f2aa2c18088747f585c6ff121849072c,2,0.842
2HbYLDA1SigY1ilC94ieVu,American Sports,7v6FNgLDS8KmaWA1amUtqe,54,https://p.scdn.co/mp3-preview/aa923f7fc63e04db25d28dbe6737614591bc9e1d?cid=f2aa2c18088747f585c6ff121849072c,3,0.594
2URDbWGmPz3vhagl25p8OC,Tranquility Base Hotel & Casino,7v6FNgLDS8KmaWA1amUtqe,60,https://p.scdn.co/mp3-preview/154fb32a10dabdad3512556e0fa48279604b5a3b?cid=f2aa2c18088747f585c6ff121849072c,4,0.781
0U6Vg6RUmzADUO0Y9fVKft,Golden Trunks,7v6FNgLDS8KmaWA1amUtqe,55,https://p.scdn.co/mp3-preview/cada88e14b7a14571232ca35874c5398ebc3725b?cid=f2aa2c18088747f585c6ff121849072c,5,0.0896
5Z5nbOXhsSbySVC7WUc6y9,Four Out Of Five,7v6FNgLDS8KmaWA1amUtqe,64,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=f2aa2c18088747f585c6ff121849072c,6,0.676
5rqQTEIVK2PTuXU9GI2wT0,The World's First Ever Monster Truck Front Flip,7v6FNgLDS8KmaWA1amUtqe,52,https://p.scdn.co/mp3-preview/3787254c68cd2619d96894012d7619c1569c428d?cid=f2aa2c18088747f585c6ff121849072c,7,0.553
6hkfgHhYXyDVYahUOZhGRd,Science Fiction,7v6FNgLDS8KmaWA1amUtqe,52,https://p.scdn.co/mp3-preview/2ec09221ef6979e034c22ac7198056117850e744?cid=f2aa2c18088747f585c6ff121849072c,8,0.643
60T4FDF1tTcFlXkI08FFhL,She Looks Like Fun,7v6FNgLDS8KmaWA1amUtqe,52,https://p.scdn.co/mp3-preview/dce5071b9d6e1dd3a61478db9dc66b64ce1b0efa?cid=f2aa2c18088747f585c6ff121849072c,9,0.445
