id,name,album_id,popularity,url,track_number,valence
7rLDARtJALM7QdiJDMXW7m,Pray You Catch Me,7dK54iZuOxXFarGhXwEXfF,68,https://p.scdn.co/mp3-preview/88351cf8f3e5023b03b9ae0add806ad44288f22b?cid=f2aa2c18088747f585c6ff121849072c,1,0.0746
0rzNMzZsubFcXSEh7dnem7,Hold Up,7dK54iZuOxXFarGhXwEXfF,71,https://p.scdn.co/mp3-preview/45ca175a1ceffc733b2d62dfc49e6ede386415c1?cid=f2aa2c18088747f585c6ff121849072c,2,0.552
78eouBKVRyhbSzJwChr6QM,Don't Hurt Yourself (feat. Jack White),7dK54iZuOxXFarGhXwEXfF,69,https://p.scdn.co/mp3-preview/ca8aa1d17b603b92587e4e850979b19ea5d61a3b?cid=f2aa2c18088747f585c6ff121849072c,3,0.645
0lnIJmgcUpEpe4AZACjayW,Sorry,7dK54iZuOxXFarGhXwEXfF,71,https://p.scdn.co/mp3-preview/5f4f6414a73c124d629ffe0b0bc8aa679ef10a7c?cid=f2aa2c18088747f585c6ff121849072c,4,0.356
0pxNyJJiL2zZZ5GgJ4JhsQ,6 Inch (feat. The Weeknd),7dK54iZuOxXFarGhXwEXfF,69,https://p.scdn.co/mp3-preview/4c37b4f1134701ab01d4b7159137adeab8e5fdad?cid=f2aa2c18088747f585c6ff121849072c,5,0.324
71OvX5NNLrmz7rpq1ANTQn,Daddy Lessons,7dK54iZuOxXFarGhXwEXfF,68,https://p.scdn.co/mp3-preview/aa63f0afae4514f698085d43fe30f3e237e9f8b7?cid=f2aa2c18088747f585c6ff121849072c,6,0.598
2RQAG0wQt35UzAPEyVJFWN,Love Drought,7dK54iZuOxXFarGhXwEXfF,67,https://p.scdn.co/mp3-preview/b06ef3adf5b871065002328b3949e0ca341057fd?cid=f2aa2c18088747f585c6ff121849072c,7,0.216
2FNPJWVdGxYhWaotd6rULS,Sandcastles,7dK54iZuOxXFarGhXwEXfF,66,https://p.scdn.co/mp3-preview/4bbf704b5d7731153324eda2210955084e0214c1?cid=f2aa2c18088747f585c6ff121849072c,8,0.101
2bOWJIYSbhwg2NMQq1QMYH,Forward (feat. James Blake),7dK54iZuOxXFarGhXwEXfF,64,https://p.scdn.co/mp3-preview/cbe71084f4cd278c646595e620f90dd6504adacc?cid=f2aa2c18088747f585c6ff121849072c,9,0.0498
7aBxcRw77817BrkdPChAGY,Freedom (feat. Kendrick Lamar),7dK54iZuOxXFarGhXwEXfF,67,https://p.scdn.co/mp3-preview/fbe70f454ebeab5073a4db690b1c1bbfcd396811?cid=f2aa2c18088747f585c6ff121849072c,10,0.406
7oAuqs6akGnPU3Tb00ZmyM,All Night,7dK54iZuOxXFarGhXwEXfF,67,https://p.scdn.co/mp3-preview/60672180e28c45d7ac6f6b64f444dcfcaa5f9548?cid=f2aa2c18088747f585c6ff121849072c,11,0.626
6g0Orsxv6glTJCt4cHsRsQ,Formation,7dK54iZuOxXFarGhXwEXfF,70,https://p.scdn.co/mp3-preview/470cfb59470d8313dc99634c2845170b56a8762e?cid=f2aa2c18088747f585c6ff121849072c,12,0.818
6eR1N0EBHiDkGDzegX99d3,Sorry - Original Demo,7dK54iZuOxXFarGhXwEXfF,67,https://p.scdn.co/mp3-preview/3fd961d27feebd6f6aea3f7572f1a52532c959b7?cid=f2aa2c18088747f585c6ff121849072c,13,0.421
00v5O7qsglyTtp2q1M9DZr,Pray You Catch Me,4X6b6POxbjX9inC7TWQd54,43,https://p.scdn.co/mp3-preview/dd15a02ecb92a9295b5b868881933cbbb8c3861e?cid=f2aa2c18088747f585c6ff121849072c,1,0.0786
2JCY7F0JFw5AgZYeC3CHtS,Hold Up,4X6b6POxbjX9inC7TWQd54,45,https://p.scdn.co/mp3-preview/ebed28c84c452d41b586e178140e9c89d43d7797?cid=f2aa2c18088747f585c6ff121849072c,2,0.549
1DyjnOFalZVwBCUFv7tiD7,Don't Hurt Yourself (feat. Jack White),4X6b6POxbjX9inC7TWQd54,43,https://p.scdn.co/mp3-preview/f45f3785820c8ecd300bbe417f705d25e84783c4?cid=f2aa2c18088747f585c6ff121849072c,3,0.667
3d2bgsrJg8Blzg24ZsxGuW,Sorry,4X6b6POxbjX9inC7TWQd54,45,https://p.scdn.co/mp3-preview/6fa99672d7fc39d8f726d0c02f06f92d594c167d?cid=f2aa2c18088747f585c6ff121849072c,4,0.388
0huYsjQPmdAeE0MFIdmqbq,6 Inch (feat. The Weeknd),4X6b6POxbjX9inC7TWQd54,44,https://p.scdn.co/mp3-preview/a9ed3133f9debd12905e91f050b1f97454fb1ac8?cid=f2aa2c18088747f585c6ff121849072c,5,0.341
0lCf7sZrGyEAKrfA1AXG11,Daddy Lessons,4X6b6POxbjX9inC7TWQd54,42,https://p.scdn.co/mp3-preview/aeda3bff420939e76af0d4d45468db61105a312c?cid=f2aa2c18088747f585c6ff121849072c,6,0.575
1gZqRnn8P56wZZGwilEHiZ,Love Drought,4X6b6POxbjX9inC7TWQd54,41,https://p.scdn.co/mp3-preview/da18961cfe76236c3227631f41f0ffa65e5c5e00?cid=f2aa2c18088747f585c6ff121849072c,7,0.21
0BE7AqLGT3Zco4yY4KbWjd,Sandcastles,4X6b6POxbjX9inC7TWQd54,41,https://p.scdn.co/mp3-preview/afb58b0a020a86ff1f354e45306234dc60932ee4?cid=f2aa2c18088747f585c6ff121849072c,8,0.0964
77Nmf9VgryMlVpaoD5mSEL,Forward (feat. James Blake),4X6b6POxbjX9inC7TWQd54,39,https://p.scdn.co/mp3-preview/76cccf6d719d55ce5552b24d68180f413cb4782c?cid=f2aa2c18088747f585c6ff121849072c,9,0.0768
6pXcDMr10gh902gPlKuSLv,Freedom (feat. Kendrick Lamar),4X6b6POxbjX9inC7TWQd54,42,https://p.scdn.co/mp3-preview/1c5dbe34a8f0aa96150462459f720376a2a53ad8?cid=f2aa2c18088747f585c6ff121849072c,10,0.408
0VgGHwbFBA5B9et2mSDdYQ,All Night,4X6b6POxbjX9inC7TWQd54,42,https://p.scdn.co/mp3-preview/29b746c1af2674fc090072b97e94a3bdf6acad6f?cid=f2aa2c18088747f585c6ff121849072c,11,0.625
6BOh92QF6cAvNjH9SRYJxL,Formation,4X6b6POxbjX9inC7TWQd54,44,https://p.scdn.co/mp3-preview/d3511dfefd3ea9cc3aeced50fdea8d6aa2695ea8?cid=f2aa2c18088747f585c6ff121849072c,12,0.81
19WNzP0vCz2bEdWMdp2C4b,Sorry - Original Demo,4X6b6POxbjX9inC7TWQd54,42,https://p.scdn.co/mp3-preview/7373c9c04223389eb8d74aa5b1d55d00a4b0824a?cid=f2aa2c18088747f585c6ff121849072c,13,0.455
7Hz87DF2VCuSVS2iO1z0Nr,Welcome - Homecoming Live,35S1JCj5paIfElT2GODl6x,69,https://p.scdn.co/mp3-preview/e5e0290c05f02da4978730029b0a59be6a54d84d?cid=f2aa2c18088747f585c6ff121849072c,1,0.123
10OaEuICuFoKLq48NoMblA,Crazy In Love - Homecoming Live,35S1JCj5paIfElT2GODl6x,72,https://p.scdn.co/mp3-preview/cc528b77c182a6d0a6d9c29b1991fbec39babea3?cid=f2aa2c18088747f585c6ff121849072c,2,0.402
2NTp1e0sRMHiw368rfCGvE,Freedom - Homecoming Live,35S1JCj5paIfElT2GODl6x,72,https://p.scdn.co/mp3-preview/d2765486e5fe5133b4a9c35b044c6ab6c982b316?cid=f2aa2c18088747f585c6ff121849072c,3,0.403
0QRxJvOohS8yiGC1n98uFM,Lift Every Voice and Sing - Homecoming Live,35S1JCj5paIfElT2GODl6x,69,https://p.scdn.co/mp3-preview/cd52faa8cdbada42ff5fb4a08bceb18ef91f5582?cid=f2aa2c18088747f585c6ff121849072c,4,0.0782
6oHexA34fw1WfswjIEA1hd,Formation - Homecoming Live,35S1JCj5paIfElT2GODl6x,72,https://p.scdn.co/mp3-preview/ecbf7a54f57aef9181d9c568b67e32ae57d86446?cid=f2aa2c18088747f585c6ff121849072c,5,0.419
6pLlQE4Ypn9zQBCe16UskF,So Much Damn Swag - Interlude - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/15fd955c370790173227564ae67dc27dbd01f2f1?cid=f2aa2c18088747f585c6ff121849072c,6,0.543
1GWk2MHsycvbyOFaWFiOMk,Sorry - Homecoming Live,35S1JCj5paIfElT2GODl6x,71,https://p.scdn.co/mp3-preview/cd72d3d740e74d983bf1d1b330f0272284e25e9e?cid=f2aa2c18088747f585c6ff121849072c,7,0.193
6YyMbzAUPJLaGcldbEKmXB,Kitty Kat - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/3aba7f00808a2bbc1411b0506a42a355b8e50412?cid=f2aa2c18088747f585c6ff121849072c,8,0.489
5yZEkyUXbyFCHzrQTH5Ssw,Bow Down - Homecoming Live,35S1JCj5paIfElT2GODl6x,70,https://p.scdn.co/mp3-preview/b2593e986891f77fadbf1f865f9d1849928c691f?cid=f2aa2c18088747f585c6ff121849072c,9,0.377
76raxY6tmyR6mi9xcWCFk7,I Been On - Homecoming Live,35S1JCj5paIfElT2GODl6x,70,https://p.scdn.co/mp3-preview/1a309e94783ede7bfbb59af3af95b4b87eecccbe?cid=f2aa2c18088747f585c6ff121849072c,10,0.14
4LzdggfUuKAK5zypoKnueZ,Drunk in Love - Homecoming Live,35S1JCj5paIfElT2GODl6x,70,https://p.scdn.co/mp3-preview/4abdad6f81e841038779ed7b9b314ded0bbc8716?cid=f2aa2c18088747f585c6ff121849072c,11,0.572
7eOG24Nx7j4nI3f9nOZTOi,Diva - Homecoming Live,35S1JCj5paIfElT2GODl6x,71,https://p.scdn.co/mp3-preview/ef78be6ac175e50d84654340f20260de20561bc4?cid=f2aa2c18088747f585c6ff121849072c,12,0.486
6ma6Oe9PrzJsckdCebJoFM,Flawless / Feeling Myself - Homecoming Live,35S1JCj5paIfElT2GODl6x,69,https://p.scdn.co/mp3-preview/a66d113aaeaea8caa9086c53c9aff469d2fb5702?cid=f2aa2c18088747f585c6ff121849072c,13,0.446
6GuC3CHgZ9ieTQ97kanZdO,Top Off - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/108fcdffa0770156a0fec6d92964711f7c7c3f5a?cid=f2aa2c18088747f585c6ff121849072c,14,0.537
09B7V52vjEWVsSr5f1OfoL,7/11 - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/645adb707d12994a7965922152c9a0b67bc162e2?cid=f2aa2c18088747f585c6ff121849072c,15,0.383
4SOMdd14MtsvtfzsYtmqcR,Bug A Boo Roll Call - Interlude - Homecoming Live,35S1JCj5paIfElT2GODl6x,65,https://p.scdn.co/mp3-preview/a0f5100b23ddcfbadd358bd8243969aeecb53c39?cid=f2aa2c18088747f585c6ff121849072c,16,0.445
3oDyaLtPpORasVR7atUHIa,Party - Homecoming Live,35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/8b8ea7c3f9fb22f303f62d6aebdc183d3de34bdf?cid=f2aa2c18088747f585c6ff121849072c,17,0.385
2NbffhNltorifsuY5doB1l,Don't Hurt Yourself - Homecoming Live,35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/a48eb2213555f39c16aeab040c0bbdbdab6ed3a8?cid=f2aa2c18088747f585c6ff121849072c,18,0.106
62vR9bMq3tP0lfyrMtpujE,I Care - Homecoming Live,35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/b71dd56867076f0cb69330adde0741bd802993fa?cid=f2aa2c18088747f585c6ff121849072c,19,0.184
1XTQkWboabpxxyR7iMKsEJ,Partition - Homecoming Live,35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/48c37b5c101c501df4fff8c5a59c08b23df721e5?cid=f2aa2c18088747f585c6ff121849072c,20,0.103
6UjGaeKbCidE98bpLgwIym,Yoncé - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/c4157956fad6c315e17174e110bbd7ece6b825fa?cid=f2aa2c18088747f585c6ff121849072c,21,0.409
2iGIBnofyVatf7cjtyIGlI,Mi Gente - Homecoming Live,35S1JCj5paIfElT2GODl6x,69,https://p.scdn.co/mp3-preview/3984a7e848ff5f68199ad456afa38d906af418c8?cid=f2aa2c18088747f585c6ff121849072c,22,0.638
06iMNM7Q9kX93yBKXb7K8H,Baby Boy - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/eda4b34171107dc644237ef6dec33ae29c47b658?cid=f2aa2c18088747f585c6ff121849072c,23,0.694
6u0WV2PHrzRjLO8BtRpme7,"You Don't Love Me (No, No, No) - Homecoming Live",35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/c59434555d2dbd04e9cf27be1330d31baa4db4b9?cid=f2aa2c18088747f585c6ff121849072c,24,0.555
7oGFmPGaF5txE4cjL4HyR4,Hold Up - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/812532e6dd14b00afa7faf09a6c2c471d13f695f?cid=f2aa2c18088747f585c6ff121849072c,25,0.922
2k0mXTwotQpZKIOIhGwekv,Countdown - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/ab1af2d6c1aeb46dd2263c81e9a2753d3c26b764?cid=f2aa2c18088747f585c6ff121849072c,26,0.443
632ikkYPSHSHA5udZeuKvk,Check On It - Homecoming Live,35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/592a460819047825538d1e7ff28dde4a9a9d1091?cid=f2aa2c18088747f585c6ff121849072c,27,0.693
7Id9WVdUZXIK1jchXxvRH3,Deja Vu (feat. Jay-Z) - Homecoming Live,35S1JCj5paIfElT2GODl6x,68,https://p.scdn.co/mp3-preview/ce44659c1322be0519d46b0caaf5eaa5c068b391?cid=f2aa2c18088747f585c6ff121849072c,28,0.154
5IIK4FDTsmQwkNqVuKJgi7,The Bzzzz Drumline - Interlude - Homecoming Live,35S1JCj5paIfElT2GODl6x,65,https://p.scdn.co/mp3-preview/bdedcf1b0c8da17cf121dabece18f2b0a401cc2a?cid=f2aa2c18088747f585c6ff121849072c,29,0.238
6Ssx5QXWAsjruGKCQwf9Jp,Run the World (Girls) - Homecoming Live,35S1JCj5paIfElT2GODl6x,66,https://p.scdn.co/mp3-preview/ddcaba3896f8207d0d51892a8ed5b641e657ec68?cid=f2aa2c18088747f585c6ff121849072c,30,0.483
716IzgeD9yjfCiZuG9aG4i,Lose My Breath (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,35S1JCj5paIfElT2GODl6x,66,https://p.scdn.co/mp3-preview/e62f25aa2aa48de9cf95509ed102d13f54778546?cid=f2aa2c18088747f585c6ff121849072c,31,0.416
1q0xjWLQOnAbfQa3XzhyYc,Say My Name (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,35S1JCj5paIfElT2GODl6x,67,https://p.scdn.co/mp3-preview/7c5f3affb034b8aecd642c8fcc7a7e368c6003c2?cid=f2aa2c18088747f585c6ff121849072c,32,0.304
2PEtWLQmzJuGzQFkkZIdP3,Soldier (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,35S1JCj5paIfElT2GODl6x,66,https://p.scdn.co/mp3-preview/51f7b0f4a85cd9749badcd5244e05d01b09d64fa?cid=f2aa2c18088747f585c6ff121849072c,33,0.47
7Bd6JQ2Evmeuw4cPYUtcEz,Get Me Bodied - Homecoming Live,35S1JCj5paIfElT2GODl6x,66,https://p.scdn.co/mp3-preview/3d6e9a6e585ff45a6804a3d9cce3627e74b92bea?cid=f2aa2c18088747f585c6ff121849072c,34,0.396
071lw34NhXIV26mskQZ4MB,Single Ladies (Put a Ring on It) - Homecoming Live,35S1JCj5paIfElT2GODl6x,65,https://p.scdn.co/mp3-preview/eade43f5f214792191b34dbd62767455eba053b3?cid=f2aa2c18088747f585c6ff121849072c,35,0.573
7uro2suZC8IiPIcTSiqhRQ,Lift Every Voice and Sing (feat. Blue Ivy) - Blue's Version - Homecoming Live,35S1JCj5paIfElT2GODl6x,62,https://p.scdn.co/mp3-preview/19cb4721451883541dd742373e88f674441f47dc?cid=f2aa2c18088747f585c6ff121849072c,36,0.439
7idYtPogV73zodBoWqvxkf,Love On Top - Homecoming Live,35S1JCj5paIfElT2GODl6x,64,https://p.scdn.co/mp3-preview/9562f4131fb291744382a69d089355198a5eb6ed?cid=f2aa2c18088747f585c6ff121849072c,37,0.184
74ADo1aVXYrzDDwwNcENns,Shining (Thank You) - Homecoming Live,35S1JCj5paIfElT2GODl6x,62,https://p.scdn.co/mp3-preview/f30997ec575c6ba6ce14ac1508a7cb79f8866efd?cid=f2aa2c18088747f585c6ff121849072c,38,0.466
7LikBkHerFGZ58QHVOKp1t,Before I Let Go - Homecoming Live Bonus Track,35S1JCj5paIfElT2GODl6x,73,https://p.scdn.co/mp3-preview/4bb6a5c6fcf0d79f15229ae3c55776cce7a58d2e?cid=f2aa2c18088747f585c6ff121849072c,39,0.435
4M0zSSz4blcDv8g4apuVfJ,I Been On - Homecoming Live Bonus Track,35S1JCj5paIfElT2GODl6x,63,https://p.scdn.co/mp3-preview/45f6cff5e27f8541698e9e253b9ae011ee2e5086?cid=f2aa2c18088747f585c6ff121849072c,40,0.196
1808HJ1bN6AFdP2nn5g4Up,Welcome - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,47,https://p.scdn.co/mp3-preview/bedccbe5f5ba505fcbbf345cc8b6cd9acac1da6b?cid=f2aa2c18088747f585c6ff121849072c,1,0.135
71p7KOWeyhZ6LPKYbmCWS8,Crazy In Love - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,49,https://p.scdn.co/mp3-preview/378067678543853d17a31efb433ccf2f1a64e5a0?cid=f2aa2c18088747f585c6ff121849072c,2,0.386
70obdDWckgwWvBYhVxUeXd,Freedom - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,50,https://p.scdn.co/mp3-preview/34cea9ef1841e597eef4351e32bc9071ccde80e3?cid=f2aa2c18088747f585c6ff121849072c,3,0.364
1YRqcHp1bIw3ca3KiKxQqY,Lift Every Voice and Sing - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,46,https://p.scdn.co/mp3-preview/600b066d04efa5a49a1e3475b76b583d847716e0?cid=f2aa2c18088747f585c6ff121849072c,4,0.0771
43JAvDNh6jJz1v3wKYctRh,Formation - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,51,https://p.scdn.co/mp3-preview/c6cfb24f3da82609a95106ae422c3d3d425fef37?cid=f2aa2c18088747f585c6ff121849072c,5,0.413
0TDZcR1kVgAD8hyETYhmsF,So Much Damn Swag - Interlude - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,45,https://p.scdn.co/mp3-preview/41d6392b1d0eab9fcfb3f6620475a67d4b079ba9?cid=f2aa2c18088747f585c6ff121849072c,6,0.501
2wKyXv7LtoSuRMfNYogE0g,Sorry - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,48,https://p.scdn.co/mp3-preview/9ec62c010e9abc1d296353408f85c612bcc5a353?cid=f2aa2c18088747f585c6ff121849072c,7,0.209
6ymkw7MT4qOCDQrQwdcoQ5,Kitty Kat - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,45,https://p.scdn.co/mp3-preview/d96059ec14d62e0b42ac33abf1449663c02aa576?cid=f2aa2c18088747f585c6ff121849072c,8,0.513
0HmFFaG84wWgKNDQHYwJ2M,Bow Down - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,48,https://p.scdn.co/mp3-preview/84d9fcf3de00b811ae932979ff076cd5ed2c0378?cid=f2aa2c18088747f585c6ff121849072c,9,0.327
3b9ICSE1TPzWukb2A5gft7,I Been On - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,46,https://p.scdn.co/mp3-preview/1fbbf70a772ba46a069ed7c434ee9137c062c7de?cid=f2aa2c18088747f585c6ff121849072c,10,0.124
1FUxYM0jRenOcTHxIm6D0K,Drunk in Love - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,47,https://p.scdn.co/mp3-preview/d9b2aef81b52282443ccd7447d8b781cc00e11bd?cid=f2aa2c18088747f585c6ff121849072c,11,0.599
0FbAHgYGsdshouLbMZLgu5,Diva - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,48,https://p.scdn.co/mp3-preview/ecf4940741811d88c739d3bfb667bb5d20f0e7b0?cid=f2aa2c18088747f585c6ff121849072c,12,0.434
0TgI3A16uLtzA83HLNFEbB,Flawless / Feeling Myself - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,46,https://p.scdn.co/mp3-preview/af3a26b5d4e429a60eca394dcd655d69afd6edb9?cid=f2aa2c18088747f585c6ff121849072c,13,0.417
0SAimuqsUi5hLRR6azzkXB,Top Off - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,45,https://p.scdn.co/mp3-preview/5d7c27322cdf2d98803086698eb71a9557573b74?cid=f2aa2c18088747f585c6ff121849072c,14,0.485
4VH3pEo6E9Qya7jTVu5f7c,7/11 - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,45,https://p.scdn.co/mp3-preview/13fc6ed456df258a7f147db8b354134a84c24319?cid=f2aa2c18088747f585c6ff121849072c,15,0.371
67PvamcdGCmJspoBrdBY9P,Bug A Boo Roll Call - Interlude - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,42,https://p.scdn.co/mp3-preview/3d3df85a3f42b182f24d2faec82aeba9c6995f43?cid=f2aa2c18088747f585c6ff121849072c,16,0.414
7ejetzjGjeUEkPPpntCeEw,Party - Homecoming Live,4tyEy1BUd2ZMgT3qP70T3F,44,https://p.scdn.co/mp3-preview/0d807f008310b9eff6ddb9ffaed3ac3160a47dd6?cid=f2aa2c18088747f585c6ff121849072c,17,0.394
