id,name,album_id,popularity,url,track_number,valence
609qKv3KPAbdtp0LQH2buA,I'll Name the Dogs,1Kc7TpYwJQ0mzVAssuWbB0,64,https://p.scdn.co/mp3-preview/8fb6fdb65667a16f293505522d67983b96f8f4f8?cid=f2aa2c18088747f585c6ff121849072c,1,0.763
6ZHwpFj4FNNqyOnvNrQ8Nl,At the House,1Kc7TpYwJQ0mzVAssuWbB0,48,https://p.scdn.co/mp3-preview/782a75ca17e324821dcd92d1e992c0e107d2af6a?cid=f2aa2c18088747f585c6ff121849072c,2,0.821
6mDn30SclMbluJa9THeUFV,Beside You Babe,1Kc7TpYwJQ0mzVAssuWbB0,48,https://p.scdn.co/mp3-preview/efa400f9d7b840a247278972b36328970199ae8b?cid=f2aa2c18088747f585c6ff121849072c,3,0.689
6JSUNXHhkK4lJw80b27tSr,Why Me,1Kc7TpYwJQ0mzVAssuWbB0,49,https://p.scdn.co/mp3-preview/b7687f40f56dfc7a63d44e1958744998b01531cc?cid=f2aa2c18088747f585c6ff121849072c,4,0.365
0k13K6b1jcpqfeaR5Tk1rt,Money,1Kc7TpYwJQ0mzVAssuWbB0,47,https://p.scdn.co/mp3-preview/3f2ca802bf320abead7bd83144425d6c0b2fce51?cid=f2aa2c18088747f585c6ff121849072c,5,0.752
02Df1JGm5Sjh2GmRAl5ClR,Turnin' Me On,1Kc7TpYwJQ0mzVAssuWbB0,62,https://p.scdn.co/mp3-preview/492bb22f0434fa8dcfa3ae8523bcc9b082872023?cid=f2aa2c18088747f585c6ff121849072c,6,0.276
6lyiuw1uQcSkBn1ZgQm8vM,The Wave,1Kc7TpYwJQ0mzVAssuWbB0,46,https://p.scdn.co/mp3-preview/e700051ab6a0caa96e0a53a0a2ba5b1070528e33?cid=f2aa2c18088747f585c6ff121849072c,7,0.339
4h6PC1APveUCIcoj4e2Niu,Got the T-Shirt,1Kc7TpYwJQ0mzVAssuWbB0,45,https://p.scdn.co/mp3-preview/04eb549d12894d9a6126e60da654ba4b575b6eba?cid=f2aa2c18088747f585c6ff121849072c,8,0.327
0pC3LbmoRyCz4aZGpt4FSy,Hangover Due,1Kc7TpYwJQ0mzVAssuWbB0,46,https://p.scdn.co/mp3-preview/878bf341e2ac683576a830081382568bf7f14882?cid=f2aa2c18088747f585c6ff121849072c,9,0.763
5a5QBmwab5TyJqIymphRmx,When the Wine Wears Off,1Kc7TpYwJQ0mzVAssuWbB0,47,https://p.scdn.co/mp3-preview/811f25a5b848b8b38a307b5312beb91e5709d966?cid=f2aa2c18088747f585c6ff121849072c,10,0.549
5slddJ629YcePvqD6Uyk8r,I Lived It,1Kc7TpYwJQ0mzVAssuWbB0,66,https://p.scdn.co/mp3-preview/ede835b7ec15be4188cc936b04b0b8a65a02798c?cid=f2aa2c18088747f585c6ff121849072c,11,0.392
0elJ9OdhVl2yp4WJrtg5mm,Straight Outta Cold Beer,4JmphteFDt5gNZbgraR9Dc,52,https://p.scdn.co/mp3-preview/9518aec2e2b586014c6064a9873e366cec6239bd?cid=f2aa2c18088747f585c6ff121849072c,1,0.695
3JffB4CABj9lA0NC63kbCp,She's Got a Way With Words,4JmphteFDt5gNZbgraR9Dc,59,https://p.scdn.co/mp3-preview/cfd5d54100cee99678216172673479c896bca1cf?cid=f2aa2c18088747f585c6ff121849072c,2,0.68
1PzvzBhSxoF8MQOd8Eeku6,Bet You Still Think About Me,4JmphteFDt5gNZbgraR9Dc,48,https://p.scdn.co/mp3-preview/a7137aeb23b440f56532ec8fcae7c1374c95505f?cid=f2aa2c18088747f585c6ff121849072c,3,0.331
0c4ICGb0jvszKj3KPR59JU,Every Time I Hear That Song,4JmphteFDt5gNZbgraR9Dc,62,https://p.scdn.co/mp3-preview/848b7b13b918ffb6cd478d5c757c021f919b1029?cid=f2aa2c18088747f585c6ff121849072c,4,0.528
1N7qGCKRRnvjoy8MGyHgpS,Came Here to Forget,4JmphteFDt5gNZbgraR9Dc,62,https://p.scdn.co/mp3-preview/827d10499a8350cf67eb04bd77833ddedecc95b2?cid=f2aa2c18088747f585c6ff121849072c,5,0.481
4apM5aSN4Cxui6sJcT8Oer,Every Goodbye,4JmphteFDt5gNZbgraR9Dc,40,https://p.scdn.co/mp3-preview/bff0d893b39d3624fd455508c2b6fa4c1b47db53?cid=f2aa2c18088747f585c6ff121849072c,6,0.735
7iQCBb18doq0cnefRtQJbD,It Ain't Easy,4JmphteFDt5gNZbgraR9Dc,45,https://p.scdn.co/mp3-preview/7758fbc2a4af4f40cc620a428be8a59eb2c748bb?cid=f2aa2c18088747f585c6ff121849072c,7,0.809
5sjIhQzNljMVrDklI91ezp,A Guy With a Girl,4JmphteFDt5gNZbgraR9Dc,67,https://p.scdn.co/mp3-preview/c2369c92074f13bd3f73435dced11b8a850d62e9?cid=f2aa2c18088747f585c6ff121849072c,8,0.777
6eJBihAzTWRxvvjJWuRQXM,Go Ahead and Break My Heart (feat. Gwen Stefani),4JmphteFDt5gNZbgraR9Dc,57,https://p.scdn.co/mp3-preview/c9866fa7658bab3d352c94fb20ccfa41fe5f8a9b?cid=f2aa2c18088747f585c6ff121849072c,9,0.352
5cWU0i23BOS8pSwrYWEMS8,Friends - From The Angry Birds Movie,4JmphteFDt5gNZbgraR9Dc,49,https://p.scdn.co/mp3-preview/d4465320786ad557a893f4b71a759e4883cc251e?cid=f2aa2c18088747f585c6ff121849072c,10,0.601
0uSdeicx8eMq9v18avJSdL,One Night Girl,4JmphteFDt5gNZbgraR9Dc,44,https://p.scdn.co/mp3-preview/daa3e4a7af59c40d438104857da47d158280c595?cid=f2aa2c18088747f585c6ff121849072c,11,0.421
6hDxxAHE3mk8P6XzbsaWEt,Doing It to Country Songs (feat. The Oak Ridge Boys),4JmphteFDt5gNZbgraR9Dc,44,https://p.scdn.co/mp3-preview/3079e402307f255d179e3297c30c320c708d5c14?cid=f2aa2c18088747f585c6ff121849072c,12,0.838
