id,name,album_id,popularity,url,track_number,valence
7p2ewixAShLpjDZrnzZK7c,Get Up 10,4KdtEKjY3Gi0mKiSdy96ML,69,https://p.scdn.co/mp3-preview/ea9543d77d419068c9126083efde4a97e9fd5a46?cid=f2aa2c18088747f585c6ff121849072c,1,0.454
2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),4KdtEKjY3Gi0mKiSdy96ML,74,https://p.scdn.co/mp3-preview/539413b256bca7bd14951d182f4771691e68bb3e?cid=f2aa2c18088747f585c6ff121849072c,2,0.268
17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,4KdtEKjY3Gi0mKiSdy96ML,67,https://p.scdn.co/mp3-preview/f5a8c3777eecdd185c03f175685f5de91bbb4823?cid=f2aa2c18088747f585c6ff121849072c,3,0.907
6KBYefIoo7KydImq1uUQlL,Bodak Yellow,4KdtEKjY3Gi0mKiSdy96ML,79,https://p.scdn.co/mp3-preview/cab6e91217590b37cc254585f3f951c5a5280375?cid=f2aa2c18088747f585c6ff121849072c,4,0.485
2Yl4OmDby9iitgNWZPwxkd,Be Careful,4KdtEKjY3Gi0mKiSdy96ML,76,https://p.scdn.co/mp3-preview/befe3cd3011f62ef8520f40e197c59bff4b67c12?cid=f2aa2c18088747f585c6ff121849072c,5,0.535
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),4KdtEKjY3Gi0mKiSdy96ML,69,https://p.scdn.co/mp3-preview/f01398705a41b489fe10165fabcbb959f237fb8a?cid=f2aa2c18088747f585c6ff121849072c,6,0.665
58q2HKrzhC3ozto2nDdN4z,I Like It,4KdtEKjY3Gi0mKiSdy96ML,88,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=f2aa2c18088747f585c6ff121849072c,7,0.65
5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),4KdtEKjY3Gi0mKiSdy96ML,76,https://p.scdn.co/mp3-preview/276c750346704cbece771a2ee38d756fcbf1d5d3?cid=f2aa2c18088747f585c6ff121849072c,8,0.485
1vBeIXlzbAieGoDqInav5j,Money Bag,4KdtEKjY3Gi0mKiSdy96ML,68,https://p.scdn.co/mp3-preview/3157a8e45586829b57f889998b065bd4bcee006b?cid=f2aa2c18088747f585c6ff121849072c,9,0.454
0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),4KdtEKjY3Gi0mKiSdy96ML,75,https://p.scdn.co/mp3-preview/d7287b5aa682a642ffba244e6410df7e8da21ee4?cid=f2aa2c18088747f585c6ff121849072c,10,0.109
0CfmNX2TXk7yoJqHJiixnp,She Bad,4KdtEKjY3Gi0mKiSdy96ML,70,https://p.scdn.co/mp3-preview/d7e0d7304d2ddf8b8c564b263dc3b1f50563ff5d?cid=f2aa2c18088747f585c6ff121849072c,11,0.355
74cVJfmK18rhWnscIpGXjt,Thru Your Phone,4KdtEKjY3Gi0mKiSdy96ML,71,https://p.scdn.co/mp3-preview/90bc15b0914d6597f1cea5cce5fba40426d82ec5?cid=f2aa2c18088747f585c6ff121849072c,12,0.209
1f5PNhkNgUpvDEeZfcIlO1,I Do (feat. SZA),4KdtEKjY3Gi0mKiSdy96ML,73,https://p.scdn.co/mp3-preview/ffb402c3968a55838f580f8042fbb4e5d7c3c8ac?cid=f2aa2c18088747f585c6ff121849072c,13,0.438
5rsH1ezDwyf4o8JJguPgRc,Bronx Season,47IM97GbpNyDREWlr2HtNM,56,https://p.scdn.co/mp3-preview/6af9595dd35b5447a0805ad96b8c54ef96b243f2?cid=f2aa2c18088747f585c6ff121849072c,1,0.239
5XdHz3HfGGOsvdhe06oxts,Lick (feat. Offset),47IM97GbpNyDREWlr2HtNM,63,https://p.scdn.co/mp3-preview/bcc9dcd8ece261bae754492a40ef13e93313bb16?cid=f2aa2c18088747f585c6ff121849072c,2,0.352
6GBEjkFlNzM2trwa8rgnIU,Hectic (feat. DJ Hardwerk),47IM97GbpNyDREWlr2HtNM,54,https://p.scdn.co/mp3-preview/5e309914231fae4fe7f7631e18f0aa41819d1d39?cid=f2aa2c18088747f585c6ff121849072c,3,0.616
1k3xls4mMxRv5do5nkun3S,Leave That Bitch Alone (Skit) (feat. Justvlad),47IM97GbpNyDREWlr2HtNM,39,https://p.scdn.co/mp3-preview/bca44949bb5c26ed3389555fa9379a15d87d62d3?cid=f2aa2c18088747f585c6ff121849072c,4,0.698
5YcPaD42EIHnDSDE5FT5Xe,Leave That Bitch Alone,47IM97GbpNyDREWlr2HtNM,47,https://p.scdn.co/mp3-preview/3bc01aa4ceee8ede2ab2533789aa8c40abb33d01?cid=f2aa2c18088747f585c6ff121849072c,5,0.389
