id,name,date,popularity
6LURWtPusB5fGenqj0lbFd,Cry Pretty,2018,63
17YFk6uZVlDMmgFm8kpn5T,Storyteller,2016,24
3Zuipf1PBcdnfKFyj6asOo,Storyteller,2016,36
4q3SkZWPYJtKno1RbnrjL4,Storyteller,2015,62
1gWvFhUoJnRyjhtDPdjBRa,Greatest Hits: Decade #1- Stories Behind the Songs,2014,31
7r7R96LJmdM1qxkqx1G3UJ,Blown Away,2012,5
6OESFWVrMqPiwyw0ovliWx,Blown Away,2012,40
7atJn49QvtOLiFxhQd2hp9,Blown Away,2012,60
0IX44RmWbPmQsTl9ugZfb5,Blown Away (Track by Track),2012,21
2ZBdk7sF3qdcuOrCRpJDgw,Play On,2009,44
3iLrVuA1k7onNmZTuUQH4u,Play On,2009,55
5HwzpaqYOZABPnmvl5JYFX,Carnival Ride,2007,57
0kys2jaKAiDPfNBd4z7LAg,Some Hearts,2005,65
