id,name,album_id,popularity,url,track_number,valence
7B9UAoGiN4iMCv4s40xoiM,Cry Pretty,6LURWtPusB5fGenqj0lbFd,58,,1,0.21
0aoT1B6jxuaxPh1RQ2Cank,Ghosts On The Stereo,6LURWtPusB5fGenqj0lbFd,51,,2,0.404
72pvSf3nSjqB4Fuph46kJK,Low,6LURWtPusB5fGenqj0lbFd,49,,3,0.23
0pNA563kEMCfhMYRVQGH4Y,Backsliding,6LURWtPusB5fGenqj0lbFd,54,,4,0.127
7qXPZxXn6Xmv1sjh03skiW,Southbound,6LURWtPusB5fGenqj0lbFd,55,,5,0.721
3vkyyOw92iKKIV5Io2fBdk,That Song That We Used To Make Love To,6LURWtPusB5fGenqj0lbFd,58,,6,0.357
4objxuNfJlJHomkRIPa2Y2,Drinking Alone,6LURWtPusB5fGenqj0lbFd,52,,7,0.477
68O9iXZDuKbnUQ4uGL1D5s,The Bullet,6LURWtPusB5fGenqj0lbFd,50,,8,0.158
2tVrRlYUJMFUyIG0sJBgiA,Spinning Bottles,6LURWtPusB5fGenqj0lbFd,52,,9,0.356
4XWnHzCRfRjaHRsTNeh3WR,Love Wins,6LURWtPusB5fGenqj0lbFd,60,,10,0.325
5XIrB4tNKqmGxtVbYpTllz,End Up With You,6LURWtPusB5fGenqj0lbFd,59,,11,0.522
5gzfmWwyumZpaNPyiIL9CO,Kingdom,6LURWtPusB5fGenqj0lbFd,50,,12,0.201
2F6JxWMP2ZfmVErc3ZTmqQ,The Champion - Bonus Track,6LURWtPusB5fGenqj0lbFd,59,,13,0.36
56y5HcFwuliaXmYmaLmaoc,Renegade Runaway,17YFk6uZVlDMmgFm8kpn5T,10,https://p.scdn.co/mp3-preview/8c4d25d5193c89cd5ee114295b53f8ced80e5b65?cid=f2aa2c18088747f585c6ff121849072c,1,0.319
29xdsUjiC5Qx4q9UgZ1ODD,Dirty Laundry,17YFk6uZVlDMmgFm8kpn5T,13,https://p.scdn.co/mp3-preview/df1de38efc90853858df4d1d9e4dca74e5af8aeb?cid=f2aa2c18088747f585c6ff121849072c,2,0.5
3V5skkiqp0JZdiJU9lctTZ,Church Bells,17YFk6uZVlDMmgFm8kpn5T,14,https://p.scdn.co/mp3-preview/b677fdac11e406735853485f757cf9eb0d5e6573?cid=f2aa2c18088747f585c6ff121849072c,3,0.549
3M47M1ceE98HAnKGegypMf,Heartbeat,17YFk6uZVlDMmgFm8kpn5T,11,https://p.scdn.co/mp3-preview/ce1d20f54079e194e472276f1ca16d0bd38fc7cd?cid=f2aa2c18088747f585c6ff121849072c,4,0.447
