id,name,date,popularity
19CvkGjYpifkdwgVJSbog2,Live In Buenos Aires,2018,71
6K1fjArmQ4SEiSDIG9fY01,Love In Tokyo,2018,27
3cfAM8b8KqJRoIzt3zLKqw,A Head Full Of Dreams,2015,76
5IDGBfcVjwMoGPKOsfyXLN,A Head Full Of Dreams Tour Edition,2015,36
1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,2014,56
2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,2014,73
5KW3bBpEv3bvxAZ3MACEEz,Mylo Xyloto,2011,30
2R7iJz5uaHjLEVnMkloO18,Mylo Xyloto,2011,73
5GykKNn2KjofEoA8SpNnuw,Mylo Xyloto,2011,33
6JlhIoegCcjtdbTQbypS8R,Viva La Vida - Prospekt's March Edition,2008,51
71pRFAwHBLrjKYRG7V1Q2o,Viva La Vida - Prospekt's March Edition,2008,57
4XTT0NcNHyvl6h9JX2AfEi,Viva La Vida - Prospekt's March Edition,2008,52
1MnAljVs4hcGU6pTcK2jdT,Viva La Vida - Prospekt's March Edition,2008,38
2LIlrvVO0NP48jamVdlDo3,Viva La Vida - Prospekt's March Edition,2008,27
0cnd1tlGnbfScH1KWwgxan,Viva La Vida Or Death And All His Friends,2008,58
4Uo9tGSEkAUYHWfVGHhhZm,Viva La Vida Or Death And All His Friends,2008,51
7sYd6KDHefklNf94RmND8g,Viva La Vida Or Death And All His Friends,2008,55
2Pf1AQbhW6mOIv6fsX6SAb,Viva La Vida Or Death And All His Friends,2008,28
1CEODgTmTwLyabvwd7HBty,Viva La Vida Or Death And All His Friends,2008,70
4E7bV0pzG0LciBSWTszra6,X & Y,2005,74
