id,name,album_id,popularity,url,track_number,valence
5H8lr4az4Vo3LloH67yVRt,A Head Full Of Dreams - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,60,https://p.scdn.co/mp3-preview/ff33e1169a4dfb6e5c1096f0e98f94c5d8671f99?cid=f2aa2c18088747f585c6ff121849072c,1,0.255
2s2Ld1Xm7t88gSVvohNbPL,Yellow - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,62,https://p.scdn.co/mp3-preview/2bd190013b29f54b91d5a1011669a862443f1d80?cid=f2aa2c18088747f585c6ff121849072c,2,0.144
4Q0yfgpERfkp59Pf2tdI4q,Every Teardrop Is A Waterfall - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,61,https://p.scdn.co/mp3-preview/a1279a6c8d2792e6d375af843a6f6028965db732?cid=f2aa2c18088747f585c6ff121849072c,3,0.325
1aZhbOdRqshLS6uPjiO8Y4,The Scientist - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,62,https://p.scdn.co/mp3-preview/15cd809544739eca58a60543569ecb3be63319ea?cid=f2aa2c18088747f585c6ff121849072c,4,0.167
2q8WO601qIwLwV4DgXDCiO,God Put A Smile Upon Your Face - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,60,https://p.scdn.co/mp3-preview/73a590737fff7e3a6afe11ea9acbef2c9d03b2ba?cid=f2aa2c18088747f585c6ff121849072c,5,0.366
314gi4w3RdZxlocdWw0Khr,Paradise - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,60,https://p.scdn.co/mp3-preview/7828e5f43772dedd04d5192e4b1d98948dbf54f4?cid=f2aa2c18088747f585c6ff121849072c,6,0.19
0oAchaVoTWj6lXTR6f2dSU,Always In My Head - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,58,https://p.scdn.co/mp3-preview/647e4a533a96203c6f9863440571e5879977e37c?cid=f2aa2c18088747f585c6ff121849072c,7,0.147
6EqxH0njjZuuI3gFZN3Z1o,Magic - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,59,https://p.scdn.co/mp3-preview/69e9e84e9fe2948e89d006f9b3b2401b4c426266?cid=f2aa2c18088747f585c6ff121849072c,8,0.479
4U5Cr41d1K6s48GAndvCdM,Everglow - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,59,https://p.scdn.co/mp3-preview/cd000f1a7f8f9215b8c9764de215eec3555451ed?cid=f2aa2c18088747f585c6ff121849072c,9,0.234
4cHZ7W5R81upaIGZfqWxbB,Clocks - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,59,https://p.scdn.co/mp3-preview/55d398535d597abc8143302f3ba8deff972e8b67?cid=f2aa2c18088747f585c6ff121849072c,10,0.23
62OqszvOYSuonp6Buj4P74,Midnight - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,56,https://p.scdn.co/mp3-preview/3295d4469ad4ce65c7be6cdae72fbb88f72dc53a?cid=f2aa2c18088747f585c6ff121849072c,11,0.119
3ksF058sVZ21EgQdRLbUyI,Charlie Brown - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,58,https://p.scdn.co/mp3-preview/1e6583eff3deb3a4fc56cac1e04c0fc315378033?cid=f2aa2c18088747f585c6ff121849072c,12,0.28
0w6X9iRKrMyDpRRtbu4tE0,Hymn For The Weekend - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,58,https://p.scdn.co/mp3-preview/4e322eb145085dd160a702dab5eaa034d9e6d145?cid=f2aa2c18088747f585c6ff121849072c,13,0.251
7mGJlNOAOmJ5ptkmujg1Gv,Fix You - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,61,https://p.scdn.co/mp3-preview/eda1a4db82848ee92774f59e4e4ed674b0ca2a2c?cid=f2aa2c18088747f585c6ff121849072c,14,0.201
4Y9lVjRD82aJOQ2v13UIoF,Viva La Vida - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,61,https://p.scdn.co/mp3-preview/bf032162d28f959d83242aeb64b37efa66e94c49?cid=f2aa2c18088747f585c6ff121849072c,15,0.219
3ERJLifTcWBFNZRl6QAqEC,Adventure Of A Lifetime - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,58,https://p.scdn.co/mp3-preview/18a19081ba3f42d2c586676c7d4e13a29d0103cb?cid=f2aa2c18088747f585c6ff121849072c,16,0.275
1aQKPnGNa5vK7aA6lTm4JS,De Música Ligera - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,58,https://p.scdn.co/mp3-preview/80d98bf79d46a4d2995d2c7bc1c1c831bb5c5b00?cid=f2aa2c18088747f585c6ff121849072c,17,0.0819
5MVyXzR1HARqSkQjhPrNBO,Colour Spectrum - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,55,https://p.scdn.co/mp3-preview/b14dbfca6a177c8964484ae520ac6b3971b03a52?cid=f2aa2c18088747f585c6ff121849072c,18,0.133
0o7htzPrB8bP0jnyjiqUdj,In My Place - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,55,https://p.scdn.co/mp3-preview/afb942e4cdf58340698992fec9ae63a8b0d1f739?cid=f2aa2c18088747f585c6ff121849072c,19,0.326
1rAZrYT0Ad4F1RiDaxYknE,Amor Argentina - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,53,https://p.scdn.co/mp3-preview/85d45d74689dccf888c20f1d7080e831f70f2741?cid=f2aa2c18088747f585c6ff121849072c,20,0.317
0hreO9tj5yiYftUuVThaea,Something Just Like This - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,58,https://p.scdn.co/mp3-preview/2f17a26979e3ecdaa449cc3f41df203608e10bf8?cid=f2aa2c18088747f585c6ff121849072c,21,0.17
1EMFnyhETKfI52uhI4baGY,A Sky Full Of Stars - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,57,https://p.scdn.co/mp3-preview/697bc332a6123c2423f96949fea8a412932b5717?cid=f2aa2c18088747f585c6ff121849072c,22,0.2
3glegOEXSkk8HanJe7ZB08,Up&Up - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,55,https://p.scdn.co/mp3-preview/d356f637e95eb976a11f40ab2a85e8ecee7f139e?cid=f2aa2c18088747f585c6ff121849072c,23,0.15
6c64ANGY0NfO2YMpbcJUOR,End Credits - Live In Buenos Aires,19CvkGjYpifkdwgVJSbog2,52,https://p.scdn.co/mp3-preview/b0e2ad3df39644255aac52a17718baa0056f5708?cid=f2aa2c18088747f585c6ff121849072c,24,0.0936
5ASbJVESIKfC2nxNA0UR46,A Head Full Of Dreams - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,21,https://p.scdn.co/mp3-preview/9d470295aa43aa3a45f1bc5fa2e6b6df45533f3d?cid=f2aa2c18088747f585c6ff121849072c,1,0.152
1HpGWJKP77s23Xc7zVdjTj,Yellow - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,22,https://p.scdn.co/mp3-preview/894b397dcf9f049dd4eeaf71df8962cef1ba559b?cid=f2aa2c18088747f585c6ff121849072c,2,0.23
5yH2h98cFLM1B1DJp7uiyv,The Scientist - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,20,https://p.scdn.co/mp3-preview/a55c44538c43e74c9217bae50986c56241c85a29?cid=f2aa2c18088747f585c6ff121849072c,3,0.23
0NoOsbBzgnh9q9lc58dJ4X,Paradise - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,19,https://p.scdn.co/mp3-preview/c224c9df7da5c61c660a7a2d238e49dcf44702ef?cid=f2aa2c18088747f585c6ff121849072c,4,0.107
7LUeeObmtmXOMiAHBN5Qgy,Everglow - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,18,https://p.scdn.co/mp3-preview/fd76de6521ad26bc074fe87b50c28f692a846849?cid=f2aa2c18088747f585c6ff121849072c,5,0.287
40oSHFkxutC7q6B1VkDeHs,Midnight / Charlie Brown - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,18,https://p.scdn.co/mp3-preview/128fb482562dee5f998e6dfdf976c51ae80e661c?cid=f2aa2c18088747f585c6ff121849072c,6,0.0709
68VpbeVBKffSR7LK7zL1Nb,Hymn For The Weekend - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,17,https://p.scdn.co/mp3-preview/59a66cdf8ea3686dfc85af1f0cef88e12efd7acc?cid=f2aa2c18088747f585c6ff121849072c,7,0.413
5US1KwaMM5EkH9RThcX25u,Fix You - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,17,https://p.scdn.co/mp3-preview/cbda3f01af7e90d239bd408bd7a30a60ce6103de?cid=f2aa2c18088747f585c6ff121849072c,8,0.0817
3fFH0oyosweyLnFLfUAV5h,Viva La Vida - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,21,https://p.scdn.co/mp3-preview/0b46020bceaef4f6bc51c9b9b326d6bcb425a53d?cid=f2aa2c18088747f585c6ff121849072c,9,0.14
21rlsFc8Dv1Vo5EYGkgzT2,Adventure Of A Lifetime - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,18,https://p.scdn.co/mp3-preview/7bc1a8a8a5b4c0024f4b0e554a8d9d12c8a5ffa0?cid=f2aa2c18088747f585c6ff121849072c,10,0.341
5uGINDoIem5LRsV182tl06,Us Against The World - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,15,https://p.scdn.co/mp3-preview/948639ec3e39e508803969f2e6f9f4f7065fb524?cid=f2aa2c18088747f585c6ff121849072c,11,0.0866
3ljoRKFqQM2S2DMebq7ktf,Something Just Like That - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,18,https://p.scdn.co/mp3-preview/e1e05321fbf531ce7dff160f8cfd75c4a2a4f718?cid=f2aa2c18088747f585c6ff121849072c,12,0.161
71P3wgiqJ2ZyaohY7UlDUk,A Sky Full Of Stars - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,19,https://p.scdn.co/mp3-preview/693cd392b0ebb5e1035f8e50a44f6c8b63af9501?cid=f2aa2c18088747f585c6ff121849072c,13,0.241
3ilTIS9N6zPF5AykezFX2C,Up&Up - Love In Tokyo Version,6K1fjArmQ4SEiSDIG9fY01,16,https://p.scdn.co/mp3-preview/b75efc6bee5189e4fee0fd0328225de6128150af?cid=f2aa2c18088747f585c6ff121849072c,14,0.117
6f49kbOuQSOsStBpyGvQfA,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,68,https://p.scdn.co/mp3-preview/a05bd081296b317e2872717f1f9f2f997491799d?cid=f2aa2c18088747f585c6ff121849072c,1,0.0773
3HWDWyIqWuLsTHECx9DvXF,Birds,3cfAM8b8KqJRoIzt3zLKqw,64,https://p.scdn.co/mp3-preview/60b6c7ebaf88ac8b40bfa6fd27e90877aaaff9f9?cid=f2aa2c18088747f585c6ff121849072c,2,0.15
