id,name,date,popularity
1LShhEEKRT5MNPcO7jtYHh,So Far Gone,2019,75
2podUJIFG8hLfFz7Kqe8yJ,So Far Gone,2019,46
1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018,90
42wvKYHFezpmDuAP43558f,Scorpion,2018,57
1lXY618HWkwYKJWBRYR4MK,More Life,2017,81
4dvkEfxroInqojJWP06R2V,More Life,2017,51
0G1ffjfFuTUTVjDrVdLimH,Views,2016,67
5Eh3UJQnR3SRcYAuNTlj2s,Views,2016,44
40GMAhriYJRO1rsY4YdrZb,Views,2016,81
2yIwhsIWGRQzGQdn1czSK0,Views,2016,47
15QCBYjP6HwHvsff100UBx,What A Time To Be Alive,2015,44
1ozpmkWcCHwsQ4QTnxOOdT,What A Time To Be Alive,2015,71
0ptlfJfwGTy0Yvrk14JK1I,If You're Reading This It's Too Late,2015,75
5bqZfS9HUBTtxW0UiG05qC,If You're Reading This It's Too Late,2015,44
2ZUFSbIkmFkGag000RWOpA,Nothing Was The Same (Deluxe),2013,69
2gXTTQ713nCELgPOS0qWyt,Nothing Was The Same (Deluxe),2013,72
5mz0mJxb80gqJIcRf9LGHJ,Nothing Was The Same (Deluxe),2013,55
766Pi8jEi9JZRvi4y9KRdP,Nothing Was The Same (Deluxe),2013,32
5dyR0ROpw6MEAwhoi3jFHs,Nothing Was The Same (Deluxe),2013,8
3s8Lsh6OjP2uWK6UYaTzEv,Nothing Was The Same (Deluxe),2013,19
