id,name,album_id,popularity,url,track_number,valence
1v24T2ug4TlssYZvI3aL4O,Lust For Life,1LShhEEKRT5MNPcO7jtYHh,68,,1,0.0853
3XLSlQLJf3Ut0zvMUxnF1h,Houstatlantavegas,1LShhEEKRT5MNPcO7jtYHh,67,,2,0.406
6NwhtCYkfwWlcR62Ac4E7y,Successful (feat. Trey Songz & Lil Wayne),1LShhEEKRT5MNPcO7jtYHh,69,,3,0.231
4FDSPGncHRpr6yB8DD4CtI,Let’s Call It Off (feat. Peter Bjorn and John),1LShhEEKRT5MNPcO7jtYHh,65,,4,0.938
0JaVdpmiex2EP7bBzyKVTa,November 18th,1LShhEEKRT5MNPcO7jtYHh,68,,5,0.534
2hcohLIysMxofYziluXCoX,Ignant Shit (feat. Lil Wayne),1LShhEEKRT5MNPcO7jtYHh,67,,6,0.121
3lkkkYc1wBj5l3FVlpqvP6,A Night Off (feat. Lloyd),1LShhEEKRT5MNPcO7jtYHh,63,,7,0.368
7mPoCVGP752A5DtHf1SKkM,Say What's Real,1LShhEEKRT5MNPcO7jtYHh,63,,8,0.455
524wvipGqxPKYWxkjf9y46,Little Bit (feat. Lykke Li),1LShhEEKRT5MNPcO7jtYHh,65,,9,0.771
3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,1LShhEEKRT5MNPcO7jtYHh,67,,10,0.558
2TWSilrWcTrgVKcP8kfEfg,Unstoppable (feat. Santigold & Lil Wayne),1LShhEEKRT5MNPcO7jtYHh,63,,11,0.821
0q7LGcVSpsIoSbjChtZ8lI,Uptown (feat. Bun B & Lil Wayne),1LShhEEKRT5MNPcO7jtYHh,66,,12,0.417
43iKgGbmfqPLh3mxUlospI,Sooner Than Later,1LShhEEKRT5MNPcO7jtYHh,62,,13,0.506
4i3GraNMzBKze1WsVl38DS,Bria's Interlude (feat. Omarion),1LShhEEKRT5MNPcO7jtYHh,62,,14,0.237
6MlGqWzDiLkZ0vmAEsisEk,The Calm,1LShhEEKRT5MNPcO7jtYHh,61,,15,0.258
6hHKFReuQR9VQp39ev43wY,Outro (feat. Chilly Gonzales),1LShhEEKRT5MNPcO7jtYHh,59,,16,0.136
4XTXamS1g4g93jPxyuFJJ6,Brand New,1LShhEEKRT5MNPcO7jtYHh,62,,17,0.356
3SnXwQUrvSacFziUYXTNKY,Congratulations,1LShhEEKRT5MNPcO7jtYHh,63,,18,0.125
4Oqhd37CXCG6qYbmHGzJJ5,Lust For Life,2podUJIFG8hLfFz7Kqe8yJ,30,,1,0.0815
7i2X27hQnVtr5emUBXMnnz,Houstatlantavegas,2podUJIFG8hLfFz7Kqe8yJ,34,,2,0.427
3tbqvZYf7mcIrbLvjzokhv,Successful (feat. Trey Songz & Lil Wayne),2podUJIFG8hLfFz7Kqe8yJ,33,,3,0.22
3baJKX6yyPUT92zNStX5z6,Let’s Call It Off (feat. Peter Bjorn and John),2podUJIFG8hLfFz7Kqe8yJ,30,,4,0.937
2vHmE2q0EYbw0F8asrHPmW,November 18th,2podUJIFG8hLfFz7Kqe8yJ,31,,5,0.555
2h65kdqlhMRtp5l5qIFA9v,Ignant Shit (feat. Lil Wayne),2podUJIFG8hLfFz7Kqe8yJ,51,,6,0.12
1bMYRdTXYdj7KSu4r0O3IQ,A Night Off (feat. Lloyd),2podUJIFG8hLfFz7Kqe8yJ,28,,7,0.332
2p0KdK06O9KUMCQ0gsFF0P,Say What's Real,2podUJIFG8hLfFz7Kqe8yJ,28,,8,0.481
1uBaQNOsRatk1bBTBJnKek,Little Bit (feat. Lykke Li),2podUJIFG8hLfFz7Kqe8yJ,31,,9,0.783
4AcScHuxr9xAqqyxxTMAhu,Best I Ever Had,2podUJIFG8hLfFz7Kqe8yJ,45,,10,0.546
3DQb8H8mBaxXtrpwZWfen1,Unstoppable (feat. Santigold & Lil Wayne),2podUJIFG8hLfFz7Kqe8yJ,28,,11,0.841
6xTROKXoqNjGhFNIjfoDO2,Uptown (feat. Bun B & Lil Wayne),2podUJIFG8hLfFz7Kqe8yJ,35,,12,0.405
12iCwfAxGDFvpU7aTusAle,Sooner Than Later,2podUJIFG8hLfFz7Kqe8yJ,29,,13,0.534
3x8P00PKvIL9w7Z3XI9zyW,Bria's Interlude (feat. Omarion),2podUJIFG8hLfFz7Kqe8yJ,28,,14,0.239
71tHNdPFrCNiulvoKzeEuk,The Calm,2podUJIFG8hLfFz7Kqe8yJ,28,,15,0.24
5hKi8LHc2GF5v9TSsvgZaf,Outro (feat. Chilly Gonzales),2podUJIFG8hLfFz7Kqe8yJ,23,,16,0.122
18Dv8QiJUFh0erAN0R7jDh,Brand New,2podUJIFG8hLfFz7Kqe8yJ,28,,17,0.368
0ISIeXBvGQIcQGYfR56jy8,Congratulations,2podUJIFG8hLfFz7Kqe8yJ,29,,18,0.15
2yg9UN4eo5eMVJ7OB4RWj3,Survival,1ATL5GLyefJaxhQzSPVrLX,68,,1,0.149
0TlLq3lA83rQOYtrqBqSct,Nonstop,1ATL5GLyefJaxhQzSPVrLX,86,,2,0.422
3szf2z1Cy1QMrtHrbn8rz9,Elevate,1ATL5GLyefJaxhQzSPVrLX,72,,3,0.0541
5Psnhdkyanjpgc2P8A5TSM,Emotionless,1ATL5GLyefJaxhQzSPVrLX,72,,4,0.0845
6DCZcSspjsKoFjzjrWoCdn,God's Plan,1ATL5GLyefJaxhQzSPVrLX,88,,5,0.357
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,1ATL5GLyefJaxhQzSPVrLX,77,,6,0.492
0zqy3ss4CwD6u4QPksS0nI,8 Out Of 10,1ATL5GLyefJaxhQzSPVrLX,69,,7,0.311
7rC5Pl8rQSX4myONQHYPBK,Mob Ties,1ATL5GLyefJaxhQzSPVrLX,78,,8,0.49
1dUHF4RyMmMTveJ0Rby6Xm,Can’t Take A Joke,1ATL5GLyefJaxhQzSPVrLX,73,,9,0.447
6cblRiEGDRNZgowcm951R3,Sandra’s Rose,1ATL5GLyefJaxhQzSPVrLX,68,,10,0.52
4ksuI04WMvUnJbHQjgs3L5,Talk Up (feat. Jay-Z),1ATL5GLyefJaxhQzSPVrLX,68,,11,0.335
1Tnw0ItH1Macok8gblnPPd,Is There More,1ATL5GLyefJaxhQzSPVrLX,67,,12,0.548
11L064movtyopGdLiX4sVg,Peak,1ATL5GLyefJaxhQzSPVrLX,68,,1,0.273
4HG1YiGBseVKzjyKcmAJen,Summer Games,1ATL5GLyefJaxhQzSPVrLX,69,,2,0.134
4c2xt1trwYZpMqPWY35Xi9,Jaded,1ATL5GLyefJaxhQzSPVrLX,72,,3,0.0371
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,1ATL5GLyefJaxhQzSPVrLX,84,,4,0.757
2WP8G2pdddDmnh1xbfKBOI,Finesse,1ATL5GLyefJaxhQzSPVrLX,71,,5,0.298
4SUwJA3eUVNHExxMPEUhQe,Ratchet Happy Birthday,1ATL5GLyefJaxhQzSPVrLX,66,,6,0.626
41a7dZcq30Ss5kPMayWRV0,That’s How You Feel,1ATL5GLyefJaxhQzSPVrLX,70,,7,0.38
4n1bdaKwynQndm47x5HqWX,Blue Tint,1ATL5GLyefJaxhQzSPVrLX,71,,8,0.123
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,1ATL5GLyefJaxhQzSPVrLX,87,,9,0.35
6G8kHiVZ1jW7vHMPVRNZU0,Don’t Matter To Me (with Michael Jackson),1ATL5GLyefJaxhQzSPVrLX,79,,10,0.138
3mvYQKm8h6M5K5h0nVPY9S,After Dark (feat. Static Major & Ty Dolla $ign),1ATL5GLyefJaxhQzSPVrLX,70,,11,0.329
44Du2IM1bGY7dicmLfXbUs,Final Fantasy,1ATL5GLyefJaxhQzSPVrLX,68,,12,0.104
09lmraDvzBT3pUQ2rUtJzK,March 14,1ATL5GLyefJaxhQzSPVrLX,64,,13,0.317
49KdpIvtcWvPstilpk6SCy,Survival,42wvKYHFezpmDuAP43558f,30,,1,0.153
4pQiWe7SzoQdGF6z8ZoZ9v,Nonstop,42wvKYHFezpmDuAP43558f,54,,2,0.428
6ve3BBJbJGz6PWVTl2jgey,Elevate,42wvKYHFezpmDuAP43558f,35,,3,0.0549
6pA3J7cB9N9Og9exxrblT8,Emotionless,42wvKYHFezpmDuAP43558f,36,,4,0.0789
5t9KtCfnu8wQui1G6IqqBR,God's Plan,42wvKYHFezpmDuAP43558f,57,,5,0.346
0jG6bL0uU9FjfZyZRH9wzu,I'm Upset,42wvKYHFezpmDuAP43558f,48,,6,0.416
1iDIWccY2uqjp9ZNYaMMMP,8 Out Of 10,42wvKYHFezpmDuAP43558f,33,,7,0.333
4Qn4oX3vs6y5nC5l1lv2J4,Mob Ties,42wvKYHFezpmDuAP43558f,46,,8,0.546
6M7iZDRYExqatdo9RpOtvv,Can’t Take A Joke,42wvKYHFezpmDuAP43558f,38,,9,0.435
6jYUYDsjnqwd2gsOHiD1uJ,Sandra’s Rose,42wvKYHFezpmDuAP43558f,30,,10,0.506
4BmsVfixi6ndJ0pNZlE75D,Talk Up (feat. Jay-Z),42wvKYHFezpmDuAP43558f,31,,11,0.354
0un9PdTUT05DFU7YPo7FZK,Is There More,42wvKYHFezpmDuAP43558f,27,,12,0.547
3djeq7cfDsqoeGVbvmMX28,Peak,42wvKYHFezpmDuAP43558f,29,,1,0.254
0jR76WJlOwnT5CqyMqmyMD,Summer Games,42wvKYHFezpmDuAP43558f,30,,2,0.134
5pWhDnazMwb9sQzRwwoY28,Jaded,42wvKYHFezpmDuAP43558f,32,,3,0.0369
38hSjSZecuHFsOHaffA2Pm,Nice For What,42wvKYHFezpmDuAP43558f,56,,4,0.787
11I2FQz8akj8jyRDnKuhMH,Finesse,42wvKYHFezpmDuAP43558f,31,,5,0.298
2GC0GrzVKoXgqQiajMpfmp,Ratchet Happy Birthday,42wvKYHFezpmDuAP43558f,29,,6,0.562
1ttKBiCCm8JZq2QO6Oy7qP,That’s How You Feel,42wvKYHFezpmDuAP43558f,35,,7,0.271
0CmBj49HuYOUQrbkpQGSZU,Blue Tint,42wvKYHFezpmDuAP43558f,34,,8,0.118
0h1W19pS59KtEd7aDzF58i,In My Feelings,42wvKYHFezpmDuAP43558f,56,,9,0.366
7F2Asc2ygbpVSurTCOP8Po,Don’t Matter To Me (with Michael Jackson),42wvKYHFezpmDuAP43558f,38,,10,0.138
07yzjL0GV0eSLAHW5qUPq4,After Dark (feat. Static Major & Ty Dolla $ign),42wvKYHFezpmDuAP43558f,31,,11,0.34
1xkHW2eq7ffX2jXqPYd51i,Final Fantasy,42wvKYHFezpmDuAP43558f,27,,12,0.106
6Emcb2QtYVJc6ViEHQSWC4,March 14,42wvKYHFezpmDuAP43558f,26,,13,0.311
05KOgYg8PGeJyyWBPi5ja8,Free Smoke,1lXY618HWkwYKJWBRYR4MK,67,,1,0.208
6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,1lXY618HWkwYKJWBRYR4MK,64,,2,0.52
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,1lXY618HWkwYKJWBRYR4MK,81,,3,0.372
13e6f8t7RKXuxZ0JdaaJRG,Jorja Interlude,1lXY618HWkwYKJWBRYR4MK,64,,4,0.205
7y6c07pgjZvtHI9kuMVqk1,Get It Together,1lXY618HWkwYKJWBRYR4MK,68,,5,0.844
76gUmNLXGQVOsGhfcshkFP,Madiba Riddim,1lXY618HWkwYKJWBRYR4MK,66,,6,0.319
2XlHu0HcujBCkWMdIAvrqt,Blem,1lXY618HWkwYKJWBRYR4MK,68,,7,0.392
2fkeWbM6iqTw7oGHTYm2lw,4422,1lXY618HWkwYKJWBRYR4MK,65,,8,0.221
6UjfByV1lDLW0SOVQA4NAi,Gyalchester,1lXY618HWkwYKJWBRYR4MK,72,,9,0.156
2dfqS3MRtbLZSZA1IL8xY5,Skepta Interlude,1lXY618HWkwYKJWBRYR4MK,61,,10,0.403
2bjwRfXMk4uRgOD9IBYl9h,Portland,1lXY618HWkwYKJWBRYR4MK,75,,11,0.314
0xl1w2q4VLojeXp4JfazPL,Sacrifices,1lXY618HWkwYKJWBRYR4MK,65,,12,0.555
6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,1lXY618HWkwYKJWBRYR4MK,61,,13,0.279
6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,1lXY618HWkwYKJWBRYR4MK,74,,14,0.175
2jTujnt0y344ai1rNOywgr,KMT,1lXY618HWkwYKJWBRYR4MK,67,,15,0.0883
2Na0z2gfN67Rzf0vp74Wi3,Lose You,1lXY618HWkwYKJWBRYR4MK,61,,16,0.373
5f5r2N4Lp9WoULWPH9zp2W,Can't Have Everything,1lXY618HWkwYKJWBRYR4MK,62,,17,0.438
28irpKCCK9nn9DZSik2zEx,Glow,1lXY618HWkwYKJWBRYR4MK,60,,18,0.391
5JUu0unA8VwhTZ9LkMWUVI,Since Way Back,1lXY618HWkwYKJWBRYR4MK,61,,19,0.258
343YBumqHu19cGoGARUTsd,Fake Love,1lXY618HWkwYKJWBRYR4MK,76,,20,0.605
7bJ4mu7MHa3rHiNyKjOoSl,Ice Melts,1lXY618HWkwYKJWBRYR4MK,64,,21,0.631
2KvHC9z14GSl4YpkNMX384,Do Not Disturb,1lXY618HWkwYKJWBRYR4MK,72,,22,0.465
4DVRguqFUfQQFxxwuEk9wI,Free Smoke,4dvkEfxroInqojJWP06R2V,41,,1,0.193
52qJladopu0vDn2njqIcTI,No Long Talk,4dvkEfxroInqojJWP06R2V,36,,2,0.512
3c9LSxnx0AXdsXiewstFC1,Passionfruit,4dvkEfxroInqojJWP06R2V,49,,3,0.368
25UWSqTX3E8jiH95uxMUOH,Jorja Interlude,4dvkEfxroInqojJWP06R2V,33,,4,0.237
