id,name,date,popularity
3HNnxK7NgLXbDoxRZxNWiR,Kamikaze,2018,84
5pJBqddqlkBbGKQvljZIms,Kamikaze,2018,48
0U6ldwLBEMkwgfQRY4V6D2,Revival,2017,76
7cwcyW39NGUAiukHc1MOFD,Revival,2017,53
2mzSjECCtpaHI9GEt5lbkP,Revival,2017,21
02BQFiWcFYKb5iJIKVpPap,Revival,2017,35
6DN7GcZF1HywzrkGN6Eeqk,The Marshall Mathers LP2 (Deluxe),2013,75
3vOgbDjgsZBAPwV2M3bNOj,The Marshall Mathers LP2,2013,66
6Vn28iXHIwxmvh4Va0hSoe,The Marshall Mathers LP2,2013,42
2NDWe8wEVGozh9VigPwQGj,The Marshall Mathers LP2,2013,32
1UiPHgFputxSUssPibAVxc,The Marshall Mathers LP2,2013,49
1YVirtsO6xC4eTfJnUL3yK,The Marshall Mathers LP2,2013,38
368g1I18oO6ClEWLG45EAJ,The Marshall Mathers LP2 (Deluxe),2013,11
2daneMhEL8LQopuN1zOngE,The Marshall Mathers LP2,2013,6
2MJQbOV9HgYh8y773aEdHV,Recovery (Deluxe Edition),2010,17
47BiFcV59TQi2s9SkBo2pb,Recovery,2010,79
2bn6QpvG94QJkQTETzjTCs,Recovery,2010,44
2sH5LthgBQ95vHzgPBB1Wl,Recovery,2010,36
7MZzYkbHL9Tk3O6WeD4Z0Z,Relapse: Refill,2009,71
0iBl0xtWCSFHISzTmp6Wa3,Relapse: Refill,2009,21
