id,name,album_id,popularity,url,track_number,valence
2jt2WxXMCD4zjACthkJQVE,The Ringer,3HNnxK7NgLXbDoxRZxNWiR,79,,1,0.42
2XTquzYQAdT1Hk78bOUwsv,Greatest,3HNnxK7NgLXbDoxRZxNWiR,75,,2,0.367
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),3HNnxK7NgLXbDoxRZxNWiR,84,,3,0.575
0Uv5Kp8sEnriJjkX4oLfNI,Paul - Skit,3HNnxK7NgLXbDoxRZxNWiR,68,,4,0.561
0evt4UZbdhnHtcAnxkm6A1,Normal,3HNnxK7NgLXbDoxRZxNWiR,71,,5,0.803
6B3zy3LOKHndqsviCr2z15,Em Calls Paul - Skit,3HNnxK7NgLXbDoxRZxNWiR,66,,6,0.602
60Z57Wdrn0pEVpHI7d7GAX,Stepping Stone,3HNnxK7NgLXbDoxRZxNWiR,71,,7,0.312
28FGV3ORH14MYORd7s5dlU,Not Alike (feat. Royce Da 5'9),3HNnxK7NgLXbDoxRZxNWiR,76,,8,0.342
2gsNpSn7VvvJuSrIDfRoYy,Kamikaze,3HNnxK7NgLXbDoxRZxNWiR,75,,9,0.642
58QhkbaAkLFnn7JwAnAato,Fall,3HNnxK7NgLXbDoxRZxNWiR,77,,10,0.535
09FfQO3PqHO4HIJL511Ksi,Nice Guy (with Jessie Reyez),3HNnxK7NgLXbDoxRZxNWiR,69,,11,0.563
4g32MdRoqwGKQd3NXIRhpU,Good Guy (feat. Jessie Reyez),3HNnxK7NgLXbDoxRZxNWiR,72,,12,0.728
2SL6oP2YAEQbqsrkOzRGO4,Venom - Music From The Motion Picture,3HNnxK7NgLXbDoxRZxNWiR,80,,13,0.46
7CcoUAtUcYhUfBsmtn0ajO,Walk On Water (feat. BeyoncÌ©),0U6ldwLBEMkwgfQRY4V6D2,68,,1,0.618
4iTyf5pLZMOR8YrEZgSopo,Believe,0U6ldwLBEMkwgfQRY4V6D2,67,,2,0.11
13aKdwvdGjuZDv2OOKyvs7,Chloraseptic (feat. Phresher),0U6ldwLBEMkwgfQRY4V6D2,56,,3,0.414
6IvespQWGW4USXwexlVKDm,Untouchable,0U6ldwLBEMkwgfQRY4V6D2,56,,4,0.648
1cS0TgbR263ey9jn0MwD2s,River (feat. Ed Sheeran),0U6ldwLBEMkwgfQRY4V6D2,81,,5,0.659
2tKJpsRSTxmGAe6TKcstR4,Remind Me (Intro),0U6ldwLBEMkwgfQRY4V6D2,8,,6,0.491
5uvwJAheJJEkgu88t3Wqf5,Remind Me,0U6ldwLBEMkwgfQRY4V6D2,65,,7,0.784
74dQwVKuCx6aDI2BQ7xW92,Revival (Interlude),0U6ldwLBEMkwgfQRY4V6D2,55,,8,0.762
2Ie7pnF3ZKNTde30TQWlWx,Like Home (feat. Alicia Keys),0U6ldwLBEMkwgfQRY4V6D2,60,,9,0.258
3GOjD8hwXOxbTF3apTqSqX,Bad Husband (feat. X Ambassadors),0U6ldwLBEMkwgfQRY4V6D2,64,,10,0.478
3xpTHrC1b6dmiLEeM5jO0z,Tragic Endings (feat. Skylar Grey),0U6ldwLBEMkwgfQRY4V6D2,63,,11,0.512
4UTpObwAYO67yymOoCeXwS,Framed,0U6ldwLBEMkwgfQRY4V6D2,58,,12,0.735
4xs1uoAjiWAEecX9yKGSF6,Nowhere Fast (feat. Kehlani),0U6ldwLBEMkwgfQRY4V6D2,64,,13,0.663
7ntU619k40YVxcRvFNDTNn,Heat,0U6ldwLBEMkwgfQRY4V6D2,56,,14,0.519
6ogACNVtzSJHzqLhzUegaf,Offended,0U6ldwLBEMkwgfQRY4V6D2,57,,15,0.731
6B2ERbVUDfIiUNXCWhjzFG,Need Me (feat. Pink),0U6ldwLBEMkwgfQRY4V6D2,58,,16,0.513
5qykEZTHAcplCLrynoLRnN,In Your Head,0U6ldwLBEMkwgfQRY4V6D2,64,,17,0.252
0lc70Jh2s1iOMuv9XIEhFy,Castle,0U6ldwLBEMkwgfQRY4V6D2,63,,18,0.279
3fYptFSlH8Xs7Uoybytyrm,Arose,0U6ldwLBEMkwgfQRY4V6D2,62,,19,0.547
3IaAYtmN8T0YIYVqnxNnVz,Bad Guy,6DN7GcZF1HywzrkGN6Eeqk,63,,1,0.358
7BneCfYRPXAJsEXRdVzEfV,Parking Lot - Skit,6DN7GcZF1HywzrkGN6Eeqk,49,,2,0.126
45JxylFwaThjLsRBuzcfoL,Rhyme Or Reason,6DN7GcZF1HywzrkGN6Eeqk,57,,3,0.6
6dJRP4pXk4SOzWfhfHL3Or,So Much Better,6DN7GcZF1HywzrkGN6Eeqk,56,,4,0.616
3stOygN0I7CIvkEB2LJGbv,Survival,6DN7GcZF1HywzrkGN6Eeqk,68,,5,0.437
1mavQ4WCzXSeL2Dm5DS4GQ,Legacy,6DN7GcZF1HywzrkGN6Eeqk,66,,6,0.534
0OOv1XGVVzUgTIzomIHfR0,Asshole,6DN7GcZF1HywzrkGN6Eeqk,57,,7,0.499
6Xk7PnitV9jCRorWt2LiVZ,Berzerk,6DN7GcZF1HywzrkGN6Eeqk,69,,8,0.684
6or1bKJiZ06IlK0vFvY75k,Rap God,6DN7GcZF1HywzrkGN6Eeqk,78,,9,0.625
5k7wy2Ek7y6kSQ4fER7w0E,Brainless,6DN7GcZF1HywzrkGN6Eeqk,56,,10,0.589
6MtI49ggHHumUTONlvMQlq,Stronger Than I Was,6DN7GcZF1HywzrkGN6Eeqk,57,,11,0.324
4WgvTITBJbEfCJHguiE7QS,The Monster,6DN7GcZF1HywzrkGN6Eeqk,60,,12,0.624
0nzsCN9rtXdugPoiIT49Kj,So Far...,6DN7GcZF1HywzrkGN6Eeqk,55,,13,0.708
0iMN420Q45isZVNlAqzPTW,Love Game,6DN7GcZF1HywzrkGN6Eeqk,58,,14,0.707
222dTwr5XeEgAzEtsrQA0R,Headlights,6DN7GcZF1HywzrkGN6Eeqk,64,,15,0.453
3E1BkJEsRK7VsSNzijilGm,Evil Twin,6DN7GcZF1HywzrkGN6Eeqk,53,,16,0.783
5sGzBBWPe4YC2YoW7lBYph,Baby,6DN7GcZF1HywzrkGN6Eeqk,52,,17,0.829
01zPnSlKCw9WLbY0kvNep0,Desperation,6DN7GcZF1HywzrkGN6Eeqk,52,,18,0.662
3fCRPhzGYSd4y6K1qjFcIp,Groundhog Day,6DN7GcZF1HywzrkGN6Eeqk,52,,19,0.56
7hiBhOh4s8G0xmGYBAjyuw,Beautiful Pain,6DN7GcZF1HywzrkGN6Eeqk,65,,20,0.4
4dfAUJI1QesmK5HfK9gtYs,Wicked Ways,6DN7GcZF1HywzrkGN6Eeqk,57,,21,0.131
3Tj1luJyKPQt7WbrqpJ2Az,Cold Wind Blows,47BiFcV59TQi2s9SkBo2pb,63,,1,0.584
66h8hB4In6t725WtAPL23J,Talkin‰Ûª 2 Myself,47BiFcV59TQi2s9SkBo2pb,61,,2,0.494
6HLZaECJKDjNE0jiGBeqxz,On Fire,47BiFcV59TQi2s9SkBo2pb,58,,3,0.558
7kNlRLC9PEH8nXMVawssMx,Won't Back Down,47BiFcV59TQi2s9SkBo2pb,63,,4,0.338
1ne7JVHEPnoncXzQunQVKW,W.T.P.,47BiFcV59TQi2s9SkBo2pb,62,,5,0.685
0ZqWBTU1EkdVPAMwQgfKiv,Going Through Changes,47BiFcV59TQi2s9SkBo2pb,61,,6,0.319
7Ie9W94M7OjPoZVV216Xus,Not Afraid,47BiFcV59TQi2s9SkBo2pb,78,,7,0.668
2V7NoXGv2VDnLeTM7w8SFd,Seduction,47BiFcV59TQi2s9SkBo2pb,59,,8,0.504
7bHT9osSq1rwT2yaImzqCi,No Love,47BiFcV59TQi2s9SkBo2pb,71,,9,0.33
0sHW1jXe6Sou3437gJQNGA,Space Bound,47BiFcV59TQi2s9SkBo2pb,71,,10,0.503
4SE4yewyGpOYfxfx59Yjc5,Cinderella Man,47BiFcV59TQi2s9SkBo2pb,71,,11,0.687
0dyWQoMOU9oERL6c9vxtRp,25 To Life,47BiFcV59TQi2s9SkBo2pb,67,,12,0.362
5Ve4qBYAThGLTOva0hhoTa,So Bad,47BiFcV59TQi2s9SkBo2pb,61,,13,0.774
0ANExk8Iu85oqCgk82rG64,Almost Famous,47BiFcV59TQi2s9SkBo2pb,58,,14,0.487
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,47BiFcV59TQi2s9SkBo2pb,80,,15,0.641
