id,name,date,popularity
64nhe9s692yKECAoMcEQ8U,Can't Say I Ain't Country,2019,76
09KOjaflTBRE28GVvXqkYC,Dig Your Roots,2016,72
3W80SKudkIYkRbvYeRjlbc,Dig Your Roots (Big Machine Radio Release Special),2016,62
0r7PVkkg4jWwNeeloGiMhA,Anything Goes,2014,44
5NG7WZaCZZ12M5LJm0JcVc,Anything Goes,2014,67
0uqAyKT7oMZDFMyteJOJWI,Here's To The Good Times...This Is How We Roll,2013,65
0tlygcp8NWY9Jfq80OFhA0,Here's To The Good Times...This Is How We Roll,2013,58
5jRr9WVhecAgJyRKbtQBoh,Here's To The Good Times,2013,4
5MH765pytbQasmDxXArTah,Here's To The Good Times,2012,67
2GSU4IGtDcY5kCXnCJbfNT,Here's To The Good Times,2012,55
7ia47gsSDQCpB2aJw5LwQx,Here's To The Good Times,2012,44
