id,name,album_id,popularity,url,track_number,valence
08qPrqMvFQfcvyGHdkH1UN,Tyler Got Him A Tesla - Skit,64nhe9s692yKECAoMcEQ8U,49,,1,0.695
4AQ0FuLnPIM4rDKH4VleLD,Can’t Say I Ain’t Country,64nhe9s692yKECAoMcEQ8U,62,,2,0.739
4L9Ds4mpD3SuYoWwFUlv16,Simple,64nhe9s692yKECAoMcEQ8U,78,,3,0.864
4qQwGRtGT7l6ckQtdPEFd4,Talk You Out Of It,64nhe9s692yKECAoMcEQ8U,78,,4,0.558
4kU4mk9V1wMjxroJzyWAHv,All Gas No Brakes - Skit,64nhe9s692yKECAoMcEQ8U,50,,5,0.616
6GrPuAwc1WApDcuhP7E2fw,Speed Of Love,64nhe9s692yKECAoMcEQ8U,59,,6,0.744
5UYFqUJBBVgpGqdONKbH3t,Women,64nhe9s692yKECAoMcEQ8U,62,,7,0.451
3dIvnXEqvm8drsoCtnWWFw,People Are Different,64nhe9s692yKECAoMcEQ8U,61,,8,0.623
7lR681gCdubcd1wWVsHq7Y,Told You,64nhe9s692yKECAoMcEQ8U,58,,9,0.548
20kIz84ivvDt8LTJu6MSyN,Sack’a Puppies - Skit,64nhe9s692yKECAoMcEQ8U,48,,10,0.91
1NJnv7vvUZ5xM1DIWbngmN,Y’all Boys,64nhe9s692yKECAoMcEQ8U,58,,11,0.753
66OqnHUVdcpj1RJJh6ady9,Small Town,64nhe9s692yKECAoMcEQ8U,59,,12,0.566
2lf3fWzNhL5518BVE9iUlt,Sittin’ Pretty,64nhe9s692yKECAoMcEQ8U,60,,13,0.805
4QvS0vp9g5qoGl4aupY2iR,Catfish Nuggets - Skit,64nhe9s692yKECAoMcEQ8U,48,,14,0.829
2h8szyWmfavIbiWm0KWpB0,Can’t Hide Red,64nhe9s692yKECAoMcEQ8U,68,,15,0.471
7ibxBJTi65IESyScbTGriO,Colorado,64nhe9s692yKECAoMcEQ8U,62,,16,0.779
2JSnL1yIvXW2PMXuPLD4Vd,Like You Never Had It,64nhe9s692yKECAoMcEQ8U,61,,17,0.425
24nFfy0Vq58gQdbpHP5aXw,Swerve,64nhe9s692yKECAoMcEQ8U,62,,18,0.907
7dnDBbHKyJNFXoeVwO8KBY,Blessings,64nhe9s692yKECAoMcEQ8U,60,,19,0.334
31x4wWBghN7f5PiEZUmcAW,Smooth,09KOjaflTBRE28GVvXqkYC,62,,1,0.332
7wzLu2aumQh8yIdq5B55Fg,Dig Your Roots,09KOjaflTBRE28GVvXqkYC,57,,2,0.456
67tasguLElvxPOZXkwcAIF,Life Is A Honeymoon,09KOjaflTBRE28GVvXqkYC,53,,3,0.745
0BCy325UZyR9z0t0uxwn2N,H.O.L.Y.,09KOjaflTBRE28GVvXqkYC,74,,4,0.54
0D0BxbFjIHfpFSmyuR666F,Island,09KOjaflTBRE28GVvXqkYC,53,,5,0.43
498ZVInMGDkmmNVpSWqHiZ,May We All,09KOjaflTBRE28GVvXqkYC,72,,6,0.646
32s2XKjyXifmlGfU2tkT8y,Summerland,09KOjaflTBRE28GVvXqkYC,53,,7,0.663
11uKHaUkOKisT2cvBnSo2l,Lifer,09KOjaflTBRE28GVvXqkYC,49,,8,0.479
235yGFHw30yUPg1qdJFzRI,"Good Girl, Bad Boy",09KOjaflTBRE28GVvXqkYC,57,,9,0.629
6qXkmquPIHcr4yCWqtCskm,Wish You Were On It,09KOjaflTBRE28GVvXqkYC,55,,10,0.656
4VFE6ZNqa8jHAmbYICoAFg,"God, Your Mama, And Me",09KOjaflTBRE28GVvXqkYC,69,,11,0.725
0uCem3X4V9xZGVzIWw3uKf,Music Is Healing,09KOjaflTBRE28GVvXqkYC,54,,12,0.459
1Q9ePyZ6uZEU6Mmiux9KiE,While He's Still Around,09KOjaflTBRE28GVvXqkYC,45,,13,0.707
14KAAbogyA9EJjYUyOJrRB,Grow Old,09KOjaflTBRE28GVvXqkYC,58,,14,0.451
2rQBc9gO6Bu1AyKIo5fNgI,Heatwave,09KOjaflTBRE28GVvXqkYC,51,,15,0.499
2ngfhbbRRekr4Cpoqzam0j,Smooth - Commentary,3W80SKudkIYkRbvYeRjlbc,26,,1,0.511
6k4CW25vYNmjhopIkPqVzf,Smooth,3W80SKudkIYkRbvYeRjlbc,47,,2,0.33
2WqJlTjJDBYipjHb3Fz8c2,Dig Your Roots - Commentary,3W80SKudkIYkRbvYeRjlbc,25,,3,0.734
25hLxVIwpVllK81KDljYXB,Dig Your Roots,3W80SKudkIYkRbvYeRjlbc,37,,4,0.447
20867fHUxsdcamcbCDrGJl,Life Is A Honeymoon - Commentary,3W80SKudkIYkRbvYeRjlbc,25,,5,0.683
1oGyd17Bx9cPPtUQ2rsMte,Life Is A Honeymoon,3W80SKudkIYkRbvYeRjlbc,39,,6,0.78
4iTwliNqv7NPOFn4nWTs62,H.O.L.Y. - Commentary,3W80SKudkIYkRbvYeRjlbc,24,,7,0.67
2tUJbvjNznjNZfCeKtkhGm,H.O.L.Y.,3W80SKudkIYkRbvYeRjlbc,68,,8,0.562
0gA2gIKkGO8sL3OdMDXp6S,Island - Commentary,3W80SKudkIYkRbvYeRjlbc,24,,9,0.704
2xJvdoxyKLSnOvmGciUZfY,Island,3W80SKudkIYkRbvYeRjlbc,40,,10,0.352
6GIei0QWZjbrNWNwtTpiQL,May We All - Commentary,3W80SKudkIYkRbvYeRjlbc,23,,11,0.722
6RHDliBPKS2TShFp7UIHF0,May We All,3W80SKudkIYkRbvYeRjlbc,61,,12,0.64
3kmbnx5FPzAjaNf1t4wfuN,Summerland - Commentary,3W80SKudkIYkRbvYeRjlbc,23,,13,0.727
4US9XRK8VaGeCefqomND5V,Summerland,3W80SKudkIYkRbvYeRjlbc,34,,14,0.709
0rDa5hHjfaNVAIgx5bnuri,Lifer - Commentary,3W80SKudkIYkRbvYeRjlbc,22,,15,0.68
2SxlcySeLfzHVtgrzlkSUy,Lifer,3W80SKudkIYkRbvYeRjlbc,31,,16,0.47
4UgQuKdFtrwicO6HCBd7qG,"Good Girl, Bad Boy - Commentary",3W80SKudkIYkRbvYeRjlbc,22,,17,0.629
2Uok8hhl8A19hjz2Wr1x6p,"Good Girl, Bad Boy",3W80SKudkIYkRbvYeRjlbc,38,,18,0.655
52yFLHLqkIz3WKn1AMsdvm,Wish You Were On It - Commentary,3W80SKudkIYkRbvYeRjlbc,22,,19,0.797
4tYwenOgQnTa1EakZ6JpH5,Wish You Were On It,3W80SKudkIYkRbvYeRjlbc,34,,20,0.685
0T698rE3SmQOU5tD2aXNkK,"God, Your Mama, and Me - Commentary",3W80SKudkIYkRbvYeRjlbc,22,,21,0.639
0xjyOcLKydIprmVkGjnVrm,"God, Your Mama, And Me",3W80SKudkIYkRbvYeRjlbc,56,,22,0.652
