id,name,date,popularity
6KMkuqIwKkwUhUYRPL6dUc,Concrete and Gold,2017,66
2qwN15acAl3sm3Idce5vK9,Sonic Highways,2014,59
5lnQLEUiVDkLbFJHXHQu9m,Wasting Light,2011,66
3ilXDEG0xiajK8AbqboeJz,"Echoes, Silence, Patience & Grace",2007,69
4IBQvwIbtDluogvDe2qpaB,Skin And Bones (Live),2006,54
2eprpJCYbCbPZRKVGIEJxZ,In Your Honor,2005,66
1zQ6F8gMagKcPL4SoA80cx,One By One (Expanded Edition),2002,65
28q2N44ocJECgf8sbHEDfY,There Is Nothing Left To Lose,1999,67
30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,1997,71
4EnNuo8fG7dMoxMefbApRY,Foo Fighters,1995,59
