id,name,album_id,popularity,url,track_number,valence
3OG5wVO27N3HtdtxPLpPFt,T-Shirt,6KMkuqIwKkwUhUYRPL6dUc,53,https://p.scdn.co/mp3-preview/2c30c2690ca06b91bcb2d5aea96eb08a8ed232bc?cid=f2aa2c18088747f585c6ff121849072c,1,0.503
1wLQwg0mloy3yXjL0jPE0N,Run,6KMkuqIwKkwUhUYRPL6dUc,65,https://p.scdn.co/mp3-preview/fded09b73c6308a8e8dccfad257bee228848481a?cid=f2aa2c18088747f585c6ff121849072c,2,0.185
33OVwHAdsrJELptAp74TqW,Make It Right,6KMkuqIwKkwUhUYRPL6dUc,57,https://p.scdn.co/mp3-preview/be6e3b23831543f87ebf1d9b86df5e6a403c8813?cid=f2aa2c18088747f585c6ff121849072c,3,0.45
3kdMzXOcrDIdSWLdONHNK5,The Sky Is A Neighborhood,6KMkuqIwKkwUhUYRPL6dUc,69,https://p.scdn.co/mp3-preview/cf2588ff2b6975ec32815b83c6afc15fdedda76b?cid=f2aa2c18088747f585c6ff121849072c,4,0.533
0MfVTButkC0WU7aUcIskU6,La Dee Da,6KMkuqIwKkwUhUYRPL6dUc,56,https://p.scdn.co/mp3-preview/05c797dd1bb156c2d728bc2dd9eac077f536c985?cid=f2aa2c18088747f585c6ff121849072c,5,0.224
5lnsL7pCg0fQKcWnlkD1F0,Dirty Water,6KMkuqIwKkwUhUYRPL6dUc,53,https://p.scdn.co/mp3-preview/165855a9cf8021df6e4d8dbf51cb92c5939ea8cd?cid=f2aa2c18088747f585c6ff121849072c,6,0.346
6JSryEdVJTZq6YBn3wK2sn,Arrows,6KMkuqIwKkwUhUYRPL6dUc,56,https://p.scdn.co/mp3-preview/39f567c01d53ee270872d59e3545163784965fe3?cid=f2aa2c18088747f585c6ff121849072c,7,0.409
5jwCEcnS7IXWhD4KuunEDE,Happy Ever After (Zero Hour),6KMkuqIwKkwUhUYRPL6dUc,51,https://p.scdn.co/mp3-preview/1c2c9d9bf5ceed092db05b1c292374a672747ad5?cid=f2aa2c18088747f585c6ff121849072c,8,0.349
1tDM9ElAIOimEPBEnkXqe2,Sunday Rain,6KMkuqIwKkwUhUYRPL6dUc,56,https://p.scdn.co/mp3-preview/b43e71b512b72d17abfd3689a87a1d9363912969?cid=f2aa2c18088747f585c6ff121849072c,9,0.722
7hlLPJo0pxh1jQUERqf5O2,The Line,6KMkuqIwKkwUhUYRPL6dUc,57,https://p.scdn.co/mp3-preview/54675938bdea57496c72aae7f04cc0cf2ff7c342?cid=f2aa2c18088747f585c6ff121849072c,10,0.459
5Y1A4C3ojxHCadg0wMFlJ0,Concrete and Gold,6KMkuqIwKkwUhUYRPL6dUc,49,https://p.scdn.co/mp3-preview/9c4f6f1ac9c7be243a937b7c3d8e982e1a74b2f7?cid=f2aa2c18088747f585c6ff121849072c,11,0.0399
6REiraH7Pe3akd0mkFA4l9,Something from Nothing,2qwN15acAl3sm3Idce5vK9,60,https://p.scdn.co/mp3-preview/f3f7ec79b719ef0fd4f093b3c7b1b34cbad26a6c?cid=f2aa2c18088747f585c6ff121849072c,1,0.427
1M4Wy6jRce1x17qyE7yQAB,The Feast and The Famine,2qwN15acAl3sm3Idce5vK9,55,https://p.scdn.co/mp3-preview/d0495d67eec428f82eb4f5b7150bdc051f8cc465?cid=f2aa2c18088747f585c6ff121849072c,2,0.497
40cLVGkjzcZ5FJ3vHkXB0e,Congregation,2qwN15acAl3sm3Idce5vK9,56,https://p.scdn.co/mp3-preview/0c4b5bb7c87944c4f0f052762f69720bd9cac730?cid=f2aa2c18088747f585c6ff121849072c,3,0.575
1cVRidDVfNJ61dlXhCagOT,What Did I Do?/God As My Witness,2qwN15acAl3sm3Idce5vK9,47,https://p.scdn.co/mp3-preview/cf7ae242798e35f3c58fdaac5c27a676428b1e31?cid=f2aa2c18088747f585c6ff121849072c,4,0.312
5BfbdJLRp9gUyyxeGJUECL,Outside,2qwN15acAl3sm3Idce5vK9,55,https://p.scdn.co/mp3-preview/ccf343a57623069b65b2dd58d654b07ad5d76dcc?cid=f2aa2c18088747f585c6ff121849072c,5,0.371
0MXosG7BdA9uukm88V7zAD,In The Clear,2qwN15acAl3sm3Idce5vK9,53,https://p.scdn.co/mp3-preview/99b622f0fc707751f4c0e7a6664175cc2e414807?cid=f2aa2c18088747f585c6ff121849072c,6,0.474
3O2de2JdIqnVVb5SBpg6wm,Subterranean,2qwN15acAl3sm3Idce5vK9,45,https://p.scdn.co/mp3-preview/c4fdd989854dd742ea8dd9c6d32a4b45acead573?cid=f2aa2c18088747f585c6ff121849072c,7,0.063
1jH0OiLvqyyhUOEUu61XPI,I Am A River,2qwN15acAl3sm3Idce5vK9,54,https://p.scdn.co/mp3-preview/ee0ba901e52fe93a666dd6a28a6c6e3b933b996c?cid=f2aa2c18088747f585c6ff121849072c,8,0.127
0bHD1nLe7Nhw55ZGJ92332,Bridge Burning,5lnQLEUiVDkLbFJHXHQu9m,58,https://p.scdn.co/mp3-preview/ec1a9cb3dda864e7b9c4c0541c50441e02716770?cid=f2aa2c18088747f585c6ff121849072c,1,0.301
7v0mtl6oInUtHOmTk2b0gC,Rope,5lnQLEUiVDkLbFJHXHQu9m,61,https://p.scdn.co/mp3-preview/b9e5f74235cac0b54cfa733d90e44d8de7c5e13c?cid=f2aa2c18088747f585c6ff121849072c,2,0.541
6HeFCUg1F1v0bnE3JFTlxz,Dear Rosemary,5lnQLEUiVDkLbFJHXHQu9m,57,https://p.scdn.co/mp3-preview/c24335f496e377233269021e43c01fdb4279b020?cid=f2aa2c18088747f585c6ff121849072c,3,0.698
57dem1V7wz8owejklpELCh,White Limo,5lnQLEUiVDkLbFJHXHQu9m,52,https://p.scdn.co/mp3-preview/1d9c9abf1189be0c5b51673118cf32377634b295?cid=f2aa2c18088747f585c6ff121849072c,4,0.615
5TOYgNohZAFEPOtnchPhZS,Arlandria,5lnQLEUiVDkLbFJHXHQu9m,59,https://p.scdn.co/mp3-preview/04f1fc61378a0d2aeeb117cb6a42e7a581fbeeda?cid=f2aa2c18088747f585c6ff121849072c,5,0.645
2kN05N1AQQplsgFweFAqYb,These Days,5lnQLEUiVDkLbFJHXHQu9m,64,https://p.scdn.co/mp3-preview/41564ba1acb995c5098240d922e74b4e95a17d44?cid=f2aa2c18088747f585c6ff121849072c,6,0.215
0xMgRt36DpWa7QKNYZy0e4,Back & Forth,5lnQLEUiVDkLbFJHXHQu9m,50,https://p.scdn.co/mp3-preview/a1aa62371700079651cb4d60ed037ab58fb4dc8d?cid=f2aa2c18088747f585c6ff121849072c,7,0.748
46GHi1UJz1yEumZcMkbJN9,A Matter Of Time,5lnQLEUiVDkLbFJHXHQu9m,49,https://p.scdn.co/mp3-preview/3957e60c80b35c274034f067175e3c6ecfff072a?cid=f2aa2c18088747f585c6ff121849072c,8,0.695
2u5OWZVjfuS85zTX3t4lbe,Miss The Misery,5lnQLEUiVDkLbFJHXHQu9m,48,https://p.scdn.co/mp3-preview/9b7389a611b0369bbc833e1778cb2fa397c0bebf?cid=f2aa2c18088747f585c6ff121849072c,9,0.443
042RaY48TNY9aesv8fqYTf,I Should Have Known,5lnQLEUiVDkLbFJHXHQu9m,50,https://p.scdn.co/mp3-preview/aa0762c2ed6bfe7bb2789766536b279051cb541c?cid=f2aa2c18088747f585c6ff121849072c,10,0.172
76Je5Wklky23mVoxiRszcN,Walk,5lnQLEUiVDkLbFJHXHQu9m,68,https://p.scdn.co/mp3-preview/797076620f902743d338003692dd90d1c9cc20d4?cid=f2aa2c18088747f585c6ff121849072c,11,0.191
7x8dCjCr0x6x2lXKujYD34,The Pretender,3ilXDEG0xiajK8AbqboeJz,77,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=f2aa2c18088747f585c6ff121849072c,1,0.365
2XvrMHbSO077Ajg7QTTNdY,Let It Die,3ilXDEG0xiajK8AbqboeJz,58,https://p.scdn.co/mp3-preview/4c50610ada3fcb984f5c837270082ab95a41b6be?cid=f2aa2c18088747f585c6ff121849072c,2,0.314
5t142J9jQl1aaajsbxGjwg,Erase/Replace,3ilXDEG0xiajK8AbqboeJz,47,https://p.scdn.co/mp3-preview/b1e9d8bad356b1fabc577895557acc8f91c461fb?cid=f2aa2c18088747f585c6ff121849072c,3,0.123
0bORa4VpL8NzyMXEI6UFGK,Long Road To Ruin,3ilXDEG0xiajK8AbqboeJz,58,https://p.scdn.co/mp3-preview/985a472e50fbf4ce298677f3df535f1e97d7c11a?cid=f2aa2c18088747f585c6ff121849072c,4,0.365
4P4s2KHOw0uISbLI3zkHtD,Come Alive,3ilXDEG0xiajK8AbqboeJz,54,https://p.scdn.co/mp3-preview/56eb51e6749fb01df3e7c137ebb2d30a4f41f5b5?cid=f2aa2c18088747f585c6ff121849072c,5,0.16
7zaZlzl0XhthNwH3GQcyZ0,Stranger Things Have Happened,3ilXDEG0xiajK8AbqboeJz,57,https://p.scdn.co/mp3-preview/af2002891e6048752b483827af1534bc2e30ebc5?cid=f2aa2c18088747f585c6ff121849072c,6,0.312
5w4s2ccJcpiNlajHVGtHDg,"Cheer Up, Boys (Your Make Up Is Running)",3ilXDEG0xiajK8AbqboeJz,46,https://p.scdn.co/mp3-preview/a890abb1ab38070dce6fb43a55f17b45f1c28365?cid=f2aa2c18088747f585c6ff121849072c,7,0.574
0cA5yQFQAfKjf64QHbPqss,Summer's End,3ilXDEG0xiajK8AbqboeJz,47,https://p.scdn.co/mp3-preview/32ddafab0d343f164a2c20fcaec947a732d1c818?cid=f2aa2c18088747f585c6ff121849072c,8,0.417
0CJuzA63oAQb8dJDY5IKhZ,Ballad Of The Beaconsfield Miners,3ilXDEG0xiajK8AbqboeJz,45,https://p.scdn.co/mp3-preview/376e93a12034bb6eb9c0ab723ff9ced401c05255?cid=f2aa2c18088747f585c6ff121849072c,9,0.666
2OSFREMR9mE2kiByPL3g71,Statues,3ilXDEG0xiajK8AbqboeJz,45,https://p.scdn.co/mp3-preview/5bea00169615d439f95ffad4e09ae2ea67be762d?cid=f2aa2c18088747f585c6ff121849072c,10,0.35
4SMbJ6BAY9LdudY8v7HJpH,"But, Honestly",3ilXDEG0xiajK8AbqboeJz,48,https://p.scdn.co/mp3-preview/40c6f3ae557842ae5fc0a4a08c67036b80803b3a?cid=f2aa2c18088747f585c6ff121849072c,11,0.383
2fDVMNQmFuMORDD3dP7GkN,Home,3ilXDEG0xiajK8AbqboeJz,54,https://p.scdn.co/mp3-preview/d46bbe2981af5dd02b73467805c194ccd23a3b4f?cid=f2aa2c18088747f585c6ff121849072c,12,0.111
6BDF9S8M9qU4jOd5IjxoFo,"Razor - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,40,https://p.scdn.co/mp3-preview/921fd65ce920f80c1730ad0430c6cbffad3079c4?cid=f2aa2c18088747f585c6ff121849072c,1,0.216
47j1q4BTpQghINXlf5gTDH,"Over And Out - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,39,https://p.scdn.co/mp3-preview/2b8af9dc423522a77d74b8e1cdefc1fcebf15a42?cid=f2aa2c18088747f585c6ff121849072c,2,0.172
4VdSBrdM55T8QXdjrOAXvD,"Walking After You - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,42,https://p.scdn.co/mp3-preview/bf10b649efe489203b9fc564d729bdb828a59801?cid=f2aa2c18088747f585c6ff121849072c,3,0.28
3ev3JkW4mCru1pwO3g4N8d,"Marigold - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,41,https://p.scdn.co/mp3-preview/1ce8d91b51e507e231164fb1f14e7d99a035c033?cid=f2aa2c18088747f585c6ff121849072c,4,0.299
0GE8sVpRYoMamNcfLGObxY,"My Hero - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,50,https://p.scdn.co/mp3-preview/39912ab865268d713e81a25a6b08b5b6462b7d37?cid=f2aa2c18088747f585c6ff121849072c,5,0.184
1Kr0tmA5iWITCQljsOT32t,"Next Year - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,41,https://p.scdn.co/mp3-preview/e7b8a3d49f4f1135602f584b7a7407f1f1c68411?cid=f2aa2c18088747f585c6ff121849072c,6,0.606
35ZHzUnfmKA01F2GmEx6T5,"Another Round - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,39,https://p.scdn.co/mp3-preview/ce090315ca2ead3b1e8a99677d0b2bad64ead829?cid=f2aa2c18088747f585c6ff121849072c,7,0.179
1yYYdQ94FEyWAt1XtldifW,"Big Me - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,42,https://p.scdn.co/mp3-preview/e9dc2d198ef31cf464fae0338ed898d90b343297?cid=f2aa2c18088747f585c6ff121849072c,8,0.344
4uTi7sKEUmvVhSAqXJC5Kg,"Cold Day In The Sun - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,39,https://p.scdn.co/mp3-preview/245d79a37bd7d70b7a2cd3652fb4553354bd3ae6?cid=f2aa2c18088747f585c6ff121849072c,9,0.499
6klzQUk22YkppyrWlf5NIt,"Skin And Bones - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,52,https://p.scdn.co/mp3-preview/0da2c58e741753dc465438e0a829d46418628424?cid=f2aa2c18088747f585c6ff121849072c,10,0.202
4yz18uIDy2g7gGH4wSfJTc,"February Stars - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,40,https://p.scdn.co/mp3-preview/5c8854c60041ffe28ea950dc619f09335a180490?cid=f2aa2c18088747f585c6ff121849072c,11,0.0792
06s6aloy62vytl3MnT6gfl,"Times Like These - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,52,https://p.scdn.co/mp3-preview/c7bc6bb0dfb92f2da23f6c84cd2a2651bd35abfc?cid=f2aa2c18088747f585c6ff121849072c,12,0.183
2YVYq26E3XpUHjllzXHj8z,"Friend Of A Friend - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,38,https://p.scdn.co/mp3-preview/8150e85be82775714341dea1eba12ddca36dacf5?cid=f2aa2c18088747f585c6ff121849072c,13,0.119
1152S957C8U9O5oFJxEQ8I,"Best Of You - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,51,https://p.scdn.co/mp3-preview/06aa72fe30cc3f1b2dcd953b9b73418fff7cfa1a?cid=f2aa2c18088747f585c6ff121849072c,14,0.408
35OjTv3e5arNbGoCgfJ73Z,"Everlong - Live at the Pantages Theatre, Los Angeles, CA - August 2006",4IBQvwIbtDluogvDe2qpaB,45,https://p.scdn.co/mp3-preview/c2955a254ad00d6b2082efcf3202040778e4536c?cid=f2aa2c18088747f585c6ff121849072c,15,0.315
06LzBUkKZpPAWiEwB6iVri,In Your Honor,2eprpJCYbCbPZRKVGIEJxZ,46,https://p.scdn.co/mp3-preview/c40a3fc30f090300ef4d847da4a5fc4e2774d7d3?cid=f2aa2c18088747f585c6ff121849072c,1,0.0393
