id,name,date,popularity
3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),2018,86
33pt9HBdGlAbRGBHQgsZsU,Evolve,2017,86
6ecx4OFG0nlUMqAi9OXQER,Smoke + Mirrors (Deluxe),2015,68
0Ikw6ho559687KCPbSjr0K,Smoke + Mirrors (Deluxe),2015,67
6rRFeV6xigfNyPoZ6YqcoW,Smoke + Mirrors (Deluxe),2015,70
2JlJphOpfnkrQayphiQUR3,Smoke + Mirrors,2014,40
6gblom0Rg1ZWvhMI1w2RUU,Night Visions (Deluxe),2014,45
2t4SjuB6sBEozekaNrFrQQ,Smoke + Mirrors,2014,52
0gmsXcmrcnxdZBrD5EyJEL,Smoke + Mirrors,2014,64
007bD7YMU5GUUNzNWKGfoV,Night Visions (Deluxe),2013,12
2TXfurauhXYa8oK6f7yocx,Night Visions,2013,24
15yGzhftc7Z5zQYtDIm1Xz,Night Visions,2012,47
6htgf3qv7vGcsdxLCDxKp8,Night Visions,2012,71
2obMCmp7DkMdKuzm1XOiY7,Night Visions,2012,7
6U3AFdOBRnLn8G4CcuVtFQ,Night Visions,2012,11
1zcNZa89FXNruaesVKiVeu,Night Visions (Deluxe),2012,64
3NeJCfmi4VQy4jQUMduFGZ,Night Visions (Deluxe),2012,41
1rzDtYMpZDhRgKNigB467r,Night Visions (Deluxe),2012,66
6nxDQi0FeEwccEPJeNySoS,Night Visions,2012,76
