id,name,album_id,popularity,url,track_number,valence
2FY7b99s15jUprqC0M5NCT,Natural,3JfSxDfmwS5OeHPwLSkrfr,87,,1,0.22
2B1fuWoWaYnCXbjYp1gXg5,Boomerang,3JfSxDfmwS5OeHPwLSkrfr,72,,2,0.347
4uGY9CqDtGtaTTLg1cgsWD,Machine,3JfSxDfmwS5OeHPwLSkrfr,74,,3,0.596
6LXMUR2rpxFBDo6nilS3yX,Cool Out,3JfSxDfmwS5OeHPwLSkrfr,70,,4,0.437
2RSHsoi04658QL5xgQVov3,Bad Liar,3JfSxDfmwS5OeHPwLSkrfr,89,,5,0.0827
2nkoWsTZa8LKPNGdjI5uxj,West Coast,3JfSxDfmwS5OeHPwLSkrfr,72,,6,0.677
2bzitsPcImYC6DZWvvLCQi,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",3JfSxDfmwS5OeHPwLSkrfr,76,,7,0.244
3R4Xk37WTagjzODMNEQLvs,Bullet In A Gun,3JfSxDfmwS5OeHPwLSkrfr,69,,8,0.476
4qhDA6s0MkD5XpDqGLHIEY,Digital,3JfSxDfmwS5OeHPwLSkrfr,64,,9,0.383
1uRBbjQ3uNFXCncWyNomHf,Only,3JfSxDfmwS5OeHPwLSkrfr,68,,10,0.424
5Z9SQPYU95S6M1vcbLsDt2,Stuck,3JfSxDfmwS5OeHPwLSkrfr,68,,11,0.248
5d41vXH0zvpwUrHrmqKqDc,Love,3JfSxDfmwS5OeHPwLSkrfr,68,,12,0.382
6Tvzf3VEi16JMhAgOwdt2y,Birds,3JfSxDfmwS5OeHPwLSkrfr,70,,13,0.35
5Q7zuH8VNu7aLappSusPu6,Burn Out,3JfSxDfmwS5OeHPwLSkrfr,67,,14,0.291
7JAzAyjbJFPznEFdqpa1Si,Real Life,3JfSxDfmwS5OeHPwLSkrfr,67,,15,0.13
31VOknKjFrEX47bZXzqcoF,Next To Me,33pt9HBdGlAbRGBHQgsZsU,75,,1,0.384
28heol5hhOGj6KYbJrRteJ,I Don’t Know Why,33pt9HBdGlAbRGBHQgsZsU,69,,2,0.0725
6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,33pt9HBdGlAbRGBHQgsZsU,83,,3,0.556
0pqnGHJpmpxLKifKRmU6WP,Believer,33pt9HBdGlAbRGBHQgsZsU,88,,4,0.666
1y3bE5i57eUm3hfLAc7h08,Walking The Wire,33pt9HBdGlAbRGBHQgsZsU,73,,5,0.147
3zT2616WcD9Df5m21OsCX0,Rise Up,33pt9HBdGlAbRGBHQgsZsU,71,,6,0.102
0FfX0nofboxZjP0diT1eFv,I’ll Make It Up To You,33pt9HBdGlAbRGBHQgsZsU,67,,7,0.129
2SJf7W18D1AEpr8L9ATu0c,Yesterday,33pt9HBdGlAbRGBHQgsZsU,66,,8,0.54
1dekgAFF9uTCqLsklDaCWb,Mouth Of The River,33pt9HBdGlAbRGBHQgsZsU,67,,9,0.296
1zB4vmk8tFRmM9UULNzbLB,Thunder,33pt9HBdGlAbRGBHQgsZsU,87,,10,0.288
2Iug43iQrHN8CbGsUd2tEt,Start Over,33pt9HBdGlAbRGBHQgsZsU,66,,11,0.757
3adVVrcE2KS26OL4rYd27O,Dancing In The Dark,33pt9HBdGlAbRGBHQgsZsU,65,,12,0.624
7odsUFDiJVv0HUQuSYsRbT,Shots,6ecx4OFG0nlUMqAi9OXQER,53,,1,0.338
3pgDkYNYH7hMCl5Njib24j,Gold,6ecx4OFG0nlUMqAi9OXQER,52,,2,0.286
5w5NylxR2K71isn84raTZh,Smoke And Mirrors,6ecx4OFG0nlUMqAi9OXQER,53,,3,0.0812
68hC01gNja5yqY5JCkV82E,I’m So Sorry,6ecx4OFG0nlUMqAi9OXQER,56,,4,0.423
1CQXNBt6zv15L8zDITcxRB,I Bet My Life,6ecx4OFG0nlUMqAi9OXQER,54,,5,0.599
6Ng999MKVY9ikd8FtGaNnz,Polaroid,6ecx4OFG0nlUMqAi9OXQER,57,,6,0.258
64ETHwzBLaBTGuKY55K1Kc,Friction,6ecx4OFG0nlUMqAi9OXQER,53,,7,0.29
0rKlNsNmGGKGXo6tDgkHEn,It Comes Back To You,6ecx4OFG0nlUMqAi9OXQER,51,,8,0.49
5pryXvaRTif60GCf1e4rmc,Dream,6ecx4OFG0nlUMqAi9OXQER,52,,9,0.108
6JsePoT1VWserj2YIUu0hE,Trouble,6ecx4OFG0nlUMqAi9OXQER,48,,10,0.327
5dvDAORqUH5xoO8bfv0hlG,Summer,6ecx4OFG0nlUMqAi9OXQER,46,,11,0.614
5ygTySvimUjWJk9WLgMDCn,Hopeless Opus,6ecx4OFG0nlUMqAi9OXQER,51,,12,0.555
4Nwanvqzx02WpDxtYHS0lT,The Fall,6ecx4OFG0nlUMqAi9OXQER,47,,13,0.0468
2Q4OrJV7rGtUpPsLGbchgr,Thief,6ecx4OFG0nlUMqAi9OXQER,51,,14,0.126
4DRQBzgiM3SQqO5bXXPGpb,The Unknown,6ecx4OFG0nlUMqAi9OXQER,49,,15,0.345
6FQcdl2PzmsoXRF3F1flZ5,Second Chances,6ecx4OFG0nlUMqAi9OXQER,54,,16,0.362
3ubpkIvw8SDchaRPEKIQPS,Release,6ecx4OFG0nlUMqAi9OXQER,54,,17,0.407
1lgN0A2Vki2FTON5PYq42m,Warriors,6ecx4OFG0nlUMqAi9OXQER,69,,18,0.309
3KgIZWuC7JJOgkcGeAWbZg,Battle Cry,6ecx4OFG0nlUMqAi9OXQER,61,,19,0.0419
2Xaw1RrXP3mdooKWysuRJ8,Monster,6ecx4OFG0nlUMqAi9OXQER,63,,20,0.443
2x2SotEkKozaFh6H1aVnOZ,Who We Are,6ecx4OFG0nlUMqAi9OXQER,60,,21,0.39
2h6HdN3oPr4JijIQV29hv1,Shots,0Ikw6ho559687KCPbSjr0K,57,,1,0.338
4IMMdhs18OjvvhDok5mJxW,Gold,0Ikw6ho559687KCPbSjr0K,55,,2,0.286
6Aiu4fCAEzvXpjmy1HsJxM,Smoke And Mirrors,0Ikw6ho559687KCPbSjr0K,53,,3,0.0812
0GCXZmk0Uf74BdgWl0GaX2,I’m So Sorry,0Ikw6ho559687KCPbSjr0K,57,,4,0.423
0h9SUGpAofhus8HUgNXVwW,I Bet My Life,0Ikw6ho559687KCPbSjr0K,56,,5,0.599
2Mi65Ygq54y5O4vSxBNWkV,Polaroid,0Ikw6ho559687KCPbSjr0K,53,,6,0.258
37ebs6hDGOWK8SDAB2kZG5,Friction,0Ikw6ho559687KCPbSjr0K,54,,7,0.29
1iQbbaCHErMsmP6eUQyVvf,It Comes Back To You,0Ikw6ho559687KCPbSjr0K,50,,8,0.49
0Wnzdtso3gHPcSFZwT2Pi9,Dream,0Ikw6ho559687KCPbSjr0K,54,,9,0.108
7HfILFCt8XErcfd25feE6A,Trouble,0Ikw6ho559687KCPbSjr0K,49,,10,0.327
1AZY4tKB3obBrQHVz0feOf,Summer,0Ikw6ho559687KCPbSjr0K,48,,11,0.614
6LNRspXRgIXWVpjVXpnLBm,Hopeless Opus,0Ikw6ho559687KCPbSjr0K,49,,12,0.555
6PZ2TaWkJBwlD1QxenOtpq,The Fall,0Ikw6ho559687KCPbSjr0K,48,,13,0.0468
4iHCodolxdaRL2rTvZNGwS,Thief,0Ikw6ho559687KCPbSjr0K,49,,14,0.126
27zRTKEWiXOlDG91Q6F2Oo,The Unknown,0Ikw6ho559687KCPbSjr0K,47,,15,0.345
4MwJiGr3drOvyYvbjgXPCW,Second Chances,0Ikw6ho559687KCPbSjr0K,48,,16,0.362
5EHNEWKaB4DMMOOWsZxP7W,Release,0Ikw6ho559687KCPbSjr0K,48,,17,0.407
6Q2JimwoGgG5W9HdmH1hmq,Warriors,0Ikw6ho559687KCPbSjr0K,57,,18,0.309
6SCDzH7OCgpzwCP8yo7HIP,Battle Cry,0Ikw6ho559687KCPbSjr0K,62,,19,0.0392
4uyDe8SeM0Nsgzp9KMtXWn,Monster,0Ikw6ho559687KCPbSjr0K,65,,20,0.405
1YvKsn3ID4XvpwSSiqu1Jc,Who We Are,0Ikw6ho559687KCPbSjr0K,61,,21,0.39
1ASo7euq1w4KHaz9tq6jkt,Shots - Broiler Remix,0Ikw6ho559687KCPbSjr0K,51,,22,0.544
0FQA22KGLQdDesHAJtrEEE,Shots,6rRFeV6xigfNyPoZ6YqcoW,56,,1,0.338
4xrzG4pw9JN8BJqqjurcPs,Gold,6rRFeV6xigfNyPoZ6YqcoW,59,,2,0.286
6lXKvvlt0tCeBDO1dvAxzl,Smoke And Mirrors,6rRFeV6xigfNyPoZ6YqcoW,42,,3,0.0812
7oTQ4d0UJeH8LOyvpfd5uW,I’m So Sorry,6rRFeV6xigfNyPoZ6YqcoW,62,,4,0.423
0ct0vSOkP0IZnbPGiDltCR,I Bet My Life,6rRFeV6xigfNyPoZ6YqcoW,63,,5,0.599
6OfLMbsJdF8QHvypAHcbVY,Polaroid,6rRFeV6xigfNyPoZ6YqcoW,45,,6,0.258
4odGB283pgwsBUCYmjpXRq,Friction,6rRFeV6xigfNyPoZ6YqcoW,60,,7,0.29
