id,name,date,popularity
6pwuKxMUkNg673KETsXPUV,KIDS SEE GHOSTS,2018,74
2Ek1q2haOnxVqhvVKqMvJe,ye,2018,75
7gsWAHLeT0w7es6FofOXk1,The Life Of Pablo,2016,79
7D2NdGvBHIavgLhmcwhluK,Yeezus,2013,72
0A3g19AGFd9Qe3rAIkP8e0,Kanye West Presents Good Music Cruel Summer,2012,50
20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,2010,77
3WFTGIO6E3Xh4paEOBY9OU,808s & Heartbreak,2008,72
5fPglEDz9YEwRgbLRvhCZy,Graduation,2007,73
0veuYKXCayS7oIfyqlibeR,Late Orchestration,2006,41
5ll74bqtkcXlKE7wwkMq4g,Late Registration,2005,73
