id,name,album_id,popularity,url,track_number,valence
3aUFrxO1B8EW63QchEl3wX,Feel The Love,6pwuKxMUkNg673KETsXPUV,71,,1,0.369
7oHkit3F3vimtsBbnZkU0G,Fire,6pwuKxMUkNg673KETsXPUV,66,,2,0.37
6JyEh4kl9DLwmSAoNDRn5b,4th Dimension,6pwuKxMUkNg673KETsXPUV,71,,3,0.734
7GRTrWsP3yo2Fx8umJfA1X,Freeee (Ghost Town Pt. 2),6pwuKxMUkNg673KETsXPUV,65,,4,0.306
4RVbK6cV0VqWdpCDcx3hiT,Reborn,6pwuKxMUkNg673KETsXPUV,76,,5,0.227
2I3dW2dCBZAJGj5X21E53k,Kids See Ghosts,6pwuKxMUkNg673KETsXPUV,66,,6,0.338
4kUZvXB3LC3an3HX6h0s17,Cudi Montage,6pwuKxMUkNg673KETsXPUV,68,,7,0.305
0yhxBvedRdGxsPZHJNI4VA,I Thought About Killing You,2Ek1q2haOnxVqhvVKqMvJe,66,,1,0.417
1qsHYUd2c1wFGcn7e63QmG,Yikes,2Ek1q2haOnxVqhvVKqMvJe,73,,2,0.223
3U21A07gAloCc4P7J8rxcn,All Mine,2Ek1q2haOnxVqhvVKqMvJe,77,,3,0.291
1nGoy0cEj0extAwXYNYTWd,Wouldn't Leave,2Ek1q2haOnxVqhvVKqMvJe,67,,4,0.352
35KV2Nuib6jPMVN00O8iba,No Mistakes,2Ek1q2haOnxVqhvVKqMvJe,65,,5,0.35
7vgTNTaEz3CsBZ1N4YQalM,Ghost Town,2Ek1q2haOnxVqhvVKqMvJe,73,,6,0.297
3s7MCdXyWmwjdcWh7GWXas,Violent Crimes,2Ek1q2haOnxVqhvVKqMvJe,71,,7,0.0397
1eQBEelI2NCy7AUTerX0KS,Ultralight Beam,7gsWAHLeT0w7es6FofOXk1,72,,1,0.36
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,7gsWAHLeT0w7es6FofOXk1,74,,2,0.449
1Wsbr1d2BouNGk2q92mIj7,Pt. 2,7gsWAHLeT0w7es6FofOXk1,68,,3,0.285
19a3JfW8BQwqHWUMbcqSx8,Famous,7gsWAHLeT0w7es6FofOXk1,75,,4,0.402
49fT6owWuknekShh9utsjv,Feedback,7gsWAHLeT0w7es6FofOXk1,63,,5,0.149
36o4taPyOdnOMf01ERmn9a,Low Lights,7gsWAHLeT0w7es6FofOXk1,59,,6,0.568
4qYLPta5HZ36idWiXtqh7B,Highlights,7gsWAHLeT0w7es6FofOXk1,63,,7,0.377
6wfzokDylbrJzrJcpnBkcy,Freestyle 4,7gsWAHLeT0w7es6FofOXk1,61,,8,0.508
5CGS4UovzA7ftCJkLVXQju,I Love Kanye,7gsWAHLeT0w7es6FofOXk1,61,,9,0.963
3nAq2hCr1oWsIU54tS98pL,Waves,7gsWAHLeT0w7es6FofOXk1,73,,10,0.0565
30Zcjs7pgEkmJA1lEbGSWT,FML,7gsWAHLeT0w7es6FofOXk1,69,,11,0.156
66Q3fAmSX5eHamgbKa9alP,Real Friends,7gsWAHLeT0w7es6FofOXk1,68,,12,0.121
432hUIl3ISDeytYW5XBQ5h,Wolves,7gsWAHLeT0w7es6FofOXk1,69,,13,0.118
20r94xA0bsYNLtYSiOE6r3,Frank's Track,7gsWAHLeT0w7es6FofOXk1,62,,14,0
1ZnA4VYOlYIShuGt60LmCs,Siiiiiiiiilver Surffffeeeeer Intermission,7gsWAHLeT0w7es6FofOXk1,56,,15,0.914
2CHmgtK8OCL28WtIK96u4N,30 Hours,7gsWAHLeT0w7es6FofOXk1,62,,16,0.357
0zLClc0emc6qUeV1p5nc99,No More Parties In LA,7gsWAHLeT0w7es6FofOXk1,66,,17,0.697
3MnbXlC1N7GdS9M8HzA6no,Facts (Charlie Heat Version),7gsWAHLeT0w7es6FofOXk1,62,,18,0.401
3cCxoOgfi6hgt8MNteuiiD,Fade,7gsWAHLeT0w7es6FofOXk1,69,,19,0.288
1o0kWPueYo94LIjPYOE5Nf,Saint Pablo,7gsWAHLeT0w7es6FofOXk1,65,,20,0.403
233zMH3IJcVKOUPCIaDSYt,Ultralight Beam,7u6Q36bDPiNegcQ7u69bKq,1,,1,0.387
1vO7XJH8q1LBzobiVwZ2qU,Father Stretch My Hands Pt. 1,7u6Q36bDPiNegcQ7u69bKq,1,,2,0.431
10SKMXfjUsaqTYXob5sWuX,Pt. 2,7u6Q36bDPiNegcQ7u69bKq,1,,3,0.226
1wcAkqcQgGBgVIRNnlKu0L,Famous,7u6Q36bDPiNegcQ7u69bKq,0,,4,0.404
56nFA0v3qSD3Z2F0s5oQvN,Feedback,7u6Q36bDPiNegcQ7u69bKq,0,,5,0.196
5ey2DLW8yl1KuUxpIwFxmW,Low Lights,7u6Q36bDPiNegcQ7u69bKq,0,,6,0.536
0kzwSKkQxAgGn0pyckjMf8,Highlights,7u6Q36bDPiNegcQ7u69bKq,0,,7,0.415
3BNsBtBMvwKp0DDBjYRXSO,Freestyle 4,7u6Q36bDPiNegcQ7u69bKq,0,,8,0.404
5TxoFC0jupCZQGQDyq9aIj,I Love Kanye,7u6Q36bDPiNegcQ7u69bKq,0,,9,0.965
5NpnQEPjEtfwtLMsHkPv83,Waves,7u6Q36bDPiNegcQ7u69bKq,1,,10,0.047
1fVGY3NKdlSG7M2C6AXIi5,FML,7u6Q36bDPiNegcQ7u69bKq,0,,11,0.135
7JywOyn7TOIIbW51MThQ0k,Real Friends,7u6Q36bDPiNegcQ7u69bKq,1,,12,0.135
0KB2axNBBLnuTUHonrkTA0,Wolves,7u6Q36bDPiNegcQ7u69bKq,0,,13,0.105
58kikhzxjR5yaA1t8LFLqJ,Frank's Track,7u6Q36bDPiNegcQ7u69bKq,0,,14,0.714
4PfU3GhDhIWJ36NZVvTJXV,Siiiiiiiiilver Surffffeeeeer Intermission,7u6Q36bDPiNegcQ7u69bKq,0,,15,0.886
6yUB65Z1OACTZEQ25x8Z4j,30 Hours,7u6Q36bDPiNegcQ7u69bKq,0,,16,0.372
7AHTJwdJsotomeMf6Q7lyo,No More Parties In LA,7u6Q36bDPiNegcQ7u69bKq,0,,17,0.687
2W8XhZX8E6LBRani3CKSU9,Facts (Charlie Heat Version),7u6Q36bDPiNegcQ7u69bKq,0,,18,0.364
3jxbd8H8XyzrWmOL8JX0Uk,Fade,7u6Q36bDPiNegcQ7u69bKq,1,,19,0.419
1gqkRc9WtOpnGIqxf2Hvzr,On Sight,7D2NdGvBHIavgLhmcwhluK,57,,1,0.497
722tgOgdIbNe3BEyLnejw4,Black Skinhead,7D2NdGvBHIavgLhmcwhluK,76,,2,0.273
0HMCdlOPJkAGlB0MlSWIcO,I Am A God,7D2NdGvBHIavgLhmcwhluK,58,,3,0.294
4cAgkb0ifwn0FSHGXnr4F6,New Slaves,7D2NdGvBHIavgLhmcwhluK,64,,4,0.329
