id,name,date,popularity
3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From And Inspired By,2018,81
4Kp52vGJe5oVi0EXNhSDKy,Black Panther The Album Music From And Inspired By,2018,20
5sOSzueqgCiVpXNcpd6QpL,Black Panther The Album Music From And Inspired By,2018,48
4alcGHjstaALJHHiljfy3H,DAMN. COLLECTORS EDITION.,2017,58
1LLOGSa5ehwSWrPg1Qc3Vg,DAMN. COLLECTORS EDITION.,2017,26
0bDN3eDKOfaeM5vccGu6SI,DAMN. COLLECTORS EDITION.,2017,2
4eLPsYPBmXABThSJ821sqY,DAMN.,2017,83
2ZsOtrjbcxMhcOcyDzNt1V,DAMN.,2017,16
0bLXUfNT34mna9aXq8ex68,DAMN.,2017,51
0kL3TYRsSXnu0iJvFO3rud,untitled unmastered.,2016,62
76cek8jEdNsxH60aUu8Qtj,To Pimp A Butterfly,2015,28
7ycBtnsMtyVbbwTfJwRjSP,To Pimp A Butterfly,2015,73
6w7lqIsvDPgTChMrPw5oIL,To Pimp A Butterfly,2015,39
0CXmtbhJapIH7vw8go2DEb,To Pimp A Butterfly,2015,4
2dnvkiEsLtEMOAmM0DaZVo,"good kid, m.A.A.d city (Deluxe)",2013,19
2ioBMJIiOANfeCaXP9a7Zn,"good kid, m.A.A.d city",2013,9
21EBAOQBAPvE7bMsz6sGV7,"good kid, m.A.A.d city",2013,4
1DqhWr73Fh5yoNzKLas0G3,"good kid, m.A.A.d city (Deluxe)",2012,47
1gItED20w7gVObqo6sSh8y,"good kid, m.A.A.d city (Deluxe)",2012,3
5xTJsMyYyFXmMpETVvXcfB,"good kid, m.A.A.d city",2012,7
