id,name,album_id,popularity,url,track_number,valence
5qN4HFkapdAOV94XPryVof,Black Panther,3pLdWdkj83EYfDN6H2N8MR,64,,1,0.48
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),3pLdWdkj83EYfDN6H2N8MR,82,,2,0.552
4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),3pLdWdkj83EYfDN6H2N8MR,75,,3,0.405
5jyyPsIGM2yqkZN9R3TmvN,The Ways (with Swae Lee),3pLdWdkj83EYfDN6H2N8MR,71,,4,0.589
7bUcBztfGqO7cSI2gMZeCI,Opps (with Yugen Blakrok),3pLdWdkj83EYfDN6H2N8MR,66,,5,0.847
0DJBgBiYeSn6n1AXAkFVE8,I Am,3pLdWdkj83EYfDN6H2N8MR,69,,6,0.32
2tPcTFiQF9MbVUyjZ3zDhA,Paramedic!,3pLdWdkj83EYfDN6H2N8MR,72,,7,0.471
4KXwFI9pgJLpUIAc9oSL8j,Bloody Waters (with Anderson .Paak & James Blake),3pLdWdkj83EYfDN6H2N8MR,69,,8,0.202
1eLSF6HfrRA0AsNmTkUlKx,"King's Dead (with Kendrick Lamar, Future & James Blake)",3pLdWdkj83EYfDN6H2N8MR,70,,9,0.407
4FpfU1O7WCLBnmwu5XAFk4,Redemption Interlude,3pLdWdkj83EYfDN6H2N8MR,58,,10,0.223
76iVOVsliCHlWqKuDnCfhE,Redemption (with Babes Wodumo),3pLdWdkj83EYfDN6H2N8MR,62,,11,0.642
35cOyocq8Gb6UcT0NWeTwn,Seasons (with Sjava & Reason),3pLdWdkj83EYfDN6H2N8MR,61,,12,0.308
5cXg9IQS34FzLVdHhp7hu7,Big Shot (with Travis Scott),3pLdWdkj83EYfDN6H2N8MR,72,,13,0.284
77UjLW8j5UAGAGVGhR5oUK,Pray For Me (with Kendrick Lamar),3pLdWdkj83EYfDN6H2N8MR,79,,14,0.188
2lHuahy6lIMGCqAv5EgIJP,Black Panther,4Kp52vGJe5oVi0EXNhSDKy,4,,1,0.394
2huYMicu5dhoxSIV2dfbb9,All The Stars,4Kp52vGJe5oVi0EXNhSDKy,27,,2,0.535
6Kq2Gii1bHxtJMrPoTiPDI,X,4Kp52vGJe5oVi0EXNhSDKy,13,,3,0.415
2wiKhzOmpdSaZ69sFd3glF,The Ways,4Kp52vGJe5oVi0EXNhSDKy,7,,4,0.617
3yu8q2BGFoisTSMyVkJ9GW,Opps,4Kp52vGJe5oVi0EXNhSDKy,7,,5,0.848
5hIHqP3RZhH8YzHr0OUUXq,I Am,4Kp52vGJe5oVi0EXNhSDKy,3,,6,0.32
5ELdBiw0CBGFqLjZy5MUU4,Paramedic!,4Kp52vGJe5oVi0EXNhSDKy,4,,7,0.508
3Tt8aaxcUUbJE5iZsu2u6v,Bloody Waters,4Kp52vGJe5oVi0EXNhSDKy,2,,8,0.183
3rkaqzJyWRXKHD2s2zttMq,King's Dead,4Kp52vGJe5oVi0EXNhSDKy,9,,9,0.407
7gk3UuS6LVzLAnvFQkhNJZ,Redemption Interlude,4Kp52vGJe5oVi0EXNhSDKy,1,,10,0.223
1opAPoTGf0rj7vNM1FeoYJ,Redemption,4Kp52vGJe5oVi0EXNhSDKy,2,,11,0.644
6uv9p9o0CuAoAggkhkIKb6,Seasons,4Kp52vGJe5oVi0EXNhSDKy,2,,12,0.311
22CYKOMO65DR5qUXSfJUVl,Big Shot,4Kp52vGJe5oVi0EXNhSDKy,9,,13,0.249
3JmRgoKH6c9qeqgLXvHBYS,Pray For Me,4Kp52vGJe5oVi0EXNhSDKy,17,,14,0.188
005FoVr63RI753jsNjfLax,Black Panther,5sOSzueqgCiVpXNcpd6QpL,31,,1,0.394
7dMBU2Kf4vmvwfVLW6yb6P,All The Stars (with SZA),5sOSzueqgCiVpXNcpd6QpL,46,,2,0.535
5L5KXOyCkXX2j8RtNccfzA,X (with 2 Chainz & Saudi),5sOSzueqgCiVpXNcpd6QpL,41,,3,0.415
49N3mDCgadkV3zFIkLWjlG,The Ways (with Swae Lee),5sOSzueqgCiVpXNcpd6QpL,40,,4,0.617
748qCX1Wny6CZzwEZhezBO,Opps (with Yugen Blakrok),5sOSzueqgCiVpXNcpd6QpL,31,,5,0.848
38DgmsEnyFjtTINyLXXSqY,I Am,5sOSzueqgCiVpXNcpd6QpL,30,,6,0.32
2sMXqRg7SST1rUJW0ibupK,Paramedic!,5sOSzueqgCiVpXNcpd6QpL,39,,7,0.508
07oFvOGzJisW8vt4LiWy0e,Bloody Waters (with Anderson .Paak & James Blake),5sOSzueqgCiVpXNcpd6QpL,28,,8,0.183
60w2HDJICF5YgHDsQ1kn2r,"King's Dead (with Kendrick Lamar, Future & James Blake)",5sOSzueqgCiVpXNcpd6QpL,41,,9,0.407
33WAIMdg6P4Y0kwgYfxg9X,Redemption Interlude,5sOSzueqgCiVpXNcpd6QpL,24,,10,0.223
