id,name,date,popularity
1uNyPWW6YzdIBWxwq5BiBE,"Spotify Live (Live From Austin, TX)",2017,40
4WZZDzGqjvw4bRwrp56U24,Heart Break,2017,59
1JHNRou038CfCC0RZztDz8,747,2014,55
1NdVdcO73LZQGRFbEDI2Ij,747 (Deluxe),2014,41
6GpIboFaXn8D287SqzrYDP,747 (International Deluxe Edition),2014,32
0T7IzVLNxBQMOc9Pw7qHeq,747 - Commentary,2014,16
0rR7y1zPu6751nEUdxgPx5,Golden,2013,27
5E7iYNnEN7kgtsXlr1APuY,Golden (Australia/New Zealand Version),2013,21
254bcFt3AV1O2B121GFD9S,Golden,2013,48
5r9ECscyry5ewDwTniOlGP,"Golden (Netherlands, Norway, Germany, Austria, Switzerland, Belgium Version)",2013,26
0HGCfak9Sps5KIxV6nigYX,Golden (Deluxe Edition),2013,24
1tYJvi3YlS26yI7Wf8nlcx,Golden (Deluxe Edition),2013,46
2m6JDPRCbpZeODrXia7paB,Golden: Commentary (Spotify Interview),2013,17
5wO4JlTlsxOmO8ZF4hMfIk,Muve Sessions: Golden,2013,14
6bvsrrEGMj0mtgzoda7Muv,Own The Night,2011,35
4CMtzzeo94Ats1tRjIg5mQ,Own The Night,2011,49
0V7aOQd2uruQgXRdCZKDbx,Own The Night,2011,8
7MMV5o5BBYxMK4ycvhVnul,Own The Night,2011,38
77qMEqlvpP3A9birVl9bjn,Own The Night,2011,55
2OecGqWoNWvW2VH4HUixjo,Own The Night,2011,6
