stage_name,album_id
Lady Antebellum,1uNyPWW6YzdIBWxwq5BiBE
Lady Antebellum,4WZZDzGqjvw4bRwrp56U24
Lady Antebellum,1JHNRou038CfCC0RZztDz8
Lady Antebellum,1NdVdcO73LZQGRFbEDI2Ij
Lady Antebellum,6GpIboFaXn8D287SqzrYDP
Lady Antebellum,0T7IzVLNxBQMOc9Pw7qHeq
Lady Antebellum,0rR7y1zPu6751nEUdxgPx5
Lady Antebellum,5E7iYNnEN7kgtsXlr1APuY
Lady Antebellum,254bcFt3AV1O2B121GFD9S
Lady Antebellum,5r9ECscyry5ewDwTniOlGP
Lady Antebellum,0HGCfak9Sps5KIxV6nigYX
Lady Antebellum,1tYJvi3YlS26yI7Wf8nlcx
Lady Antebellum,2m6JDPRCbpZeODrXia7paB
Lady Antebellum,5wO4JlTlsxOmO8ZF4hMfIk
Lady Antebellum,6bvsrrEGMj0mtgzoda7Muv
Lady Antebellum,4CMtzzeo94Ats1tRjIg5mQ
Lady Antebellum,0V7aOQd2uruQgXRdCZKDbx
Lady Antebellum,7MMV5o5BBYxMK4ycvhVnul
Lady Antebellum,77qMEqlvpP3A9birVl9bjn
Lady Antebellum,2OecGqWoNWvW2VH4HUixjo
