id,name,album_id,popularity,url,track_number,valence
5OQ4iDP9TzSQUAmrgTVhE4,Heart Break - Live,1uNyPWW6YzdIBWxwq5BiBE,33,,1,0.603
6Ut4aPmaScltV7Bu5BWOix,I Run To You - Live,1uNyPWW6YzdIBWxwq5BiBE,39,,2,0.547
1J7F2Dj6fRtSoiiZQwKM2R,Army - Live,1uNyPWW6YzdIBWxwq5BiBE,31,,3,0.84
5TlpM0HghQbhJmbu3Kd9VM,This City - Live,1uNyPWW6YzdIBWxwq5BiBE,30,,4,0.709
1du44Cc6iz8uXBKvvu8N77,American Honey - Live,1uNyPWW6YzdIBWxwq5BiBE,31,,5,0.386
6faesWXXdZbKBfJGjozpoO,Somebody Else's Heart - Live,1uNyPWW6YzdIBWxwq5BiBE,30,,6,0.531
5OSgA8BnIaPpoYQKRSVv9x,Downtown - Live,1uNyPWW6YzdIBWxwq5BiBE,30,,7,0.831
6nA1TxkP6pxoPYSgLBgHb8,You Look Good - Live,1uNyPWW6YzdIBWxwq5BiBE,29,,8,0.845
6NJq3fvaLUdKX4VY6j57YK,Hurt - Live,1uNyPWW6YzdIBWxwq5BiBE,30,,9,0.146
0B6xuiHFvxkiAtmGbbuSKB,Need You Now - Live,1uNyPWW6YzdIBWxwq5BiBE,40,,10,0.193
5eG1WDpMhL7MJC26lBtKDw,Bartender - Live,1uNyPWW6YzdIBWxwq5BiBE,29,,11,0.671
3YZ5TNGA10oTLaADq4zuNV,Heart Break,4WZZDzGqjvw4bRwrp56U24,60,,1,0.696
1dFLowBW25EaL2OC7eKEa2,You Look Good,4WZZDzGqjvw4bRwrp56U24,62,,2,0.942
6WkX90SEkuiknfyAKsd6LW,Somebody Else's Heart,4WZZDzGqjvw4bRwrp56U24,47,,3,0.418
2k2CXngy6uAcMvjGWyRtLO,This City,4WZZDzGqjvw4bRwrp56U24,44,,4,0.745
5LN736t27w3aH0lSAMX4nD,Hurt,4WZZDzGqjvw4bRwrp56U24,56,,5,0.169
6XR43DC5kaOvcXvrtdDDyG,Army,4WZZDzGqjvw4bRwrp56U24,44,,6,0.758
4MHpziFOiezKKP7wc1wBjJ,Good Time To Be Alive,4WZZDzGqjvw4bRwrp56U24,45,,7,0.787
3lujIqrduR1rwGSUpcP7b5,Think About You,4WZZDzGqjvw4bRwrp56U24,45,,8,0.67
1VwuDXLQdyTWvieBIPWkNt,Big Love In A Small Town,4WZZDzGqjvw4bRwrp56U24,44,,9,0.315
2gFkkpMs7rakuCCi9UepP0,The Stars,4WZZDzGqjvw4bRwrp56U24,44,,10,0.373
7G2BnhS46nEiPucLNvE0G3,Teenage Heart,4WZZDzGqjvw4bRwrp56U24,42,,11,0.454
32zF5eXrb8QrUu5qNdYmIO,Home,4WZZDzGqjvw4bRwrp56U24,42,,12,0.547
5xeo7Mr6638HYaEontltHV,Famous,4WZZDzGqjvw4bRwrp56U24,41,,13,0.64
6QlmzxCyQGBnp3C2CoaNB3,Long Stretch Of Love,1JHNRou038CfCC0RZztDz8,45,,1,0.507
6olKv2HP3XgBpvVxAswowe,Bartender,1JHNRou038CfCC0RZztDz8,62,,2,0.656
6ipiRzTQszraswbO9E4RM3,Lie With Me,1JHNRou038CfCC0RZztDz8,42,,3,0.691
5TMN7wN8Knzt7FYwF2TiFE,Freestyle,1JHNRou038CfCC0RZztDz8,42,,4,0.917
1CwYev5CodD3BaBdf0Xggm,Down South,1JHNRou038CfCC0RZztDz8,33,,5,0.574
1wOg8Vnh5c2WrVQCQS0TXv,One Great Mystery,1JHNRou038CfCC0RZztDz8,46,,6,0.461
2uciTT4Gfhg2XQPpSF44wj,Sounded Good At The Time,1JHNRou038CfCC0RZztDz8,37,,7,0.892
6lZl28p7WbtXxzZXuYHX4a,She Is,1JHNRou038CfCC0RZztDz8,40,,8,0.585
4ROIpecKhA8Nd2L5QPDDnN,Damn You Seventeen,1JHNRou038CfCC0RZztDz8,39,,9,0.543
7FmoaVp4QaMfNQwH6fcnsy,747,1JHNRou038CfCC0RZztDz8,40,,10,0.468
7wgZDRej1ivRQ8hVmU8Cue,Just A Girl,1JHNRou038CfCC0RZztDz8,40,,11,0.636
17hYczLF4dnC6wQ9NxWBja,Long Stretch Of Love,1NdVdcO73LZQGRFbEDI2Ij,31,,1,0.484
7oEk2RVJdDxMK9OYIVpJtB,Bartender,1NdVdcO73LZQGRFbEDI2Ij,38,,2,0.654
7N0GKAsMEWAWU8YbVPLRfb,Lie With Me,1NdVdcO73LZQGRFbEDI2Ij,30,,3,0.694
765EQ9Nm6dbYMuYF51QfMa,Freestyle,1NdVdcO73LZQGRFbEDI2Ij,27,,4,0.924
6oWvjxUDlyIWLFbQbbKqKH,Down South,1NdVdcO73LZQGRFbEDI2Ij,36,,5,0.533
6YlBjGd80owXE8FSJdHEXL,One Great Mystery,1NdVdcO73LZQGRFbEDI2Ij,29,,6,0.434
7xENpx0eV8vXSrKviIlW2j,Sounded Good At The Time,1NdVdcO73LZQGRFbEDI2Ij,26,,7,0.874
1pZHvs7I3G0OuAJI3wybPe,She Is,1NdVdcO73LZQGRFbEDI2Ij,27,,8,0.567
1YHOcZPdeGQxaCM3JaanCp,Damn You Seventeen,1NdVdcO73LZQGRFbEDI2Ij,28,,9,0.492
64eOp75HRRV9lm4ZC7lGQP,747,1NdVdcO73LZQGRFbEDI2Ij,28,,10,0.463
1rwCKWv3PR5BjSbPK4vjo5,Just A Girl,1NdVdcO73LZQGRFbEDI2Ij,27,,11,0.671
1zsg3FPugtEuVGqx2Iepya,Slow Rollin',1NdVdcO73LZQGRFbEDI2Ij,26,,12,0.812
2lcoSh7StfzWIktXf4ilq1,All Nighter,1NdVdcO73LZQGRFbEDI2Ij,27,,13,0.842
1wUs1F1JOx77zKoQ6zfts9,Falling For You,1NdVdcO73LZQGRFbEDI2Ij,41,,14,0.419
2YpmXdPZAClQjtYZpf6H36,Long Stretch Of Love,6GpIboFaXn8D287SqzrYDP,23,,1,0.509
723AfB79zLn0b3PspEgTH8,Bartender,6GpIboFaXn8D287SqzrYDP,29,,2,0.673
71eU8RBmz2L6DdiwXEgxno,Lie With Me,6GpIboFaXn8D287SqzrYDP,21,,3,0.695
6ZMbbsaHdNMvRWSG4d40w9,Freestyle,6GpIboFaXn8D287SqzrYDP,19,,4,0.932
4RMInwGPitoC0ite9gy173,Down South,6GpIboFaXn8D287SqzrYDP,18,,5,0.556
1iLxAO3VkOmB1nJ7CFGG4e,One Great Mystery,6GpIboFaXn8D287SqzrYDP,21,,6,0.46
6bjn0Mi2G3C28BYNHJaDLb,Sounded Good At The Time,6GpIboFaXn8D287SqzrYDP,18,,7,0.891
67UfAOdny9JIxbK66UKFL3,She Is,6GpIboFaXn8D287SqzrYDP,19,,8,0.583
6UeSlDlgZNr9N9NNM1fJeW,Damn You Seventeen,6GpIboFaXn8D287SqzrYDP,18,,9,0.498
75y3ri6YX8Vy5Rd82Ey0qJ,747,6GpIboFaXn8D287SqzrYDP,19,,10,0.418
28Y4a8GGAtB4dkoF9xAu1C,Just A Girl,6GpIboFaXn8D287SqzrYDP,20,,11,0.632
3tbfeWeKmdLoHp4tg2v20Z,Slow Rollin',6GpIboFaXn8D287SqzrYDP,16,,12,0.825
4lQG9mU5YQa9kr99adEVCQ,All Nighter,6GpIboFaXn8D287SqzrYDP,16,,13,0.815
4sdZU98OmcY4XuAJexYqti,Falling For You,6GpIboFaXn8D287SqzrYDP,21,,14,0.417
78rqZfabGn7g3wkbW6P3dM,Just A Kiss - Backstage Acoustic Session,6GpIboFaXn8D287SqzrYDP,27,,15,0.515
1bkQX87u0tHFFqXCBdmR6K,I Run To You - iTunes Session,6GpIboFaXn8D287SqzrYDP,20,,16,0.225
0LrUska9CPMnbRkJGQn5Fb,Need You Now - iTunes Session,6GpIboFaXn8D287SqzrYDP,30,,17,0.216
3qwpnUVsJYcR0n9jmFWdmZ,Long Stretch Of Love - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,11,,1,0.953
5HnULT57Gqe9SVeauSoPds,Bartender - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,11,,2,0.772
1Ac4oTPNLVPyNq6QnJ7JzB,Lie With Me - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,11,,3,0.686
4VkTovYbdNSVDE5AjLDesf,Freestyle - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,11,,4,0.86
6uR7DZdmg2dorUM60kPXLe,Down South - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,5,0.821
6jfJ8yPLt8hCxi4Fw9z9oU,One Great Mystery - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,6,0.791
3qJxlllYR4jDCiGcBdw6Ym,Sounded Good At The Time - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,7,0.872
4oE9utiDs0wohKoj9vXHH0,She Is - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,8,0.901
3jEYhnabW4LT77n37a0pJN,Damn You Seventeen - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,9,0.778
00aCM30odVV2Hvu4DqwSBt,747 - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,10,0.607
796mN8fSOxgdrg12lRKxDo,Just A Girl - Commentary,0T7IzVLNxBQMOc9Pw7qHeq,10,,11,0.8
1jspIVobLs40vH4zowkKph,Get To Me,0rR7y1zPu6751nEUdxgPx5,17,,1,0.575
27wuW3dHpZcT87Px8qdWuO,Goodbye Town,0rR7y1zPu6751nEUdxgPx5,20,,2,0.538
2hm5S4gkLmOy1f2qDVVdhJ,Nothin' Like The First Time,0rR7y1zPu6751nEUdxgPx5,5,,3,0.47
1by5tT3QJ9MuQoDODRrFv7,Downtown,0rR7y1zPu6751nEUdxgPx5,28,,4,0.96
