id,name,date,popularity
4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,2018,88
3a3AKiS0o5qVn25cloDYII,A Star Is Born Soundtrack,2018,61
3edjzMAVB9RYRd4UcZBchx,A Star Is Born Soundtrack (Without Dialogue),2018,86
0akg3PQJSnnYsFSS0Qmizu,Joanne,2016,38
2ZUwFxlWo0gwTsvZ6L4Meh,Joanne (Deluxe),2016,76
6Lz05XTRg1D6cCViSANoY3,Joanne,2016,38
1QV5fPVm9bIVWsm0ngE34T,Joanne (Deluxe),2016,53
6LLCH4SnDCldLdoQH6Gslt,Joanne,2016,13
1nCIPxGvDnphvLE1dYm5zU,Cheek To Cheek (Deluxe),2014,24
66Cm7hLY0wTGJrVkvo4TYs,Cheek To Cheek (Deluxe),2014,23
2VX9rp6NAC19TQN4IgkmYu,Cheek To Cheek (Deluxe),2014,57
46GsTGkF2AgB8necqjxf7J,Cheek To Cheek,2014,13
56uP6C9dDe31eLwhpfgIWT,Cheek To Cheek,2014,34
3m73auBlGk2iiRACSODAlR,ARTPOP,2013,32
2eRJUtI7nXrQ5uYQ7tzTo9,ARTPOP,2013,68
7apoUQ821YfO0nPhsZvYKc,ARTPOP,2013,9
6ENciIfVWVnQuHpYzQL2lB,ARTPOP,2013,1
3P4ieBubW04cGQT52hPxt6,ARTPOP,2013,24
6LY3AerY6KNGOPsNPL63Kk,Born This Way (International Special Edition Version),2011,69
30D9CrjDAZRrN7esS8CCgO,Born This Way (International Standard Version),2011,52
