id,name,album_id,popularity,url,track_number,valence
69iiDrtnLNPWviEvaaRuvC,Intro,4sLtOBOzn4s3GDUv3c5oJD,19,,1,0.0426
4HUqrGAZ5f0gHRor7z9BFc,Black Eyes,4sLtOBOzn4s3GDUv3c5oJD,69,,2,0.46
4fIdH1l3SS0qdYRJiHwUnO,Somewhere Over The Rainbow - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,65,,3,0.334
4ta4r7V0QkZ15H4uyFCKGs,Fabulous French - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,17,,4,0.863
3WKnfkgwrARwElktHSU5Ik,La Vie En Rose,4sLtOBOzn4s3GDUv3c5oJD,67,,5,0.335
1dm7A3ofkewH84XwajxF1F,I'll Wait For You - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,18,,6,0.648
6jMbPsH6lTOLs5n8Af26AG,Maybe It's Time,4sLtOBOzn4s3GDUv3c5oJD,71,,7,0.359
3i4jlS5TlVjRovgq1ENgaJ,Parking Lot - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,65,,8,0.386
2ue0yHbKwnsj8HXLLgMzVi,Out Of Time,4sLtOBOzn4s3GDUv3c5oJD,67,,9,0.359
05Eq6SWneoZYvKQbm2xN25,Alibi,4sLtOBOzn4s3GDUv3c5oJD,67,,10,0.636
2FO4bI9MqGN7NQZIr3ROHs,Trust Me - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,63,,11,0.832
2VxeLyX666F8uXCJ0dZF8B,Shallow,4sLtOBOzn4s3GDUv3c5oJD,94,,12,0.323
7A5uLkZbEOzHiAlhD2Hr2L,"First Stop, Arizona - Dialogue",4sLtOBOzn4s3GDUv3c5oJD,4,,13,0
4Z2s8VRI8WEZyU0xeqnlJD,Music To My Eyes,4sLtOBOzn4s3GDUv3c5oJD,71,,14,0.325
0eUwuRuPBzxhU9ApFIcDl2,Diggin' My Grave,4sLtOBOzn4s3GDUv3c5oJD,69,,15,0.561
51ZgAMeyKwDjWhNDQExrsk,I Love You - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,21,,16,0.185
74iZuPGwyL33VlTr6jTnab,Always Remember Us This Way,4sLtOBOzn4s3GDUv3c5oJD,80,,17,0.296
0lnrjpBMWV5Qxr9j1pRciH,Unbelievable - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,26,,18,0.715
1UR9zquKVw87PBAl5b9PDH,How Do You Hear It? - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,8,,19,0
1l9G7M8gNyQsgOGWZGoQsT,Look What I Found,4sLtOBOzn4s3GDUv3c5oJD,73,,20,0.447
5VpExShvwh3nochk8Depet,Memphis - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,21,,21,0.893
5Ctq1DOZUWZqsQZXro2jf7,Heal Me,4sLtOBOzn4s3GDUv3c5oJD,69,,22,0.456
1EWKuMkjiVrHRoqAquXVfL,I Don't Know What Love Is,4sLtOBOzn4s3GDUv3c5oJD,69,,23,0.221
1OlU1rn0QOG40zQ699g3hV,Vows - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,18,,24,0.169
172e82oK9vGoBPvc6SqMm5,Is That Alright?,4sLtOBOzn4s3GDUv3c5oJD,70,,25,0.263
2YEslbHiO4TyqNv2BQ2EWJ,SNL - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,7,,26,0
2FoSFSX2W1p8ri1Wj1Wavn,Why Did You Do That?,4sLtOBOzn4s3GDUv3c5oJD,67,,27,0.445
16VQqrD8XTaIiJDCMStjxK,Hair Body Face,4sLtOBOzn4s3GDUv3c5oJD,64,,28,0.401
6I1iluD72xZcXK9E4BRp25,Scene 98 - Dialogue,4sLtOBOzn4s3GDUv3c5oJD,62,,29,0.562
3ZZyYqxcaogkXq1j7V1N2H,Before I Cry,4sLtOBOzn4s3GDUv3c5oJD,65,,30,0.167
0BREFDMy22wEf3ZJP2BEJp,Too Far Gone,4sLtOBOzn4s3GDUv3c5oJD,64,,31,0.342
