id,name,date,popularity
6NUEU1vyIctdAg8IHot8Wy,What Makes You Country,2017,72
1236yHELhjG4kDHx2fyN5d,Greatest Hits Karaoke (Vol. 1),2016,34
2kUXqmlthYkv0yyW3N9cy8,Kill The Lights,2015,41
0WtCqmpVN7rRGfDMSWSXBA,Kill The Lights (Deluxe),2015,69
6OOTRO7lfMvDFQzNXby9i8,Spring Break...Checkin' Out,2015,54
7lerMohLdPa3WIdXE9sH5p,Crash My Party (Deluxe),2014,54
5M8gr5RV2eR6UkztC69ogB,Crash My Party,2013,71
7fbh9n3m228iTvphr40LJN,Crash My Party (Deluxe Version),2013,37
5uXnz1avW5OxFmroX5eSBu,Crash My Party (International Tour Edition),2013,52
54ZCcmTHjghuPkzFYJzPGf,Spring Break...Here To Party,2013,55
5IyIjKnGkQbYGVpWenblSe,Tailgates & Tanlines,2011,43
5zqme5HHaQXfVwIl8SMs5W,Tailgates & Tanlines,2011,47
4ybWq0AegFFAvHULAe7q0K,Tailgates & Tanlines,2011,68
4DkSAOFnWkgrXske8pzELq,Doin' My Thing,2009,16
13pqUKo7eRvMKFGpfCGyEF,Doin' My Thing,2009,62
2WqHN90AQgk95Str6hWCt9,I'll Stay Me,2007,54
