stage_name,album_id
Luke Bryan,6NUEU1vyIctdAg8IHot8Wy
Luke Bryan,1236yHELhjG4kDHx2fyN5d
Luke Bryan,2kUXqmlthYkv0yyW3N9cy8
Luke Bryan,0WtCqmpVN7rRGfDMSWSXBA
Luke Bryan,6OOTRO7lfMvDFQzNXby9i8
Luke Bryan,7lerMohLdPa3WIdXE9sH5p
Luke Bryan,5M8gr5RV2eR6UkztC69ogB
Luke Bryan,7fbh9n3m228iTvphr40LJN
Luke Bryan,5uXnz1avW5OxFmroX5eSBu
Luke Bryan,54ZCcmTHjghuPkzFYJzPGf
Luke Bryan,5IyIjKnGkQbYGVpWenblSe
Luke Bryan,5zqme5HHaQXfVwIl8SMs5W
Luke Bryan,4ybWq0AegFFAvHULAe7q0K
Luke Bryan,4DkSAOFnWkgrXske8pzELq
Luke Bryan,13pqUKo7eRvMKFGpfCGyEF
Luke Bryan,2WqHN90AQgk95Str6hWCt9
