id,name,date,popularity
3mAaCQNqRARBgzS3BFWwH0,Red Pill Blues + (Deluxe),2018,15
0fe04UycvOyXQD4o3uA7Vo,Red Pill Blues (Deluxe),2018,53
1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),2018,80
3ThQ5dvf9wlqB0C7evh5nH,Red Pill Blues (Deluxe),2018,75
3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),2018,39
2EHdZj0rUnWRPuHARw69m7,Red Pill Blues (Deluxe),2018,42
2rdc6PDLUZFnaTf1dqUJsH,Red Pill Blues (Deluxe),2017,37
1zxTHB0Arv2mL0C1l4fU5t,V (Extended Edition),2015,35
3z4ASjF9zQ6efgXFr9bQXu,V (Deluxe),2015,34
1O9WSLw5TKAGqpu71k7qvX,V Japan Special Edition,2015,51
4KXLjIEas8MTwwX3xpmAdC,V (Deluxe),2015,66
6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),2015,65
0AaeEVlbHgCeA7cM7Xbc2L,V (Deluxe),2015,0
7cVkMpmcdlEo67aMmffyoU,V (Deluxe),2015,57
0lHJwrDEFxrJhpB1gQoeMp,V (Deluxe),2015,44
23EYFmM6jGfFlpuiqfjTSc,V (Deluxe),2015,2
5hn3e5Ia7OOgtsCVgJOByP,V,2015,4
2Auw0pTT6EcQdvHNimhLQI,V,2015,76
3tawGkhiyexNEKVufU4SZX,V,2015,27
1qeHKY9fp6I3qV4DXsyOcc,V,2015,2
