stage_name,album_id
Maroon 5,3mAaCQNqRARBgzS3BFWwH0
Maroon 5,0fe04UycvOyXQD4o3uA7Vo
Maroon 5,1Li4rADxSxjT2g4xqUcMYh
Maroon 5,3ThQ5dvf9wlqB0C7evh5nH
Maroon 5,3CxzjUQWtYW0MrQmTiprou
Maroon 5,2EHdZj0rUnWRPuHARw69m7
Maroon 5,2rdc6PDLUZFnaTf1dqUJsH
Maroon 5,1zxTHB0Arv2mL0C1l4fU5t
Maroon 5,3z4ASjF9zQ6efgXFr9bQXu
Maroon 5,1O9WSLw5TKAGqpu71k7qvX
Maroon 5,4KXLjIEas8MTwwX3xpmAdC
Maroon 5,6LtzdMGhOCh9s6sssWrpuD
Maroon 5,0AaeEVlbHgCeA7cM7Xbc2L
Maroon 5,7cVkMpmcdlEo67aMmffyoU
Maroon 5,0lHJwrDEFxrJhpB1gQoeMp
Maroon 5,23EYFmM6jGfFlpuiqfjTSc
Maroon 5,5hn3e5Ia7OOgtsCVgJOByP
Maroon 5,2Auw0pTT6EcQdvHNimhLQI
Maroon 5,3tawGkhiyexNEKVufU4SZX
Maroon 5,1qeHKY9fp6I3qV4DXsyOcc
