id,name,album_id,popularity,url,track_number,valence
1mimxOfJyT9LHzI5Y5XB2F,Best 4 U,3mAaCQNqRARBgzS3BFWwH0,6,,1,0.372
5BvcK5Cns4owVBSswDArJG,What Lovers Do,3mAaCQNqRARBgzS3BFWwH0,8,,2,0.425
0nvU7ZwJHNPOJODxwxSR8C,Wait,3mAaCQNqRARBgzS3BFWwH0,8,,3,0.455
6X0pyufTQG5EFVXEeLhBfq,Lips On You,3mAaCQNqRARBgzS3BFWwH0,4,,4,0.118
7kjT4UbmDA6kEN5omfBitu,Bet My Heart,3mAaCQNqRARBgzS3BFWwH0,4,,5,0.422
2WTAN36QVHH2x4LRO9ky5F,Help Me Out,3mAaCQNqRARBgzS3BFWwH0,4,,6,0.529
7vuwqUPpwYMfaCrACzN81P,Who I Am,3mAaCQNqRARBgzS3BFWwH0,6,,7,0.667
3EP0XUbQ0z0ucfm4TUUhBx,Whiskey,3mAaCQNqRARBgzS3BFWwH0,4,,8,0.0827
7ubVJJZQhmW7ckP1fJhQA4,Girls Like You,3mAaCQNqRARBgzS3BFWwH0,7,,9,0.375
60wk9sGnbJtGgEBsr4bSPv,Closure,3mAaCQNqRARBgzS3BFWwH0,3,,10,0.441
04N5FTf5GZ5qcvvZeLw9bL,Denim Jacket,3mAaCQNqRARBgzS3BFWwH0,4,,11,0.314
5QuVy6mYOJrA8CAxdSQA8H,Visions,3mAaCQNqRARBgzS3BFWwH0,3,,12,0.628
7rgwulQt0TxOuTnjYZ5Uol,Plastic Rose,3mAaCQNqRARBgzS3BFWwH0,4,,13,0.462
7xJanmgQtqOVOupf8QdjEj,Don't Wanna Know,3mAaCQNqRARBgzS3BFWwH0,6,,14,0.428
7nba4Xvzh1F8MNNHWdNUdh,Cold,3mAaCQNqRARBgzS3BFWwH0,5,,15,0.432
5j5VsdmqacSs6XcZIsKkcx,Girls Like You,3mAaCQNqRARBgzS3BFWwH0,6,,16,0.475
3ZmB5q79iRyZc5mFTVqigI,Sugar - Remix,3mAaCQNqRARBgzS3BFWwH0,9,,17,0.647
0EBEgnRLPTEAmofirXu4hQ,Wake Up Call - Mark Ronson Remix,3mAaCQNqRARBgzS3BFWwH0,3,,18,0.921
5uZr1d2CPHznf39x0c2Zc1,If I Never See Your Face Again,3mAaCQNqRARBgzS3BFWwH0,5,,19,0.922
5Ku5Qg4TJxlfxu1gDaKll8,Moves Like Jagger - Studio Recording From The Voice Performance,3mAaCQNqRARBgzS3BFWwH0,5,,20,0.609
1EgdFxPAbZGr4IzDTPhBNs,My Heart Is Open,3mAaCQNqRARBgzS3BFWwH0,4,,21,0.302
6Sd0lFzRT3NAJburRwvi07,Girls Like You - CRAY Remix,3mAaCQNqRARBgzS3BFWwH0,4,,22,0.306
5qBzWB8dBHGBlV4e8Ok6VV,What Lovers Do - A-Trak Remix,3mAaCQNqRARBgzS3BFWwH0,11,,23,0.635
62J4dKK3j3HwaurMfBZIKj,Best 4 U,0fe04UycvOyXQD4o3uA7Vo,36,,1,0.372
6HIM6FrIlHYCoPlKkDtgXn,What Lovers Do (feat. SZA),0fe04UycvOyXQD4o3uA7Vo,52,,2,0.419
6ZvTAJHxse3tRAekHb2F7L,Wait,0fe04UycvOyXQD4o3uA7Vo,40,,3,0.452
35uMFvaiYvhFXQhb6b5WlP,Lips On You,0fe04UycvOyXQD4o3uA7Vo,36,,4,0.107
