id,name,date,popularity
5tEW32iyrRuYPQQ4bwUiCf,Helping Hands‰Û_Live & Acoustic At The Masonic,2019,53
4bcUiX49wpmDRhrC8TvDWV,Hardwired‰Û_To Self-Destruct (Deluxe),2016,61
0ecPxTAKqXdr2MJYdYOM7e,Metallica Through The Never (Music From The Motion Picture),2013,53
3FgLMfp5o2h2rAny7S6h57,Lulu,2011,27
3bK58rVcWBh3V3vxMLzi0V,Death Magnetic,2008,60
3A0FTyAAcjgfhPibPsuVSc,Some Kind Of Monster (Live),2004,25
0HKpzK9ZoJ0oVA43E5gewM,St. Anger,2003,54
3kVRcb2fuCcKcqltzczxRP,S&M,1999,51
5b7HQ04lPT7eGJQ7fmVsjC,"Garage, Inc.",1998,59
7KDqRmr937ylvGilPGWxfD,Reload,1997,56
