id,name,date,popularity
6ApYSpXF8GxZAgBTHDzYge,Pray For The Wicked,2018,86
2VnKzCESTePshnbUALlDt2,"All My Friends, We're Glorious: Death Of A Bachelor Tour Live",2017,58
6twKQ0EsUJHVlAr6XBylrj,Death Of A Bachelor,2016,78
1hxraaWEf3wFnJxADf8Dge,"Too Weird To Live, Too Rare To Die!",2013,74
14lyTFvaZm7aI7Uzbj1dKt,Vices & Virtues,2011,43
5S0nsfYhHa1uz10V4yoWSL,Vices & Virtues,2011,69
1iW6pUcqwQCI6bcWZW0gCr,Vices & Virtues (Deluxe),2011,44
2zuVGxuEzVhhRHNS2ZeRja,Live In Chicago,2008,50
78EcStHa23JPRmLNan5fST,Pretty. Odd.,2008,62
7Hk9WbjPbN1n2GXaK7aldw,Pretty. Odd.,2008,65
01hp4DvayKlnqUQrmk0vvz,A Fever You Can't Sweat Out,2005,66
4ab7jYzCRPCIz0k2CNKPGm,A Fever You Can't Sweat Out (International Release),2005,61
2YeOhhJg3OWpN0F1VYPxtW,A Fever You Can't Sweat Out,2005,71
