id,name,date,popularity
5p58xqouYCtDpKCmdISXvT,Let's Play Two (Live / Original Motion Picture Soundtrack),2017,55
01WEcEzoa9mfh8fIDhvV1M,Lightning Bolt,2013,59
4DCwNXpnKEBYbls0T4LQzN,Backspacer,2009,62
5PY2mZGCOMezmWH7hiCwFH,Pearl Jam,2006,54
7AOWw68DEPnDmTpquZw8bG,Riot Act,2002,52
1RuYprt6Qlqu286h1f4dzZ,Binaural,2000,46
5zsDtoSrXK4usJ4MB1tCh2,Yield,1998,57
3FKhxgSZdtJBIjdHsjbxI0,No Code,1996,54
3jfj1bSF8t8fypiRA5PjQq,Spin The Black Circle Live In Seattle '95,1995,30
5pd9B3KQWKshHw4lnsSLNy,Vitalogy,1994,63
3BSOiAas8BpJOii3kCPyjV,Vs.,1993,64
6a5n1Frj3nxGcyTqT1xfrg,Ten Redux,1991,45
5B4PYA7wNN4WdEXdIJu58a,Ten,1991,75
