id,name,album_id,popularity,url,track_number,valence
2SldONFtB8N8CESsZcWaUk,Low Light - Live,5p58xqouYCtDpKCmdISXvT,51,,1,0.438
70GyjQ9zNbrxRLZFChdgJL,Better Man - Live,5p58xqouYCtDpKCmdISXvT,48,,2,0.23
7cqIoasBFS2va1B1GOcPr9,Elderly Woman Behind The Counter In A Small Town - Live,5p58xqouYCtDpKCmdISXvT,46,,3,0.369
64MwuXv0kokoVgAj8ACte5,Last Exit - Live,5p58xqouYCtDpKCmdISXvT,44,,4,0.662
0Fx0IjaERpkG4RwxsKcoIc,Lightning Bolt - Live,5p58xqouYCtDpKCmdISXvT,44,,5,0.37
2bzyMUu3HM4rHu6DEFXkR6,"Black, Red, Yellow - Live",5p58xqouYCtDpKCmdISXvT,42,,6,0.664
79wSLcuIkKe9kq00NqFSvz,Black - Live,5p58xqouYCtDpKCmdISXvT,48,,7,0.453
3D83cZrWsr3HUHUsqRyIQi,Corduroy - Live,5p58xqouYCtDpKCmdISXvT,45,,8,0.153
0N0xjeADHHX0UPioLnbvRI,Given To Fly - Live,5p58xqouYCtDpKCmdISXvT,44,,9,0.381
4BWuoEfl3oGswvJApi8gBW,Jeremy - Live,5p58xqouYCtDpKCmdISXvT,44,,10,0.284
3u4Pze42QsMVHVZuhrA7FR,Inside Job - Live,5p58xqouYCtDpKCmdISXvT,42,,11,0.135
0dZJ5g0V7G8SReiQQOdZEf,Go - Live,5p58xqouYCtDpKCmdISXvT,41,,12,0.202
6Q0zMgNZsyeuNu9n7JdWu5,Crazy Mary - Live,5p58xqouYCtDpKCmdISXvT,43,,13,0.264
4MFvVTK9okxvGNlyA1sBw7,Release - Live,5p58xqouYCtDpKCmdISXvT,43,,14,0.18
3PGJJAYdR7kCXPz8NhgZkH,Alive - Live,5p58xqouYCtDpKCmdISXvT,43,,15,0.377
6BLQWAs5r10TMEpAa03MA4,All The Way - Live,5p58xqouYCtDpKCmdISXvT,41,,16,0.343
1YdFdvn3NgPWE4MlKEJ46Q,I've Got A Feeling - Live,5p58xqouYCtDpKCmdISXvT,40,,17,0.331
5NHZFD1TXeBwAFV3EzRKjT,Getaway,01WEcEzoa9mfh8fIDhvV1M,51,,1,0.765
2PdxbK3d0ZS58dD8jRqR6L,Mind Your Manners,01WEcEzoa9mfh8fIDhvV1M,50,,2,0.866
2h1DKQLsgsVcM0Lzw66NLm,My Father’s Son,01WEcEzoa9mfh8fIDhvV1M,41,,3,0.615
1cAMXz9mnvrqyQLSG4KeeE,Sirens,01WEcEzoa9mfh8fIDhvV1M,63,,4,0.483
5BISG8mt214XVok85ICfsz,Lightning Bolt,01WEcEzoa9mfh8fIDhvV1M,51,,5,0.787
10ksqrWHRkFHAdD9Nggalm,Infallible,01WEcEzoa9mfh8fIDhvV1M,43,,6,0.582
0boFvkCUiF1NonaqJzhSiP,Pendulum,01WEcEzoa9mfh8fIDhvV1M,51,,7,0.321
4PlKXx0MP4ySbe7rqgMZLo,Swallowed Whole,01WEcEzoa9mfh8fIDhvV1M,42,,8,0.722
6gSIF6oUV7L5A6NTFSSPeU,Let The Records Play,01WEcEzoa9mfh8fIDhvV1M,40,,9,0.587
36xwZduhscan5kydpfvSww,Sleeping By Myself,01WEcEzoa9mfh8fIDhvV1M,44,,10,0.573
4Ka1IL0p2YhEwH0fY1lAnk,Yellow Moon,01WEcEzoa9mfh8fIDhvV1M,42,,11,0.368
22sDLvlzAJzH0BHiMSOfRP,Future Days,01WEcEzoa9mfh8fIDhvV1M,53,,12,0.179
1xvAmvcEcIsI2d8WR7TUMo,Gonna See My Friend,4DCwNXpnKEBYbls0T4LQzN,40,,1,0.831
2M9PoKjIXeRnjZfYeuhNFk,Got Some,4DCwNXpnKEBYbls0T4LQzN,42,,2,0.611
4J9qfNgyYFAkUK8oIOohN1,The Fixer,4DCwNXpnKEBYbls0T4LQzN,58,,3,0.9
5im4hamefI8z1KJ888VJF0,Johnny Guitar,4DCwNXpnKEBYbls0T4LQzN,40,,4,0.779
6i81qFkru6Kj1IEsB7KNp2,Just Breathe,4DCwNXpnKEBYbls0T4LQzN,69,,5,0.284
0a9hQd3e5yTnwitoIJwiAq,Amongst The Waves,4DCwNXpnKEBYbls0T4LQzN,51,,6,0.505
0mGBA5vtFH58DucfqaW6oG,Unthought Known,4DCwNXpnKEBYbls0T4LQzN,53,,7,0.692
5HA2NCGZNsoCV4gUFs1Bqt,Supersonic,4DCwNXpnKEBYbls0T4LQzN,41,,8,0.785
3qsExKNMqEdRepXTT9zbCz,Speed Of Sound,4DCwNXpnKEBYbls0T4LQzN,41,,9,0.343
00NkvHyGAGC2waBNmCaAdn,Force Of Nature,4DCwNXpnKEBYbls0T4LQzN,41,,10,0.775
0PkOdIbNj8L3e0p1JGIfLO,The End,4DCwNXpnKEBYbls0T4LQzN,53,,11,0.336
0nQhUQvfGf00sr04Aj5xDy,Better Man - Live,4DCwNXpnKEBYbls0T4LQzN,40,,12,0.332
7qhgIDmBk8GhY7VYObWous,Gonna See My Friend,0Zs8psYQAFYXklESrL4UsV,2,,1,0.855
4fRBgRGpIfCfuIHLWSBK4h,Got Some,0Zs8psYQAFYXklESrL4UsV,1,,2,0.565
0JxuuJB6dPR2s0KL0su5F0,The Fixer,0Zs8psYQAFYXklESrL4UsV,13,,3,0.894
3xeoIuSy2YTetIWnXVTQgY,Johnny Guitar,0Zs8psYQAFYXklESrL4UsV,1,,4,0.825
3IsWNivZZHYURT2kTIvBDU,Just Breathe,0Zs8psYQAFYXklESrL4UsV,18,,5,0.283
3swnQCQqUUmuioKkFzp836,Amongst The Waves,0Zs8psYQAFYXklESrL4UsV,5,,6,0.558
4VBN3grcpeycK5m6I7jPN8,Unthought Known,0Zs8psYQAFYXklESrL4UsV,6,,7,0.689
4hWKjprJ1YqGz33BzycbeI,Supersonic,0Zs8psYQAFYXklESrL4UsV,1,,8,0.809
4jsuUeqAIRBC4tKYInqSnK,Speed Of Sound,0Zs8psYQAFYXklESrL4UsV,0,,9,0.363
4uSJr2HFdqRkdJx1JWgZOd,Force Of Nature,0Zs8psYQAFYXklESrL4UsV,2,,10,0.782
5pPs18xCTB8G9SgbsSdRX5,The End,0Zs8psYQAFYXklESrL4UsV,6,,11,0.332
2hHIaXvZDlGpwK6kowNxbG,Gonna See My Friend,0h52AbLNgjY4ctVfSZ1O7o,8,,1,0.855
4CU50fx7xn2nH57kllWpd6,Got Some,0h52AbLNgjY4ctVfSZ1O7o,10,,2,0.565
1CmByR0riObHakKx0HnPXP,Johnny Guitar,0h52AbLNgjY4ctVfSZ1O7o,9,,3,0.825
5zM0R4G7GY8bbB7SfaVyav,Just Breathe,0h52AbLNgjY4ctVfSZ1O7o,44,,4,0.283
1b58axbERsIa7hHmJ1vGGN,Amongst The Waves,0h52AbLNgjY4ctVfSZ1O7o,24,,5,0.558
5PPNFS29DBX4K4CGt8pu7T,Unthought Known,0h52AbLNgjY4ctVfSZ1O7o,25,,6,0.689
4dSiZH94ss58uKB02X6J3B,Supersonic,0h52AbLNgjY4ctVfSZ1O7o,9,,7,0.809
4wNNmMRYvNfV4bsiCdjO2y,Speed Of Sound,0h52AbLNgjY4ctVfSZ1O7o,9,,8,0.363
