id,name,date,popularity
6i6folBtxKV28WX3msQ4FE,Bohemian Rhapsody (The Original Soundtrack),2018,84
6SbrIpVsaJ5wgCQtMMwVR2,On Air,2016,61
60TXSuzXQoEy3p5cQEkLu7,Queen On Air,2016,48
4RjhFl7Eo8PouXAL8GMiXS,A Night At The Odeon,2015,49
4rxdf27orKcIWhwSEqoed9,Live At The Rainbow,2014,47
3BuEiPtiFc0kcnZvURQpn8,Hungarian Rhapsody (Live In Budapest / 1986),2012,55
0HJ76ERWySINSsmZjuk8PP,The Cosmos Rocks,2008,39
2IY3Ty8CrUyvpibt8AcZmp,Queen Rock Montreal,2007,47
2R33yLkTdkWRXIlja5vMUM,Return Of The Champions,2005,39
3W7HRwvYEuenMdEOuLPOxw,On Fire: Live At The Bowl,2004,42
2SFIh6siY4KYBNPHAV7xaI,Made In Heaven,1995,40
