id,name,album_id,popularity,url,track_number,valence
73GPjzTe0NsBwOrYBGhDR0,20th Century Fox Fanfare,3BHe7LbW5yRjyqXNJ3A6mW,20,,1,0.556
3cMunJsyeFbyYm7X3LgW9T,Somebody To Love - 2011 Remaster,3BHe7LbW5yRjyqXNJ3A6mW,64,,2,0.349
4nla8cAvm6AQFnNou9WiR1,Doing All Right - …revisited,3BHe7LbW5yRjyqXNJ3A6mW,60,,3,0.418
6XJyZY2e0k9hZYV7T6TZkB,Keep Yourself Alive - Live at The Rainbow,3BHe7LbW5yRjyqXNJ3A6mW,59,,4,0.295
6AAa4zIwllv49ACRh2ndLh,Killer Queen - 2011 Remaster,3BHe7LbW5yRjyqXNJ3A6mW,64,,5,0.622
7ayVko8RIfeikaANiv8s4I,Fat Bottomed Girls - Live in Paris,3BHe7LbW5yRjyqXNJ3A6mW,61,,6,0.346
6AWe04n4zsYkGKb3Pf7LMk,Bohemian Rhapsody - 2011 Remaster,3BHe7LbW5yRjyqXNJ3A6mW,64,,7,0.246
6UzSmURaa506OfZxFZci1J,Now I'm Here - Live at The Hammersmith Odeon,3BHe7LbW5yRjyqXNJ3A6mW,57,,8,0.13
0xqaviScnf68cFZf0caB4V,Crazy Little Thing Called Love - 2011 Remaster,3BHe7LbW5yRjyqXNJ3A6mW,59,,9,0.766
0GN3KwXNPI6wNmLlbSoVzi,Love Of My Life - Live at Rock in Rio Festival,3BHe7LbW5yRjyqXNJ3A6mW,59,,10,0.0713
56WjtnIYDizFHsceYrZEvE,We Will Rock You - Movie Mix,3BHe7LbW5yRjyqXNJ3A6mW,59,,11,0.407
3LjvFUqQi5LoqaRK6CLwMk,Another One Bites The Dust - 2011 Remaster,3BHe7LbW5yRjyqXNJ3A6mW,61,,12,0.753
25H6P7a94WUr5102lC6TNI,I Want To Break Free,3BHe7LbW5yRjyqXNJ3A6mW,65,,13,0.502
5AZGbqiIK5t1jrWSPT7k8X,Under Pressure - Remastered,3BHe7LbW5yRjyqXNJ3A6mW,59,,14,0.46
05ZPrmaISOFhW3BnkuxyLR,Who Wants To Live Forever - 2011 Remaster,3BHe7LbW5yRjyqXNJ3A6mW,56,,15,0.0388
3Rvjhi2fdHU7qLIv4a4MCy,Bohemian Rhapsody - Live Aid,3BHe7LbW5yRjyqXNJ3A6mW,60,,16,0.327
5ODSfJ2h7m1Zkg6MIm2C9Q,Radio Ga Ga - Live Aid,3BHe7LbW5yRjyqXNJ3A6mW,66,,17,0.395
5nv5hodQpAMoT2PqSVmakE,Ay-Oh - Live Aid,3BHe7LbW5yRjyqXNJ3A6mW,63,,18,0.462
5YpHQOxvS1pe36h2vkkjSx,Hammer To Fall - Live Aid,3BHe7LbW5yRjyqXNJ3A6mW,63,,19,0.153
