id,name,date,popularity
43otFXrY0bgaq5fB3GrZj6,The Getaway,2016,72
5wZtSIvijWCMc1vlPFqAyB,I'm With You,2011,64
7xl50xr9NDkd3i2kBbzsNZ,Stadium Arcadium,2006,77
1jWKVgnHX8nwR551hQNx5K,By The Way,2002,62
0fLhefnjlIV3pGNF9Wo8CD,Californication,1999,66
74cQBDmkkzRBntR064f0SD,One Hot Minute,1995,52
30Perjew8HyGkdSmqguYyg,Blood Sugar Sex Magik (Deluxe Version),1991,75
1oOkcBu5bgkUzZTvKD1m8z,Mother's Milk,1989,59
3rHJQrfEcBeSaLPuLwKR6F,The Uplift Mofo Party Plan,1987,48
10Oqhoq2akSJnurJOPk8xT,Freaky Styley,1985,44
5QxFTj8ar3blXVyVEo2rxD,Red Hot Chili Peppers,1984,47
