id,name,album_id,popularity,url,track_number,valence
3bIQIx7hveYPQDdhjZ1kcq,The Getaway,43otFXrY0bgaq5fB3GrZj6,64,https://p.scdn.co/mp3-preview/72fb1fa491d3aed91157ae58a7ea294572d1f4b6?cid=f2aa2c18088747f585c6ff121849072c,1,0.667
2oaK4JLVnmRGIO9ytBE1bt,Dark Necessities,43otFXrY0bgaq5fB3GrZj6,75,https://p.scdn.co/mp3-preview/603321bf69cb0fd27c44ae875ff73c6dfc856311?cid=f2aa2c18088747f585c6ff121849072c,2,0.197
0cv2LgkvEoQiGgFWcZaAMA,We Turn Red,43otFXrY0bgaq5fB3GrZj6,58,https://p.scdn.co/mp3-preview/7401884887b72bf4a2f0309cdef1b3f1ad0bd5e7?cid=f2aa2c18088747f585c6ff121849072c,3,0.842
0pjCkLjbgSLn5c0Ilwuv8z,The Longest Wave,43otFXrY0bgaq5fB3GrZj6,64,https://p.scdn.co/mp3-preview/0800193b0d8994cfed84ce91c112718cdcca230b?cid=f2aa2c18088747f585c6ff121849072c,4,0.339
2XTkpF9T2PKvcLgamGJGx1,Goodbye Angels,43otFXrY0bgaq5fB3GrZj6,66,https://p.scdn.co/mp3-preview/69191d42691a7605cd25270fb2aca0e888a7f0f2?cid=f2aa2c18088747f585c6ff121849072c,5,0.577
6GsP3uMCd0Dn5T37C93waZ,Sick Love,43otFXrY0bgaq5fB3GrZj6,66,https://p.scdn.co/mp3-preview/cc7db96c4aef501af2f087e4de5573f82fcb64c1?cid=f2aa2c18088747f585c6ff121849072c,6,0.875
5m578MgxuEC956dulprCe8,Go Robot,43otFXrY0bgaq5fB3GrZj6,65,https://p.scdn.co/mp3-preview/e6c44098fc6b638676450abc9854804b05c3a682?cid=f2aa2c18088747f585c6ff121849072c,7,0.96
0SMzXgUFqcAt0WNCsGm3tM,Feasting on the Flowers,43otFXrY0bgaq5fB3GrZj6,58,https://p.scdn.co/mp3-preview/ecdacb03bb20ae479d1915f5fd8f89c1be618163?cid=f2aa2c18088747f585c6ff121849072c,8,0.88
5y7IfSDhBHFVnlGj1UrlA1,Detroit,43otFXrY0bgaq5fB3GrZj6,60,https://p.scdn.co/mp3-preview/27a598035cc529caca667e3f31043fdbdd7e1190?cid=f2aa2c18088747f585c6ff121849072c,9,0.495
3iXNy7VaY9OqJFBwzhmbOh,This Ticonderoga,43otFXrY0bgaq5fB3GrZj6,54,https://p.scdn.co/mp3-preview/7df34cc3c61c8e101f1a6297104a0d3c8a03f0ee?cid=f2aa2c18088747f585c6ff121849072c,10,0.405
4VGvosVIeFMCUwHibq7a9Z,Encore,43otFXrY0bgaq5fB3GrZj6,58,https://p.scdn.co/mp3-preview/41f931e1d5e87a1f8d91f3211ad7b18ea199aeb5?cid=f2aa2c18088747f585c6ff121849072c,11,0.342
1ZPMK5UTafelYEQXmckRgN,The Hunter,43otFXrY0bgaq5fB3GrZj6,55,https://p.scdn.co/mp3-preview/6f6d38dbf94e10a9f201cb0356dea4b77ef211b1?cid=f2aa2c18088747f585c6ff121849072c,12,0.318
3Fb962k5BJZy1cmCLuKZJq,Dreams of a Samurai,43otFXrY0bgaq5fB3GrZj6,54,https://p.scdn.co/mp3-preview/eb3e42b459325e2cb759eacba947e0e66b9efcc1?cid=f2aa2c18088747f585c6ff121849072c,13,0.277
16Bf9uR4PI2dCoXDIjs0cP,Monarchy Of Roses,5wZtSIvijWCMc1vlPFqAyB,52,https://p.scdn.co/mp3-preview/946431f5c0588fbe1f6115c57fd6b2158d0f0e61?cid=f2aa2c18088747f585c6ff121849072c,1,0.222
6vLwOFz5BYeEJPyvgUea2D,Factory Of Faith,5wZtSIvijWCMc1vlPFqAyB,53,https://p.scdn.co/mp3-preview/14372d9bae2144a6a685c1ba2e6ae22c9fb4e204?cid=f2aa2c18088747f585c6ff121849072c,2,0.706
2pAho4WqtK5hQtgImHzT74,Brendan's Death Song,5wZtSIvijWCMc1vlPFqAyB,59,https://p.scdn.co/mp3-preview/8b2488c6fdce84e33130b6e4db5a8561ad12f948?cid=f2aa2c18088747f585c6ff121849072c,3,0.184
33sXl7ETOUGrHp1mSfr9R1,Ethiopia,5wZtSIvijWCMc1vlPFqAyB,50,https://p.scdn.co/mp3-preview/56525348c86c4ef24bb08675f6fe0d1b11d6979b?cid=f2aa2c18088747f585c6ff121849072c,4,0.665
5j2S6N5qJNQgafjWNfXlII,Annie Wants A Baby,5wZtSIvijWCMc1vlPFqAyB,49,https://p.scdn.co/mp3-preview/fae1be7431697129f2e99a822d0ddc348a237f2f?cid=f2aa2c18088747f585c6ff121849072c,5,0.383
4RU7rnJBOXCzWmsLDqUaFC,Look Around,5wZtSIvijWCMc1vlPFqAyB,61,https://p.scdn.co/mp3-preview/3aa98157a750963af202e6636f882245102ae13b?cid=f2aa2c18088747f585c6ff121849072c,6,0.519
0PgNhIg5n0UAOBVn43b8b6,The Adventures Of Rain Dance Maggie,5wZtSIvijWCMc1vlPFqAyB,67,https://p.scdn.co/mp3-preview/0e4f5d49100ac661581a36941abc3eab0237ba0d?cid=f2aa2c18088747f585c6ff121849072c,7,0.576
6zgLKcNuXjLjBvb1I61A2c,Did I Let You Know,5wZtSIvijWCMc1vlPFqAyB,52,https://p.scdn.co/mp3-preview/29a3912e949daa7a64a3853ee1a1c3b63814f688?cid=f2aa2c18088747f585c6ff121849072c,8,0.845
