id,name,album_id,popularity,url,track_number,valence
4m3AsXEUqsSwGilcdn0RbT,Raised On It - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,43,,1,0.896
33GmiX75KFc0acc3CRWMdr,Cop Car - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,44,,2,0.675
3Xy1YJHRVKApMDqp8gmkWe,Ex To See - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,45,,3,0.901
6vgmCLfl9GnkHL8LQ4wRly,House Party - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,44,,4,0.827
2RFxPpxCzJPwxX93CL1Ibl,Leave The Night On - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,42,,5,0.879
5G4upYoNLjklTY6qD32pSf,We Are Tonight - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,48,,6,0.521
3fiiVrWpQUa3BdWtdNdQ38,Make You Miss Me - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,43,,7,0.164
3oBxf3KvflYpaFSR4S3wKv,I Met A Girl - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,53,,8,0.54
04clw2CZuvRzvV54g6Ua4L,Bottle It Up - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,50,,9,0.779
1zZsJ9WmtuDxw5T08GEQTX,Saturday Night - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,46,,10,0.806
4LQzFOJgbwIuaydxIFWB9Q,Speakers - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,46,,11,0.567
74LxUpIQeJLjKWcN4iqwJY,Vacation - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,43,,12,0.402
54DolxlFipJnuSObPmCPUv,Vandalizer - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,49,,13,0.694
0xQYFmoFmS6914517ubkdz,Goodbye - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,51,,14,0.763
5ZuDo4T5NU7jg5y0yV2Otk,Come Over - Acoustic Mixtape,0oDDkafimkfmBVssJF2X64,57,,15,0.23
54JIuEuTnL0Al2LHCU9pdL,Take Your Time,4zEF7OsSjtoehhC67vmUFJ,2,,1,0.483
4R9WEijD81z4I9wQcx7pyB,Leave The Night On,4zEF7OsSjtoehhC67vmUFJ,3,,2,0.838
761ZPrEatqYeMEMSabOO9h,House Party,4zEF7OsSjtoehhC67vmUFJ,2,,3,0.859
3rw4pp6JEqlHZ5wQfiWV5K,Break Up In A Small Town,4zEF7OsSjtoehhC67vmUFJ,2,,4,0.434
6Jr1B4qDeF2cckCmh34h1C,Single For The Summer,4zEF7OsSjtoehhC67vmUFJ,1,,5,0.516
0eS0QEHpM5LEsAWc3VEsKi,Ex To See,4zEF7OsSjtoehhC67vmUFJ,1,,6,0.637
6BTuZCNIdEE177PzcS9rOH,Make You Miss Me,4zEF7OsSjtoehhC67vmUFJ,2,,7,0.168
3HUsFLUJvnPtsRw33ZUgLi,Cop Car,4zEF7OsSjtoehhC67vmUFJ,2,,8,0.178
39opAfnHax1U6PKcAIdNWN,Raised On It,4zEF7OsSjtoehhC67vmUFJ,1,,9,0.732
7JTBancIwWbUbPyAiwzz5f,Speakers,4zEF7OsSjtoehhC67vmUFJ,1,,10,0.316
6DEaND0SHv3sC11xobZLiy,Take Your Time,0V7c0hnrLUFJyHNtjiAT2E,70,,1,0.483
3wx2kQWPn9p5UppQbNhPAk,Leave The Night On,0V7c0hnrLUFJyHNtjiAT2E,67,,2,0.838
1TwLKNsCnhi1HxbIi4bAW0,House Party,0V7c0hnrLUFJyHNtjiAT2E,73,,3,0.859
7aftSOGSOpSoIlVAQVBb71,Break Up In A Small Town,0V7c0hnrLUFJyHNtjiAT2E,70,,4,0.434
4nrtux8xl5lYegU8II5rAQ,Single For The Summer,0V7c0hnrLUFJyHNtjiAT2E,56,,5,0.516
0YQcktqICwSWzlS4P4jzOz,Ex To See,0V7c0hnrLUFJyHNtjiAT2E,61,,6,0.637
0xwPzLmBAYro8BUz7MrtAo,Make You Miss Me,0V7c0hnrLUFJyHNtjiAT2E,70,,7,0.168
7LJOfS8evyKfP8Fl5rdZXw,Cop Car,0V7c0hnrLUFJyHNtjiAT2E,59,,8,0.178
3BuPop8SzLG2Q88TJcFAjp,Raised On It,0V7c0hnrLUFJyHNtjiAT2E,57,,9,0.732
4DXfOXYv0ki7IR3P0XRcMY,Speakers,0V7c0hnrLUFJyHNtjiAT2E,58,,10,0.316
