id,name,album_id,popularity,url,track_number,valence
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,3TJz2UBNYJtlEly0sPeNrQ,84,,1,0.534
4K1vOdIFqskQv3zoI0FdAk,Say It First,3TJz2UBNYJtlEly0sPeNrQ,65,,2,0.148
01uk7IzZyFNfQTDBXxx6NB,One Last Song,3TJz2UBNYJtlEly0sPeNrQ,68,,3,0.434
1A85fOmviQuGgkF6Lww6Nd,Midnight Train,3TJz2UBNYJtlEly0sPeNrQ,65,,4,0.392
2mb6YdoavL6db22p7XKJQZ,Burning,3TJz2UBNYJtlEly0sPeNrQ,67,,5,0.377
3AFPGvRzeKeNJbIbLwcz4G,HIM,3TJz2UBNYJtlEly0sPeNrQ,61,,6,0.305
1p1SbqeipOd4ezKUpxqaz6,"Baby, You Make Me Crazy",3TJz2UBNYJtlEly0sPeNrQ,66,,7,0.482
5ZX1X9Rl4zbx1Wwyn3idVD,No Peace,3TJz2UBNYJtlEly0sPeNrQ,64,,8,0.139
3zesxb7sOGbeSwUrzLUP0f,Palace,3TJz2UBNYJtlEly0sPeNrQ,63,,9,0.223
7DsX5K72fewVGb47qj7Tbg,Pray,3TJz2UBNYJtlEly0sPeNrQ,72,,10,0.168
5qOWH742APK9OAIhQBflvV,Nothing Left For You,3TJz2UBNYJtlEly0sPeNrQ,60,,11,0.213
6TwcRSQgztJFw8tQDrs35D,The Thrill Of It All,3TJz2UBNYJtlEly0sPeNrQ,61,,12,0.113
6t4rYZeShwJai1YSs0tWOQ,Scars,3TJz2UBNYJtlEly0sPeNrQ,58,,13,0.4
6AUuRg513AfT50d52O60fS,One Day At A Time,3TJz2UBNYJtlEly0sPeNrQ,61,,14,0.335
42B0BxAvZEqfrUIoP9HSJe,Money On My Mind,0vrWqbRQEMKqhTGcDLQK7x,54,,1,0.709
2itCTeFaGppUvoxCsuJQhw,Good Thing,0vrWqbRQEMKqhTGcDLQK7x,51,,2,0.26
31CHJzSweI6r1dk6XrZceK,Stay With Me,0vrWqbRQEMKqhTGcDLQK7x,55,,3,0.161
14Ch95oEbCcSBNX7gZdag9,Leave Your Lover,0vrWqbRQEMKqhTGcDLQK7x,54,,4,0.423
4JHkidVQCWtXwrzjdh5tbM,I'm Not The Only One,0vrWqbRQEMKqhTGcDLQK7x,58,,5,0.482
2UonPYDoqpUZxoJUHWCgtP,I've Told You Now,0vrWqbRQEMKqhTGcDLQK7x,52,,6,0.189
5VYS23P3A31Rn6CtsGTEOR,Like I Can,0vrWqbRQEMKqhTGcDLQK7x,55,,7,0.539
4t5jShQD8GkfjDMAsAYJeg,Life Support,0vrWqbRQEMKqhTGcDLQK7x,52,,8,0.226
5JRCjBJ9fuhxfJruiurYw6,Not In That Way,0vrWqbRQEMKqhTGcDLQK7x,53,,9,0.303
1eUtyz3sWA42VYsiqbfQoZ,Lay Me Down,0vrWqbRQEMKqhTGcDLQK7x,57,,10,0.153
60qgg890t9qRIWxEo3wO8s,Restart,0vrWqbRQEMKqhTGcDLQK7x,57,,11,0.868
5vUNRJsvEOUsz4sbKkJpFr,Latch - Acoustic,0vrWqbRQEMKqhTGcDLQK7x,70,,12,0.239
0PPXEgevjLKKso0QVhEFZ4,La La La,0vrWqbRQEMKqhTGcDLQK7x,54,,13,0.237
2uCMaUojwuqr8CRGsLoPa6,Make It To Me,0vrWqbRQEMKqhTGcDLQK7x,72,,14,0.225
4dtU73n96G2Qutw4rJ7cOc,Drowning Shadows,0vrWqbRQEMKqhTGcDLQK7x,65,,15,0.287
0FDabUXsNRn1yS65CzEF2Y,Love Is A Losing Game,0vrWqbRQEMKqhTGcDLQK7x,61,,16,0.182
2QXmZCQwDsXxSgAGEEY5ep,Nirvana,0vrWqbRQEMKqhTGcDLQK7x,64,,17,0.393
3yb2hJ1kKDEhLo3qfw7zlr,How Will I Know,0vrWqbRQEMKqhTGcDLQK7x,69,,18,0.283
0G7zUWU575zYyHCrOy14yz,Omen - Acoustic,0vrWqbRQEMKqhTGcDLQK7x,57,,19,0.182
1M6IbIQY2yf9we4LlT2keJ,Latch - Live From Madison Square Garden,0vrWqbRQEMKqhTGcDLQK7x,52,,20,0.0974
3C08A6WXAl2XAsI5hZtTSR,Stay With Me - Radio Edit,0vrWqbRQEMKqhTGcDLQK7x,55,,21,0.106
4yQbvhT4qMtcmY2FkKVc6Z,I'm Not The Only One,0vrWqbRQEMKqhTGcDLQK7x,58,,22,0.545
64GRDrL1efgXclrhVCeuA0,Lay Me Down,0vrWqbRQEMKqhTGcDLQK7x,77,,23,0.326
