id,name,date,popularity
7DY6v8qiyQcsTCqUWjH7pS,Songs Of Innocence,2014,51
5yqMA7IvahYJc53ewRAMnP,No Line On The Horizon,2009,50
2XHksgb0SsUL4NBaqTXHDX,Boy,2008,23
1mgye9GJ5e2qCufD6wCNKC,Under A Blood Red Sky,2008,29
4tCMKyB4g77qeuQEmqkAQi,War,2008,13
73XkxLkaK4D7WMSILmpRDt,October,2008,6
5PQPur1PEZFDkI0AXbxFlB,How To Dismantle An Atomic Bomb,2004,58
7a5U0GPoAvT3gvEY66FRuN,All That You Can't Leave Behind,2000,65
5mojJwWgWNJcY3odUGgQc3,Pop,1997,51
0IYjMBLA9PgtXyRPlLmTDE,Zooropa,1993,53
0ta5VdkJcpdVnNrn7g4cZe,Achtung Baby (Deluxe Edition),1991,68
