id,name,album_id,popularity,url,track_number,valence
6jmSfC1hec2DydM6e364o1,The Miracle (Of Joey Ramone),7DY6v8qiyQcsTCqUWjH7pS,45,,1,0.236
76hhfwZpMKGO3phNusrquG,Every Breaking Wave,7DY6v8qiyQcsTCqUWjH7pS,49,,2,0.415
5o0iUgoa6t7cHWIZfqnKNh,California (There Is No End To Love),7DY6v8qiyQcsTCqUWjH7pS,45,,3,0.201
40xcrghLmBuKzRFSZ6klGZ,Song For Someone,7DY6v8qiyQcsTCqUWjH7pS,45,,4,0.357
7kbQE1Xbyf7kvcn4DVICiR,Iris (Hold Me Close),7DY6v8qiyQcsTCqUWjH7pS,44,,5,0.122
2wu3qpX3z6GfVmeeNF2GO2,Volcano,7DY6v8qiyQcsTCqUWjH7pS,42,,6,0.627
0eW6LK9xeddRp1u5BnfrjW,Raised By Wolves,7DY6v8qiyQcsTCqUWjH7pS,42,,7,0.467
2aJhiU35Cu6Pydq6xZUXcv,Cedarwood Road,7DY6v8qiyQcsTCqUWjH7pS,42,,8,0.524
42aRvnJ6SEjHHkceUdDr3w,Sleep Like A Baby Tonight,7DY6v8qiyQcsTCqUWjH7pS,44,,9,0.45
0hcLI60oIDQks2HlfZuDnY,This Is Where You Can Reach Me Now,7DY6v8qiyQcsTCqUWjH7pS,40,,10,0.675
6Y5gGZ0EmnixJ65KA6RaJl,The Troubles,7DY6v8qiyQcsTCqUWjH7pS,44,,11,0.44
4GhCCLPv70mfXZMtuhHd8m,No Line On The Horizon,5yqMA7IvahYJc53ewRAMnP,39,,1,0.209
6u38x61qv7JBIJD4dqztmm,Magnificent,5yqMA7IvahYJc53ewRAMnP,54,,2,0.592
2PwwiKJYMYbuWh7j5yAbwT,Moment Of Surrender,5yqMA7IvahYJc53ewRAMnP,44,,3,0.322
0smKH3Kxqq5RJUKPVIdOmL,Unknown Caller,5yqMA7IvahYJc53ewRAMnP,37,,4,0.0925
6Bxd6SGnWO0bTWCDYh4ZWk,I'll Go Crazy If I Don't Go Crazy Tonight,5yqMA7IvahYJc53ewRAMnP,49,,5,0.345
3CJdDqehVinU810wsTjt6v,Get On Your Boots,5yqMA7IvahYJc53ewRAMnP,38,,6,0.601
0Yos9FlQaTdcazMXznqnjA,Stand Up Comedy,5yqMA7IvahYJc53ewRAMnP,34,,7,0.646
5RVm3rZex7PUN5vmYKQFnw,FEZ / Being Born,5yqMA7IvahYJc53ewRAMnP,33,,8,0.322
0wY8tHgipYpFCQfhdCUuCP,White As Snow,5yqMA7IvahYJc53ewRAMnP,35,,9,0.14
44UqsHkvRuW93K1Yilw5UK,Breathe,5yqMA7IvahYJc53ewRAMnP,35,,10,0.381
1pXyxHvseGwj9C0zbhAUpK,Cedars Of Lebanon,5yqMA7IvahYJc53ewRAMnP,33,,11,0.159
4Rxnw6luSLQh6cegmsAmsV,I Will Follow - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,20,,1,0.61
11l19yoinmndv1wCsx11P0,Twilight - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,17,,2,0.471
2Z28UYttRm0zteK3Boc1U0,An Cat Dubh - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,16,,3,0.465
29AkafrHjBwqyT1Cd0kgUf,Into The Heart - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,16,,4,0.0387
71AIiFwduJCx8KGmYqHJaY,Out Of Control - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,16,,5,0.382
0Uj7uKXKg4qaRSYL2KiJ1B,Stories For Boys - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,15,,6,0.464
7eqiQnccipf5opNUA3EWvx,The Ocean - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,15,,7,0.178
4HXhwMEvcYTFatFB58JTBl,A Day Without Me - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,16,,8,0.746
6UOToklwTAUJfwy9fjIs9r,Another Time Another Place - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,14,,9,0.369
4atl1Qw5GC2LzOg2f6e0gy,The Electric Co. - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,15,,10,0.292
1Sy5c273HAtsdEgMv7DQjt,Shadows And Tall Trees - Remastered 2008,2XHksgb0SsUL4NBaqTXHDX,14,,11,0.427
26z5dRGIfcX8ws33aaSUyd,Saturday Matinee - Remastered,2XHksgb0SsUL4NBaqTXHDX,13,,12,0.357
2uyp88cJ5ZXAfnmkJevqS7,Gloria - Live,1mgye9GJ5e2qCufD6wCNKC,24,,1,0.609
0guvuIYNrKMu69oxE4Y9Td,11 O'Clock Tick Tock - Live,1mgye9GJ5e2qCufD6wCNKC,22,,2,0.282
1wSRhiEOzypINRbvmnqAQe,I Will Follow - Live,1mgye9GJ5e2qCufD6wCNKC,24,,3,0.501
02UgczJNXP0VvGHvKJkLid,Party Girl - Live,1mgye9GJ5e2qCufD6wCNKC,21,,4,0.801
4q8U0NZbjqJRjoBcHAeVRE,Sunday Bloody Sunday - Live,1mgye9GJ5e2qCufD6wCNKC,23,,5,0.432
0BYvlBa01XI038gaQ8sNWC,The Electric Co. - Live,1mgye9GJ5e2qCufD6wCNKC,21,,6,0.245
6Dc1BiOE2QSmlV33SpEh4P,New Year's Day - Live,1mgye9GJ5e2qCufD6wCNKC,23,,7,0.442
7KYwo08DqOq8cQqtpxlASK,'40' - Live,1mgye9GJ5e2qCufD6wCNKC,30,,8,0.323
1xD8QQc7cxaX0y2QEROGlJ,Sunday Bloody Sunday - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,12,,1,0.727
18ZP4BlptoTP1WuqSmefZJ,Seconds - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,9,,2,0.97
6c2b1T7wztsbIuGesYp1Sd,New Year's Day - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,11,,3,0.624
4QtXmWGFieFsTlcmYZ07d3,Like A Song... - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,8,,4,0.371
31bvM11xcwDk48bqLQ9Jw1,Drowning Man - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,8,,5,0.397
5yIdPRyX5O4BwfqaE04Sxq,The Refugee - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,7,,6,0.893
5xBa09wASTPU9vBRaXiipm,Two Hearts Beat As One - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,9,,7,0.854
7Ieas25w7NwKY4BJq1oASB,Red Light - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,6,,8,0.693
0iPCEmLVBk3xgaK865CJMb,Surrender - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,6,,9,0.493
5lfjYBtb4StUmfLsTeDxk6,'40' - Remastered 2008,4tCMKyB4g77qeuQEmqkAQi,7,,10,0.301
2QjMUQrxeTjurf4zul5CK8,Gloria - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,5,,1,0.689
5adj9A40UxQk8bqiJXBlw5,I Fall Down - Remastered 2008,73XkxLkaK4D7WMSILmpRDt,3,,2,0.422
